fips,mass
01033,1.0
01059,0.0
01077,0.4
01079,0.6
01083,1.2
01089,0.9
01093,0.0
01103,0.0
01133,0.0
08001,7.3
08003,0.7
08005,1.3
08007,0.0
08009,0.25
08011,0.2
08013,0.2
08014,0.0
08017,6.5
08021,0.4
08023,0.3
08025,0.1
08029,0.0
08031,1.5
08033,0.0
08035,0.1
08037,0.1
08039,0.8
08041,1.5
08043,0.0
08045,0.0
08055,0.0
08059,3.0
08061,6.4
08063,1.5
08067,0.0
08069,0.30000000000000004
08071,0.0
08073,4.8
08075,3.05
08081,0.8
08083,0.0
08085,0.0
08087,3.1
08089,0.0
08095,3.6
08099,0.5
08101,0.2
08103,2.9
08105,1.2
08107,0.1
08109,0.9
08115,5.35
08121,1.5
08123,9.2
08125,3.8
16001,3.7
16003,2.1
16005,5.1
16007,1.7
16009,18.9
16011,31.1
16013,0.2
16017,0.5
16019,11.9
16021,8.0
16023,2.6
16025,0.7
16027,12.7
16029,12.5
16031,7.3999999999999995
16033,2.2
16035,5.1
16037,0.8
16039,8.2
16041,4.3
16043,7.5
16045,2.3
16047,0.35
16049,43.7
16051,7.6
16053,1.05
16055,7.6
16057,64.9
16059,0.2
16061,39.3
16063,0.9
16065,8.7
16067,2.3
16069,74.0
16071,5.8
16073,3.7
16075,2.9
16077,26.1
16081,1.8
16083,2.3000000000000003
16085,0.3
16087,3.6
17001,0.7
17007,0.1
17009,0.1
17011,0.1
17015,0.1
17019,0.4
17031,0.0
17037,0.4
17039,0.0
17043,0.0
17053,0.1
17057,0.1
17063,0.1
17067,0.3
17071,0.1
17073,0.1
17075,1.0
17085,0.1
17089,0.2
17091,0.5
17093,0.1
17095,0.1
17097,0.1
17099,0.2
17103,0.1
17105,0.8
17107,0.1
17109,0.0
17111,0.3
17113,0.2
17115,0.2
17123,0.1
17125,0.4
17129,0.1
17131,0.0
17141,0.2
17143,0.1
17147,0.2
17155,0.0
17161,0.0
17169,0.1
17175,0.0
17177,0.3
17179,0.2
17183,0.3
17187,0.0
17195,0.2
17197,0.4
17201,0.3
17203,0.4
18007,0.1
18015,0.3
18017,0.2
18039,0.2
18049,0.2
18073,0.1
18085,0.4
18089,0.0
18091,0.4
18099,0.2
18103,0.3
18111,0.1
18127,0.1
18131,0.1
18141,0.1
18149,0.0
18169,0.3
18181,0.1
19005,0.0
19009,0.0
19011,0.0
19017,0.0
19019,0.0
19021,0.0
19031,0.0
19037,0.0
19043,0.0
19045,0.0
19047,0.1
19051,0.1
19055,0.0
19057,0.1
19061,0.0
19065,0.0
19073,0.0
19077,0.0
19085,0.0
19087,0.0
19089,0.0
19095,0.0
19097,0.0
19101,0.0
19103,0.1
19105,0.0
19107,0.0
19111,0.1
19113,0.0
19115,0.0
19119,0.0
19123,0.0
19133,0.0
19139,0.0
19147,0.0
19149,0.0
19151,0.0
19163,0.0
19167,0.0
19177,0.0
19179,0.0
19183,0.0
19191,0.0
19193,0.0
20001,0.6
20003,0.5
20005,0.1
20007,2.7
20009,1.2
20011,0.7
20013,0.1
20015,5.2
20017,0.6
20019,0.6
20021,7.9
20023,6.3
20025,0.5
20027,0.4
20029,0.4
20031,0.8
20033,1.2
20035,8.6
20037,3.8
20039,4.7
20041,1.0
20043,0.0
20045,0.3
20047,1.9
20049,0.2
20051,0.6
20053,0.6
20055,1.8
20057,1.8
20059,0.4
20061,0.5
20063,0.4
20065,4.2
20067,0.9
20069,1.2
20071,0.5
20073,0.5
20075,1.2
20077,4.2
20079,2.1
20081,0.7
20083,1.2
20085,0.1
20087,0.1
20089,0.6
20091,0.2
20093,1.2
20095,3.7
20097,1.3
20099,5.5
20101,0.3
20103,0.1
20105,0.5
20107,0.2
20109,0.4
20111,0.7
20113,1.5
20115,0.7
20117,1.2
20119,1.0
20121,0.3
20123,0.9
20125,4.9
20127,1.6
20129,0.9
20131,0.3
20133,3.8
20135,0.5
20137,3.5
20139,0.5
20141,0.5
20143,0.6
20145,2.4
