fips,mass
16009,4.0
16017,0.1
16021,1.4
16035,1.4
16049,8.2
16055,1.8
16057,15.7
16061,8.3
16069,16.7
17007,0.4
17019,1.6
17031,0.1
17037,1.5
17043,0.0
17053,0.4
17063,0.4
17075,3.6
17089,0.9
17091,1.8
17093,0.2
17097,0.3
17099,0.9
17105,2.8
17111,1.4
17147,0.6
17183,1.0
17197,1.7
18007,0.8
18015,2.0
18017,1.5
18021,0.5
18039,1.4
18045,1.0
18049,1.3
18073,0.8
18085,2.4
18089,0.3
18091,2.4
18099,1.1
18103,2.3
18107,1.2
18111,1.0
18119,0.7
18121,0.7
18127,0.7
18131,0.4
18133,0.5
18141,0.9
18149,0.1
18157,1.4
18165,0.5
18167,0.3
18169,2.1
18171,1.2
18181,1.0
19001,0.0
19021,0.0
19029,0.0
19071,0.0
19119,0.0
19129,0.0
19145,0.0
19147,0.1
19149,0.0
19151,0.0
19155,0.0
19167,0.0
19173,0.0
20001,1.5
20003,2.5
20005,0.5
20009,47.4
20011,1.6
20013,0.5
20015,12.6
20017,3.1
20019,1.5
20021,19.1
20027,17.5
20029,17.0
20031,4.1
20035,20.9
20037,9.3
20041,38.0
20043,0.1
20045,1.5
20049,0.5
20051,22.9
20053,23.7
20059,2.3
20061,2.7
20073,1.2
20085,0.6
20087,0.5
20089,21.8
20091,0.9
20099,13.2
20103,0.6
20105,21.0
20107,1.3
20111,3.7
20113,58.0
20115,28.2
20117,5.7
20121,1.5
20123,37.2
20125,11.9
20127,8.7
20131,1.5
20133,9.1
20139,2.5
20141,21.5
20143,25.0
20147,21.0
20149,1.7
20157,15.0
20159,45.8
20161,2.7
20163,31.6
20165,31.6
20167,23.7
20169,27.8
20177,1.5
20183,32.3
20197,0.8
20201,13.1
20205,7.2
20207,3.2
20209,0.0
21007,4.9
21035,4.5
21039,2.9
21075,3.8
21083,8.2
21105,6.0
21139,0.6
21143,0.1
21145,2.6
21157,1.6
21221,5.0
26005,3.0
26015,2.6
26021,0.6
26023,1.6
26025,2.6
26027,0.6
26035,0.6
26037,9.1
26045,7.1
26051,1.0
26057,11.0
26059,5.4
26065,1.3
26067,6.4
26073,1.3
26075,3.7
26077,1.7
26081,3.6
26085,0.1
26105,2.7
26107,1.8
26111,1.4
26117,10.7
26121,1.0
26123,2.3
26127,2.4
26133,0.8
26139,2.4
26149,1.2
26155,10.1
26159,0.4
27001,2.0
27003,0.1
27005,107.5
27007,5.5
27009,2.0
27011,5.2
27013,2.0
27015,2.0
27017,0.0
27019,0.0
27021,0.6
27023,0.5
27025,0.0
27027,251.9
27029,76.0
27033,0.1
27035,2.0
27037,0.1
27039,0.0
27041,2.7
27043,2.0
27045,0.0
27047,0.0
27049,2.0
27051,3.2
27053,2.0
27055,0.2
27057,1.1
27059,0.0
27061,18.6
27063,2.0
27065,0.1
27067,2.0
27069,350.35
27071,0.8
27073,0.9
27077,6.7
27079,0.0
27081,0.5
27083,0.4
27085,0.1
27087,89.3
27089,76.0
27091,2.0
27093,0.1
27095,0.0
27097,0.1
27099,2.0
27101,0.2
27103,0.1
27105,0.1
27107,76.0
27109,2.0
27111,7.6
27113,218.6
27115,2.0
27117,0.3
27119,76.6
27121,5.2
27123,2.0
27125,200.2
27127,0.1
27129,0.2
27131,0.0
27133,0.8
27135,270.0
27139,0.0
27141,2.0
27143,2.0
27145,0.4
27147,2.0
27149,2.5
27151,5.2
27153,0.5
27155,5.2
27157,2.0
27159,0.0
27161,0.0
27163,0.0
27165,0.0
27167,5.5
27169,0.0
27171,2.0
27173,1.1
29001,0.5
29003,0.8
29005,5.1
29013,4.1
29015,1.3
29019,3.9
29021,0.7
29023,2.1
29025,2.0
29027,4.5
29031,7.8
29033,1.6
29037,1.0
29039,0.7
29041,3.5
29047,1.1
29049,0.2
29051,0.4
29053,5.7
29059,0.0
29061,0.8
29063,0.3
29069,10.0
29075,0.8
29079,1.6
29081,0.4
29083,3.6
29085,0.1
29087,0.1
29089,1.9
29095,0.5
29101,2.4
29105,0.1
29107,0.8
29115,2.7
29117,1.3
29121,2.2
29125,0.3
29129,0.3
29131,0.1
29133,18.3
29135,2.0
29141,1.7
29143,11.2
29147,0.7
29151,0.4
29155,10.9
29159,4.8
29161,0.1
29165,0.4
29167,0.7
29171,0.1
29175,2.3
29177,1.5
29185,2.5
29195,1.3
29197,0.1
29201,11.4
29207,10.6
29211,0.5
29217,5.1
29227,0.0
30001,2.1
30003,25.9
30005,19.2
30007,4.7
30009,2.5
30011,4.85
30013,29.1
30015,35.7
30017,1.7
30019,63.9
30021,36.2
30023,0.1
30025,10.85
30027,33.9
30029,1.9
30031,9.1
30033,12.3
30035,11.7
30037,3.4
30039,0.0
30041,40.7
30043,1.9
30045,13.7
30047,0.9
30049,2.7
30051,21.1
30053,0.5
30055,56.4
30057,4.4
30059,1.7
30061,0.0
30063,0.4
30065,4.4
30067,2.2
30069,3.8
30071,11.3
30073,13.3
30075,0.65
30077,0.3
30079,13.05
30081,0.1
30083,44.1
30085,83.4
30087,8.9
30089,0.4
30091,96.4
30095,10.9
30097,3.4
30099,9.2
30101,19.7
30103,5.0
30105,85.8
30107,6.6
30109,12.3
30111,32.9
31005,0.9
31015,0.7
31017,1.9
31023,0.2
31025,0.2
31031,1.5
31037,0.3
31053,0.9
31055,0.6
31081,0.6
31089,3.1
31103,1.2
31109,0.7
31113,0.2
31115,0.1
31117,0.9
31121,0.5
31125,0.2
31141,0.4
31143,0.1
31153,0.0
31155,0.5
31159,0.3
31177,0.0
31183,0.0
31185,0.9
32001,0.6
32005,0.6
32013,0.6
32019,0.6
32027,0.6
38001,82.2
38003,17.9
38005,94.9
38007,28.45
38009,181.5
38011,94.5
38013,126.7
38015,32.3
38017,20.3
38019,318.2
38021,9.0
38023,331.3
38025,650.7
38027,24.3
38029,37.3
38031,21.2
38033,75.0
38035,154.8
38037,52.8
38039,17.1
38041,262.55
38043,31.2
38045,13.8
38047,14.1
38049,85.8
38051,15.850000000000001
38053,815.0
38055,1337.7
38057,209.6
38059,101.4
38061,408.6
38063,113.0
38065,175.0
38067,208.2
38069,98.9
38071,163.3
38073,10.6
38075,271.4
38077,15.1
38079,74.5
38081,8.850000000000001
38083,52.650000000000006
38085,21.75
38087,121.35
38089,216.7
38091,9.7
38093,46.8
38095,187.8
38097,19.7
38099,221.3
38101,581.2
38103,65.8
38105,548.2
39001,0.7
39011,5.1
39015,0.7
39017,1.2
39021,1.4
39023,1.2
39025,0.6
39027,1.3
39037,5.8
39041,1.3
39045,2.7
39047,2.3
39049,0.8
39053,0.1
39057,1.3
39061,0.0
39065,4.3
39071,1.9
39079,0.1
39083,1.4
39087,0.0
39089,2.2
39091,2.2
39097,3.6
39101,2.4
39107,5.8
39109,2.0
39113,0.7
39117,3.2
39129,4.4
39131,0.5
39135,1.8
39141,3.9
39145,0.3
39149,4.4
39159,3.7
39165,0.7
41001,1.2
41013,0.1
41017,0.2
41021,15.2
41023,0.2
41025,0.2
41027,0.0
41031,1.0
41035,2.8
41037,0.1
41045,4.0
41049,31.9
41055,25.1
41059,37.8
41061,2.0
41063,0.4
41065,14.1
41069,0.2
46003,3.7
46005,12.4
46007,15.6
46009,1.6
46011,2.2
46013,5.65
46015,26.4
46017,3.7
46019,6.3
46021,11.65
46023,20.6
46025,6.8
46027,0.2
46029,6.4
46031,51.1
46033,2.7
46035,2.9
46037,7.8
46039,2.3
46041,15.6
46043,1.6
46045,17.25
46047,1.8
46049,11.4
46051,4.5
46053,8.75
46055,150.25
46057,1.7
46059,6.3
46061,1.7
46063,16.2
46065,26.6
46067,1.6
46069,7.7
46071,77.7
46073,8.1
46075,18.2
46077,4.1
46079,0.3
46081,3.0
46083,0.3
46085,36.6
46087,1.7
46089,1.45
46091,1.7
46093,80.69999999999999
46095,8.9
46097,6.2
46099,1.7
46101,0.6
46102,2.7
46103,103.5
46105,22.3
46107,32.6
46109,4.2
46111,1.7
46115,14.899999999999999
46117,132.9
46119,41.0
46121,2.55
