fips,mass
26001,23.9
26005,0.2
26007,0.8
26009,140.4
26019,5.4
26021,1.4
26027,14.2
26029,10.8
26031,0.4
26035,8.6
26047,54.0
26055,21.6
26057,3.2
26069,0.4
26073,1.9
26077,14.2
26079,21.6
26081,1.4
26089,21.6
26101,168.4
26105,17.1
26107,1.3
26111,0.3
26113,10.8
26117,19.0
26119,23.9
26121,1.1
26123,538.6
26127,912.6
26133,19.0
26137,23.9
26139,10.4
26141,23.9
26159,1.4
26165,325.0
55001,113.5
55003,113.5
55009,1.3
55011,0.3
55015,0.6
55021,113.5
55023,113.5
55025,7.6
55027,1.9
55029,3.2
55033,1.9
55035,5.1
55037,113.5
55039,3.8
55041,113.5
55043,1.9
55045,2.5
55047,0.6
55049,113.5
55053,113.5
55055,1.9
55057,0.6
55061,37.3
55063,1.3
55065,1.3
55069,0.6
55071,163.8
55073,113.5
55075,113.5
55077,113.5
55081,0.6
55083,113.5
55085,0.6
55087,1.9
55091,0.6
55093,1.3
55097,113.5
55099,113.5
55103,0.3
55105,5.1
55109,0.6
55111,0.6
55115,0.6
55117,4.4
55119,0.3
55121,113.5
55123,6.3
55135,0.6
55137,113.5
55139,113.5
55141,113.5
