fips,mass
13013,0.0
13015,50.4
13055,7.6
13059,7.6
13115,10.9
13121,0.0
13123,7.6
13129,7.6
13139,7.6
13157,15.8
13187,7.6
13213,7.6
13219,7.6
13233,7.6
13295,7.6
13297,19.5
13311,7.6
13313,7.6
19001,110.2
19003,67.8
19009,107.7
19025,143.2
19027,126.0
19029,108.0
19047,151.3
19071,125.1
19073,151.3
19077,108.1
19085,145.0
19093,104.3
19129,95.4
19133,121.7
19137,97.5
19145,132.2
19155,217.4
19161,149.2
19165,156.7
19173,90.6
19193,170.5
21025,6.8
21065,1.2
21089,6.8
21121,0.4
21125,6.8
21127,0.9
21135,6.0
21165,3.0
21175,1.9
21199,46.0
21203,6.8
21205,6.8
21231,39.6
31001,103.8
31003,130.2
31011,114.1
31019,90.6
31021,124.8
31023,140.6
31025,152.3
31027,150.3
31035,92.5
31037,100.0
31039,142.9
31041,87.2
31043,64.3
31047,73.9
31051,93.2
31053,149.9
31055,33.9
31059,121.4
31061,62.2
31065,50.1
31067,210.6
31073,39.7
31077,40.4
31079,54.8
31081,84.9
31083,55.6
31093,41.4
31095,126.1
31097,53.3
31099,80.9
31107,81.9
31109,168.4
31119,131.4
31121,70.3
31125,58.6
31127,115.1
31129,87.3
31131,161.8
31133,84.1
31137,94.4
31139,105.4
31141,141.2
31143,93.6
31147,124.3
31151,131.6
31153,48.1
31155,186.2
31159,132.4
31163,44.1
31167,83.2
31169,102.1
31173,88.1
31175,46.0
31177,99.2
31179,111.5
31181,63.7
31185,115.8
37005,1.9
37009,118.6
37021,11.5
37023,10.6
37027,26.8
37039,6.1
37087,118.6
37089,35.9
37099,118.6
37111,4.2
37113,2.0
37115,118.6
37149,1.3
37161,118.6
37171,90.4
37175,8.9
37193,61.6
37197,100.5
47007,10.6
47009,6.2
47011,15.9
47019,0.3
47025,7.7
47029,7.7
47031,145.6
47035,0.9
47049,5.1
47051,220.7
47057,3.3
47059,17.9
47061,7.7
47063,22.8
47065,7.7
47073,1.1
47089,7.2
47093,1.5
47105,58.8
47107,40.4
47115,53.1
47121,13.4
47123,54.6
47129,7.7
47133,7.7
47137,7.7
47139,7.7
47141,34.8
47143,7.7
47153,8.1
47155,1.9
47163,7.7
47175,7.7
47177,78.9
47179,6.5
47185,11.1
51035,5.1
51063,2.3
51105,1.0
51121,14.3
51155,6.2
51167,3.3
51173,6.2
51185,0.4
51191,6.2
51197,6.2
