fips,mass
01001,3146.1
01003,4159.2
01005,82.6
01009,109.0
01013,133.1
01015,253.7
01017,10.2
01019,1269.3
01021,10.2
01023,227.0
01025,227.0
01031,152.9
01033,365.4
01035,3848.3
01039,162.1
01041,8.1
01043,29.2
01045,129.0
01047,4801.2
01049,66.5
01051,4686.4
01053,6662.5
01055,90.7
01057,87.9
01059,229.3
01061,272.8
01065,253.5
01067,240.6
01069,210.5
01071,166.8
01075,10.2
01077,1290.1
01079,1321.7
01081,15.0
01083,1972.2
01085,1374.5
01087,4204.3
01089,2143.7
01091,1242.0
01093,47.0
01095,29.2
01097,2704.8
01099,5664.1
01101,1597.0
01103,155.0
01105,901.9
01107,48.5
01109,54.8
01111,10.2
01113,57.1
01117,77.8
01119,227.0
01121,82.5
01123,10.2
01125,21.7
01127,10.2
01129,1290.9
01131,227.0
05003,1156.4
05017,1244.6
05019,476.6
05021,437.8
05031,1223.6
05035,479.0
05037,26.6
05041,956.0
05043,525.7
05055,76.0
05067,28.8
05069,333.1
05073,1010.3
05077,1111.9
05079,1106.5
05081,809.1
05085,120.8
05091,809.1
05093,1573.9
05095,75.0
05107,690.0
05111,391.4
05117,26.6
05123,591.4
05147,26.6
12001,2.2
12013,58.2
12023,0.1
12033,74.4
12039,10.2
12047,0.3
12059,27.9
12063,275.3
12065,11.9
12067,1.2
12079,0.1
12083,0.7
12091,19.8
12113,121.9
12119,0.2
12121,0.7
12127,0.3
12131,24.2
12133,11.6
13001,29.2
13003,13.8
13005,11.5
13007,171.6
13013,14.8
13015,99.2
13017,7.9
13019,19.5
13023,4.2
13025,0.0
13027,33.9
13029,0.2
13031,11198.7
13033,6272.7
13037,262.8
13043,1706.8
13049,0.2
13055,31.6
13061,103.8
13065,0.2
13069,38.2
13071,45.0
13075,19.0
13079,0.2
13081,31.7
13087,596.3
13091,10.6
13093,64.2
13095,33.1
13099,383.8
13101,1.2
13103,1622.2
13105,44.6
13107,3569.3
13109,4.5
13113,3.3
13115,17.3
13125,207.0
13129,17.3
13131,283.5
13153,3.5
13155,29.4
13161,16.8
13163,2381.0
13165,2532.0
13167,2.1
13171,0.3
13173,8.8
13175,8.6
13177,203.9
13183,0.4
13185,1.9
13189,48.3
13193,220.1
13195,3.0
13197,14.4
13201,251.4
13205,499.2
13209,6.5
13211,1.7
13217,0.2
13219,14.8
13225,1.3
13229,14.4
13233,42.9
13235,8.2
13237,0.2
13239,3.5
13243,168.7
13249,8.1
13251,5692.7
13253,316.9
13259,11.0
13261,364.7
13267,6.2
13269,3.3
13271,5.0
13273,377.4
13275,529.2
13277,28.9
13279,7.0
13283,2.1
13287,21.0
13289,5.1
13297,14.8
13299,5.1
13301,284.7
13303,3.0
13305,4.5
13307,122.3
13309,1.8
13315,22.4
13317,48.3
13319,0.2
13321,49.5
20007,143.5
20015,8.4
20033,2.4
20035,151.35
20047,8.4
20057,8.4
20067,5.4
20069,24.150000000000002
20075,8.4
20077,148.7
20079,35.75
20081,8.4
20093,7.3
20095,75.60000000000001
20097,59.5
20115,8.4
20129,14.15
20145,8.4
20151,321.55
20155,27.4
20159,8.4
20173,24.25
20175,58.699999999999996
20185,27.5
20189,210.9
20191,382.0
22003,83.5
22009,755.6
22015,1295.3
22017,8691.3
22021,4081.2
22025,3034.7
22029,2392.9
22031,199.5
22035,538.8
22039,80.3
22041,464.5
22043,595.7
22065,1107.9
22067,645.6
22069,726.5
22073,9708.8
22077,187.1
22079,1278.6
22081,199.5
22083,1218.7
22097,58.8
22107,1982.2
22123,64.1
22125,5385.5
28001,234.7
28003,323.7
28007,115.7
28009,129.3
28011,3135.7
28013,1105.6
28015,2394.7
28017,483.4
28019,115.7
28021,345.1
28025,263.1
28027,20890.1
28029,109.4
28031,109.4
28033,747.9
28035,266.2
28039,679.2
28041,475.5
28043,129.3
28049,446.4
28051,4810.7
28053,1265.7
28055,462.7
28057,230.6
28059,266.2
28063,109.4
28071,384.0
28077,34.0
28079,141.8
28081,646.9
28083,2590.6
28087,3313.1
28089,546.6
28093,286.1
28095,1806.6
28097,543.3
28103,5742.4
28105,263.1
28107,3525.9
28111,266.2
28115,67.6
28117,273.6
28119,5773.2
28121,201.3
28123,105.0
28125,814.4
28129,109.4
28131,266.2
28133,1223.0
28135,10104.5
28137,658.4
28139,355.9
28141,1016.8
28143,7663.8
28145,110.9
28149,952.6
28151,1344.3
28155,672.8
28159,263.1
28161,651.7
28163,1819.5
29023,7.5
29069,1494.4
29133,7.9
29143,1317.9
29155,573.3
29201,95.3
29207,1114.1
35005,57.55
35009,14.2
35013,207.89999999999998
35015,62.5
35025,292.9
35037,6.2
35041,11.2
37003,0.1
37005,0.2
37007,17.0
37013,509.3
37015,217.1
37017,32.5
37019,22.1
37025,11.7
37029,6.2
37031,33.7
37041,96.4
37045,11.7
37047,59.2
37049,157.8
37051,119.8
37059,10.5
37061,205.4
37065,145.1
37069,20.0
37073,104.2
37077,33.6
37079,314.6
37081,3.8
37083,494.2
37085,238.6
37091,140.3
37093,204.8
37095,446.3
37101,250.7
37103,721.2
37105,21.2
37107,424.4
37109,11.7
37113,0.1
37117,329.7
37123,5.0
37125,11.7
37127,69.5
37131,442.2
37133,104.8
37137,49.8
37139,6.2
37141,22.1
37143,60.5
37147,745.9
37151,10.5
37153,11.7
37155,390.4
37159,10.5
37161,7.2
37163,403.3
37165,135.9
37167,203.8
37171,1.8
37177,6.2
37179,51.4
37183,10.5
37185,20.0
37187,79.4
37191,244.5
37195,470.1
40003,4.3
40007,6.6
40009,54.3
40011,7.1
40013,0.2
40015,608.8
40017,95.9
40025,3.5
40031,774.0
40033,257.2
40039,19.5
40041,11.8
40043,0.8
40045,1.2
40047,14.6
40051,124.7
40053,109.5
40055,462.7
40057,1012.4
40065,4487.3
40071,202.6
40073,14.6
40075,968.2
40081,120.1
40087,14.6
40089,107.0
40093,28.4
40101,1.0
40103,52.4
40109,124.7
40129,25.7
40139,25.7
40141,4401.3
40149,123.3
40151,15.1
40153,14.6
45001,332.3
45003,6013.1
45005,172.4
45007,21.1
45009,883.8
45011,1168.6
45015,32.1
45017,803.9
45019,60.5
45023,128.0
45025,19.1
45027,305.1
45029,445.4
45031,577.7
45033,147.0
45035,645.5
45037,332.3
45041,241.8
45043,27.5
45049,1640.8
45051,165.3
45053,22.2
45061,368.0
45063,44.5
45067,61.2
45069,310.7
45071,332.3
45075,937.8
45079,55.2
45081,303.4
45085,225.2
45089,415.0
45091,162.5
47003,14.5
47017,2008.6
47019,35.4
47023,269.6
47033,3698.3
47045,6499.9
47047,3769.4
47051,35.4
47053,2557.4
47055,45.4
47069,1493.2
47071,56.5
47075,4867.9
47077,39.1
47079,56.5
47095,2002.7
47097,6200.7
47099,51.0
47103,685.9
47109,570.4
47111,45.4
47113,1940.2
47131,196.3
47149,45.4
47157,2883.4
47167,8059.7
47183,56.5
48001,29.9
48003,28.5
48009,6.8
48011,14.8
48013,208.8
48015,333.8
48017,194.4
48021,68.3
48023,36.3
48025,1660.2
48027,28.8
48029,75.4
48031,85.8
48033,145.3
48035,28.7
48037,29.9
48039,108.1
48041,231.7
48043,6.8
48045,88.7
48049,6.2
48051,1082.1
48053,85.8
48055,909.9
48057,822.2
48059,6.8
48061,5110.3
48065,209.6
48069,122.7
48075,92.2
48077,12.0
48079,312.7
48081,57.5
48083,27.3
48085,3.9
48087,147.9
48089,173.7
48093,27.8
48095,1366.4
48097,6.8
48099,6.8
48101,71.6
48107,447.6
48109,7.6
48111,59.3
48115,655.1
48117,100.8
48119,6.8
48121,15.2
48123,33.4
48125,90.6
48127,164.8
48129,41.8
48131,102.1
48133,6.8
48139,111.9
48141,68.4
48143,0.9
48145,21.5
48147,13.6
48149,173.7
48151,351.5
48153,488.4
48155,3.7
48157,3069.0
48159,29.9
48161,29.9
48163,611.9
48165,608.2
48169,103.3
48173,324.7
48175,173.7
48177,173.7
48179,71.0
48181,6.8
48185,29.9
