fips,mass
05001,432.1
05007,1.8
05021,283.6
05029,43.1
05031,276.9
05035,461.0
05037,316.8
05045,22.0
05049,2.2
05053,0.3
05055,195.9
05059,0.9
05063,59.0
05065,0.2
05067,294.6
05075,169.3
05077,317.3
05085,248.2
05087,0.3
05093,668.5
05095,231.8
05105,4.6
05107,553.6
05111,381.8
05117,227.1
05119,45.4
05121,74.1
05123,304.8
05125,0.3
05143,0.3
05145,83.4
05147,276.6
06059,0.1
06067,0.1
08001,658.7
08005,119.8
08009,456.7
08011,135.9
08014,2.3
08017,589.2
08025,135.9
08031,135.9
08035,5.1
08039,75.4
08041,135.9
08043,2.4
08055,0.2
08061,576.1
08063,135.9
08071,23.2
08073,432.6
08089,3.9
08095,326.7
08099,417.3
08101,135.9
08121,135.9
08125,342.6
10003,60.0
16001,2.3
16003,1.2
16005,5.8
16007,1.2
16009,33.7
16011,31.2
16017,0.6
16019,7.6
16021,8.9
16023,1.2
16025,1.3
16027,10.1
16029,8.1
16031,17.4
16033,1.2
16035,8.5
16039,6.5
16041,5.3
16043,1.2
16045,1.2
16047,0.9
16049,74.5
16051,1.2
16053,2.5
16055,14.3
16057,103.8
16061,72.4
16063,1.8
16065,1.2
16067,1.3
16069,132.4
16071,6.1
16073,2.8
16075,2.3
16077,26.0
16081,0.8
16083,5.2
16085,0.3
16087,2.1
17001,66.8
17003,5.8500000000000005
17005,15.049999999999999
17007,35.35
17009,13.6
17011,145.5
17013,5.15
17015,62.6
17017,15.25
17019,216.5
17021,37.2
17023,116.69999999999999
17025,150.95
17027,32.5
17029,110.7
17031,5.5
17033,96.65
17035,71.05000000000001
17037,98.85
17039,74.4
17041,116.65
17043,0.5
17045,151.35000000000002
17047,19.35
17049,130.05
17051,155.4
17053,98.9
17055,33.75
17057,56.2
17059,33.0
17061,23.4
17063,60.15
17065,33.8
17067,69.8
17069,1.85
17071,27.9
17073,169.15
17075,242.5
17077,26.349999999999998
17079,109.4
17081,49.45
17083,13.8
17085,46.3
17087,4.05
17089,35.05
17091,115.5
17093,26.1
17095,64.6
17097,4.45
17099,139.85
17101,103.45
17103,136.45
17105,220.1
17107,133.4
17109,52.2
17111,47.3
17113,249.2
17115,111.2
17117,33.0
17119,29.049999999999997
17121,102.25
17123,77.9
17125,100.1
17127,20.0
17129,52.9
17131,103.6
17133,25.65
17135,38.05
17137,24.549999999999997
17139,90.6
17141,97.85
17143,86.1
17145,26.75
17147,96.8
17149,29.4
17151,3.5
17153,12.4
17155,34.2
17157,34.7
17159,81.0
17161,59.3
17163,32.0
17165,24.299999999999997
17167,47.7
17169,27.6
17171,11.9
17173,158.10000000000002
17175,65.2
17177,90.0
17179,107.2
17181,11.549999999999999
17183,166.8
17185,21.549999999999997
17187,57.0
17189,54.650000000000006
17191,62.85
17193,54.3
17195,124.45
17197,43.25
17199,7.55
17201,67.8
17203,101.1
18001,90.9
18003,119.6
18005,24.65
18007,68.8
18009,42.7
18011,40.5
18013,6.7
18015,55.6
18017,45.0
18019,361.5
