fips,mass
01005,11.1
01031,20.6
01033,8.3
01039,21.9
01041,1.1
01045,17.4
01059,5.2
01061,36.8
01067,32.5
01069,28.4
01077,29.4
01079,30.1
01083,44.9
01089,48.8
01093,1.1
01103,3.5
01109,7.4
01113,7.7
05003,35.9
05017,38.7
05019,3.5
05021,4.0
05031,11.3
05035,3.0
05037,0.2
05041,29.7
05043,16.3
05055,0.7
05067,0.3
05069,10.4
05077,6.9
05079,34.4
05085,0.7
05093,14.5
05095,0.5
05107,4.3
05111,3.6
05117,0.2
05123,3.7
05147,0.2
12013,14.1
12023,0.2
12033,18.0
12039,2.5
12047,0.5
12059,6.8
12063,66.7
12065,2.9
12067,2.2
12079,0.2
12091,4.8
12113,29.5
12121,1.4
12131,5.9
12133,2.8
13001,53.4
13003,25.3
13005,21.0
13007,23.1
13013,0.4
13017,14.5
13019,35.7
13023,7.7
13025,0.1
13027,62.1
13029,0.4
13037,35.5
13049,0.3
13061,14.0
13065,0.4
13069,70.1
13071,82.5
13075,34.9
13079,0.4
13081,58.1
13087,80.4
13091,19.4
13093,117.5
13095,4.5
13099,51.8
13101,2.1
13109,8.2
13113,0.4
13131,38.2
13153,6.4
13155,53.9
13161,30.7
13167,3.8
13171,0.0
13173,16.2
13175,15.7
13177,27.5
13183,0.8
13185,3.5
13193,28.5
13197,1.9
13201,33.9
13205,67.3
13209,11.9
13211,3.1
13217,0.4
13219,0.4
13225,2.3
13229,26.4
13235,15.0
13237,0.4
13239,0.5
13243,22.8
13249,1.0
13253,42.7
13259,1.5
13261,49.2
13267,11.3
13269,0.4
13271,9.2
13273,50.9
13275,71.4
13277,53.0
13279,12.8
13283,3.9
13287,38.5
13289,9.4
13297,0.4
13299,9.3
13303,5.5
13305,8.3
13307,16.5
13309,3.3
13315,41.1
13319,0.4
13321,90.6
22009,18.8
22021,6.1
22025,75.6
22029,59.6
22035,35.6
22039,2.0
22041,30.7
22043,14.8
22065,73.3
22067,42.7
22073,14.6
22077,4.7
22079,31.9
22083,80.6
22097,1.5
22107,131.1
22123,4.2
28001,7.6
28003,5.4
28009,0.2
28011,2.1
28013,1.4
28021,11.1
28027,14.3
28029,3.5
28033,1.0
28043,0.2
28049,14.4
28053,71.4
28055,26.1
28057,3.8
28063,3.5
28071,0.5
28081,10.8
28083,146.1
28093,0.4
28107,4.5
28115,1.1
28117,4.6
28119,4.0
28125,45.9
28133,69.0
28135,6.9
28137,0.8
28139,5.9
28141,16.9
28143,5.2
28145,1.8
28149,30.7
28151,75.8
28161,0.8
28163,102.6
37003,0.1
37005,0.1
37007,15.4
37013,159.8
37015,368.5
37017,15.6
37019,10.6
37025,10.6
37029,10.6
37031,10.6
37041,163.7
37045,10.6
37047,28.3
37049,49.5
37051,57.3
37059,10.6
37061,98.3
37065,246.3
37069,10.6
37073,176.9
37077,17.8
37079,98.7
37081,2.0
37083,839.0
37085,114.2
37091,238.2
37093,98.0
37095,140.0
37101,78.7
37103,226.3
37105,21.5
37107,133.2
37109,10.6
37113,0.1
37117,559.7
37123,4.5
37125,10.6
37127,117.9
37131,750.7
37133,50.2
37137,15.6
37139,10.6
37141,10.6
37143,102.7
37147,234.0
37151,10.6
37153,10.6
37155,186.9
37159,10.6
37161,7.3
37163,193.1
37165,65.1
37167,184.7
37171,0.9
37177,10.6
37179,46.6
37183,10.6
37185,10.6
37187,134.7
37191,76.7
37195,147.5
47017,40.0
47023,5.4
47033,73.7
47045,3.4
47047,75.1
47053,51.0
47069,29.8
47071,1.1
47075,97.0
47077,0.8
47079,1.1
47095,1.0
47097,3.2
47099,1.1
47109,11.4
47113,38.7
47131,0.1
47157,1.5
47167,4.2
47183,1.1
