fips,mass
01001,52.7
01003,52.7
01005,191.3
01007,30.5
01009,129.6
01011,68.0
01013,32.1
01015,58.3
01017,85.2
01019,45.0
01021,47.3
01023,25.2
01025,26.7
01027,73.9
01029,40.0
01031,217.6
01033,14.1
01035,36.6
01037,36.6
01039,192.0
01041,157.1
01043,169.9
01045,95.1
01047,127.3
01049,196.6
01051,47.2
01053,29.1
01055,70.4
01057,30.1
01059,23.7
01061,177.1
01063,80.3
01065,149.0
01067,139.7
01069,139.8
01071,127.4
01073,17.9
01075,26.5
01077,25.7
01079,28.5
01081,43.1
01083,17.7
01085,211.5
01087,44.7
01089,12.0
01091,106.8
01093,14.4
01095,116.0
01097,36.8
01099,42.4
01101,221.6
01103,24.3
01105,78.1
01107,51.4
01109,195.1
01111,99.3
01113,70.2
01115,47.8
01117,44.1
01119,118.5
01121,62.1
01123,44.7
01125,46.7
01127,38.2
01129,34.8
01131,83.8
01133,10.7
04007,0.0
04025,2.0
05001,11.1
05003,13.1
05005,3.3
05007,24.2
05009,36.1
05011,2.7
05013,2.3
05015,29.3
05017,11.3
05019,8.6
05021,25.5
05023,3.9
05025,2.7
05027,5.2
05029,11.4
05031,23.7
05033,9.6
05035,1.7
05037,10.1
05039,2.0
05041,2.2
05043,31.5
05045,14.8
05047,22.3
05049,9.4
05051,2.8
05053,3.2
05055,32.5
05057,179.4
05059,5.9
05061,116.6
05063,188.7
05065,6.1
05067,14.2
05069,11.7
05071,9.7
05073,74.0
05075,68.0
05077,5.8
05079,25.0
05081,111.3
05083,19.7
05085,36.7
05087,24.4
05089,7.7
05091,76.4
05093,1.6
05095,0.9
05097,68.0
05099,9.6
05101,9.4
05103,2.4
05105,4.8
05107,3.2
05109,66.3
05111,11.7
05113,15.7
05115,14.1
05117,13.2
05119,2.4
05121,140.7
05123,8.1
05125,3.0
05127,10.3
05129,7.4
05131,11.1
05133,126.7
05135,5.0
05137,4.2
05139,2.7
05141,3.7
05143,27.8
05145,163.3
05147,3.2
05149,19.8
06009,60.6
06021,2.0
06047,0.1
06049,43.4
06093,49.1
06107,0.0
06113,9.6
08001,583.75
08003,234.55
08005,41.15
08007,1.4
08009,1974.9499999999998
08011,138.75
08013,23.35
08014,5.9
08015,4.2
08017,796.6
08019,0.5
08021,184.45
08023,183.3
08025,24.5
08027,16.45
08029,35.8
08031,14.9
08033,128.1
08035,3.6
08037,8.45
08039,99.5
08041,18.9
08043,6.9
08045,341.6
08047,0.5
08049,2.6
08051,0.6
08055,3.05
08057,3.6
08059,100.25
08061,408.1
08063,2138.3
08065,0.0
08067,23.599999999999998
08069,93.05
08071,117.85
08073,428.65
08075,610.1
08077,93.0
08079,0.9
08081,94.65
08083,165.0
08085,363.55
08087,506.0
08089,133.9
08093,0.6
08095,1208.55
08097,0.5
08099,1662.1
08101,52.35
08103,61.5
08105,377.0
08107,20.0
08109,363.1
08113,16.0
08115,460.95000000000005
08117,0.0
08119,0.55
08121,1295.65
08123,1109.1
08125,2256.1499999999996
10003,7.4
12001,361.0
12003,36.2
12005,9.1
12007,111.9
12009,267.1
12011,9.9
12013,20.4
12015,64.3
12017,129.2
12019,57.5
12021,139.6
12023,195.7
12027,1056.8
12029,76.8
12031,47.0
12033,14.3
12035,64.3
12037,28.9
12039,24.6
12041,112.5
12043,644.9
12045,28.9
12047,98.5
12049,1141.6
12051,779.1
12053,146.5
12055,972.9
12057,362.3
12059,54.9
12061,439.3
12063,108.2
12065,50.1
12067,163.8
12069,441.0
12071,205.5
12073,25.3
12075,221.3
12077,8.4
12079,225.5
12081,423.8
12083,709.0
12085,307.6
12086,49.6
12087,0.7
12089,47.0
12091,16.4
12093,978.3
12095,291.2
12097,1759.4
12099,58.3
12101,589.4
12103,64.3
12105,1149.9
12107,147.8
12109,34.2
12111,587.1
12113,23.9
12115,247.1
12117,114.1
12119,373.3
12121,212.5
12123,79.9
12125,134.4
12127,225.1
12129,7.7
12131,48.7
12133,18.1
13001,67.4
13003,125.7
13005,70.4
13007,6.7
13009,149.0
13011,238.3
13013,166.0
13015,48.5
13017,77.9
13019,196.1
13021,67.2
13023,84.4
13025,32.2
13027,193.0
13029,16.2
13031,36.7
13033,106.2
13035,243.8
13037,6.5
13039,10.0
13043,19.4
13045,393.8
13047,23.8
13049,28.3
13051,15.5
13053,0.6
13055,36.3
13057,135.9
13059,48.7
13061,9.0
13063,14.3
13065,30.2
13067,17.1
13069,242.9
13071,163.1
13073,19.8
13075,137.4
13077,185.1
13079,142.9
13081,161.9
13083,12.9
13085,94.3
13087,21.7
13089,25.5
13091,283.1
13093,42.5
13095,12.3
13097,16.3
13099,20.5
13101,48.2
13103,13.7
13105,264.6
13107,51.8
13109,27.0
13111,79.7
13113,40.9
13115,50.6
13117,136.9
13119,379.4
13121,52.8
13123,158.1
13125,11.3
13127,6.2
13129,61.9
13131,17.4
13133,380.5
13135,91.1
13137,101.6
13139,283.3
13141,173.0
13143,100.4
13145,100.8
13147,257.1
13149,154.6
13151,46.7
13153,87.5
13155,157.3
13157,567.0
13159,357.9
13161,65.7
13163,46.8
13165,21.8
13167,237.8
13169,159.4
13171,82.0
13173,25.5
13175,328.3
13177,14.7
13179,13.1
13181,54.1
13183,18.6
13185,83.3
13187,119.4
13189,54.0
13191,15.5
13193,110.0
13195,276.2
13197,207.0
13199,192.8
13201,16.5
13205,22.0
13207,212.8
13209,103.5
13211,680.7
13213,33.2
13215,25.7
13217,306.4
13219,197.0
13221,215.2
13223,12.0
13225,77.1
13227,130.5
13229,23.2
13231,158.2
13233,33.2
13235,51.0
13237,283.2
13239,4.4
13241,23.2
13243,17.4
13245,4.4
13247,34.8
13249,32.6
13251,31.2
13253,11.3
13255,69.1
13257,101.3
13259,5.0
13261,21.1
13263,44.5
13265,102.9
13267,95.4
13269,103.6
13271,75.7
13273,5.6
13275,18.8
13277,111.0
13279,81.7
13281,25.5
13283,69.7
13285,109.0
13287,95.0
13289,61.7
13291,87.5
13293,99.9
13295,69.6
13297,254.9
13299,42.4
13301,40.5
13303,207.0
13305,63.6
13307,4.7
13309,50.3
13311,111.0
13313,38.6
13315,104.4
13317,176.5
13319,101.4
13321,174.7
16001,110.55
16003,46.0
16005,827.0999999999999
16007,437.65
16009,965.05
16011,4655.549999999999
16013,259.6
16015,5.0
16017,31.299999999999997
16019,3264.9
16021,386.25
16023,639.55
16025,452.54999999999995
16027,393.20000000000005
16029,3018.85
16031,3132.15
16033,363.8
16035,261.1
16037,186.39999999999998
16039,249.45
16041,732.55
16043,2460.1
16045,61.15
16047,230.29999999999998
16049,2269.6499999999996
16051,2033.9
16053,681.1500000000001
16055,396.5
16057,3224.55
16059,31.85
16061,2027.6000000000001
16063,368.85
16065,2132.5
16067,1947.05
16069,3732.05
16071,801.7
16073,172.25
16075,97.0
16077,3593.3
16079,7.949999999999999
16081,927.95
16083,1356.35
16085,9.05
16087,100.15
17001,429.8
17003,28.3
17005,133.4
17007,137.7
17009,82.1
17011,595.6
17013,54.3
17015,335.2
17017,212.8
17019,684.1
17021,469.7
17023,237.3
17025,177.9
17027,526.3
17029,244.4
17031,7.5
17033,215.1
17035,145.9
17037,504.7
17039,209.7
17041,288.8
17043,3.7
17045,360.4
17047,147.4
17049,261.5
17051,293.9
17053,313.3
17055,241.2
17057,357.4
17059,250.1
17061,295.2
17063,268.0
17065,268.9
17067,438.0
17069,6.8
17071,224.3
17073,566.0
17075,787.2
17077,289.0
17079,224.9
17081,346.2
17083,186.6
17085,256.0
17087,16.4
17089,194.5
17091,380.2
17093,167.7
17095,446.5
17097,23.3
17099,680.7
17101,234.8
17103,575.0
17105,690.1
17107,431.7
17109,339.2
17111,234.3
17113,699.2
17115,318.1
17117,414.2
17119,302.6
17121,168.3
17123,237.7
17125,316.2
17127,79.1
17129,168.9
17131,303.5
17133,431.4
17135,462.4
17137,325.6
17139,261.3
17141,508.4
17143,259.5
17145,408.6
17147,301.3
17149,398.7
17151,29.3
17153,120.9
17155,56.2
17157,561.7
17159,164.9
17161,163.9
17163,424.2
17165,138.4
17167,635.1
17169,167.8
17171,150.2
17173,372.0
17175,219.2
17177,395.1
17179,347.6
17181,93.5
17183,513.6
17185,156.8
17187,392.7
17189,907.4
17191,452.4
17193,341.7
17195,540.0
17197,219.5
17199,69.3
17201,200.8
17203,307.3
18001,262.5
18003,360.7
18005,139.4
18007,307.0
18009,3.8
18011,229.1
18013,1.0
18015,319.3
18017,255.9
18021,148.6
18023,273.9
18025,4.4
18027,237.2
18031,189.9
18033,217.4
18035,7.8
18037,192.1
18039,197.5
18041,11.5
18043,1.9
18045,219.2
18049,287.0
18051,398.9
18053,149.8
18055,129.1
18057,127.8
18059,176.4
18061,34.2
18063,160.2
18065,18.0
18067,147.5
18069,221.8
18071,54.1
18073,343.7
18075,7.8
18081,136.7
18083,477.8
18085,312.1
18087,210.9
18089,121.5
18091,295.4
18093,14.7
18095,211.6
18097,13.8
18099,228.0
18101,39.6
18103,211.8
18105,4.2
18107,281.8
18109,106.5
18111,202.3
18113,237.2
18117,9.5
18119,57.6
18121,149.5
18123,7.8
18125,63.6
18127,126.6
18129,420.5
18131,247.1
18133,146.3
18135,10.7
18139,224.9
18141,183.6
18145,238.9
18147,156.1
18149,141.7
18151,149.0
18153,173.8
18157,226.4
18159,184.0
18161,13.3
18163,95.5
18165,116.4
18167,110.0
18169,245.3
18171,195.1
18173,107.0
18175,23.0
18177,26.6
18179,270.5
18181,348.2
18183,249.4
19001,249.6
19003,165.0
19005,14.4
19007,32.2
19009,141.0
19013,2.0
19015,199.95000000000002
19017,1.7
19019,2.2
19021,217.4
19023,2.8
19025,429.2
19027,437.7
19029,270.7
19033,2.2
19035,185.85
19037,3.0
19039,33.1
19041,187.1
19043,11.4
19047,262.05
19049,336.6
19051,4.2
19053,48.800000000000004
19055,5.3
19057,1.1
19059,220.1
19061,9.6
19063,276.8
19065,6.0
19067,2.6
19069,3.3
19071,279.3
19073,203.4
19075,388.1
19077,142.5
19079,424.0
19081,1.4
19083,239.20000000000002
19085,215.4
19087,1.8
19089,2.4
19091,1.0
19093,312.7
19099,389.0
19101,1.2
19107,2.6
19109,2.2
19111,1.6
19115,0.6
19117,34.55
19119,228.9
19121,84.95
19123,1.9
19125,93.25
19127,355.6
19129,215.7
19131,2.3
19133,187.04999999999998
19135,42.55
19137,233.5
19141,189.14999999999998
19143,296.5
19145,305.6
19147,233.4
19149,293.3
19151,205.7
19153,208.6
19155,588.8
19157,338.7
19159,63.5
19161,421.8
19165,420.6
19167,335.5
19169,196.89999999999998
19171,419.7
