fips,mass
04001,3.0
04003,17.6
04005,0.1
04007,0.7
04009,2.3
04011,0.1
04013,0.4
04015,3.0
04017,0.0
04019,3.0
04021,0.1
04023,3.0
04025,3.5
06009,0.6
06013,14.4
06015,0.0
06017,0.1
06019,1472.4
06021,0.2
06025,516.4
06029,2705.9
06031,47.3
06033,0.0
06037,0.0
06039,330.7
06047,14.2
06053,39.9
06059,2.1
06065,3796.8
06067,28.6
06069,20.2
06071,4.9
06073,14.5
06077,552.7
06079,16.8
06083,2.7
06085,40.8
06087,0.6
06095,1.4
06099,33.7
06101,0.5
06107,2425.3
06109,0.0
06111,172.9
06113,2.3
09001,0.3
09003,0.8
09005,0.3
09007,0.2
09009,0.7
09011,0.1
09013,0.1
09015,0.3
16001,0.2
16003,0.3
16005,0.6499999999999999
16007,0.0
16009,0.0
16011,1.0999999999999999
16013,0.4
16015,0.3
16017,0.0
16019,0.2
16021,0.0
16023,0.0
16025,0.1
16027,0.5
16029,0.1
16031,0.1
16033,0.0
16037,0.0
16039,0.15
16041,0.35
16043,0.95
16045,0.35
16047,0.4
16049,0.0
16051,0.95
16053,0.6
16055,0.0
16057,0.0
16059,0.6
16061,0.0
16063,0.1
16065,0.4
16067,0.9
16069,0.1
16071,0.7
16073,0.3
16075,0.45
16077,0.55
16081,0.35
16083,0.6
16085,0.1
16087,0.4
20007,0.7
20015,0.0
20033,0.0
20035,0.7
20047,0.0
20057,0.0
20067,0.0
20069,0.1
20075,0.0
20077,0.7
20079,0.2
20081,0.0
20093,0.0
20095,0.4
20097,0.3
20129,0.1
20145,0.0
20151,1.5
20155,0.1
20173,0.1
20175,0.3
20185,0.1
20189,1.0
20191,1.8
23001,0.2
23003,0.1
23005,0.2
23007,0.0
23009,0.1
23011,0.1
23013,0.2
23015,0.2
23017,0.5
23019,0.3
23021,0.0
23023,0.2
23025,0.1
23027,0.1
23029,0.2
23031,0.3
24001,0.0
24005,0.0
24013,0.0
24021,0.0
24023,0.0
24025,0.0
24027,0.0
24031,0.0
24043,0.2
25001,0.1
25003,0.1
25005,0.2
25007,0.1
25009,0.3
25011,0.7
25013,0.3
25015,0.3
25017,0.5
25019,0.1
25021,0.1
25023,0.2
25027,2.6
26001,0.0
26005,2.0
26007,0.0
26009,7.2
26011,0.0
26015,0.1
26017,0.2
26019,2.05
26021,9.7
26023,0.1
26025,0.0
26027,0.4
26029,0.05
26031,0.0
26035,0.0
26037,0.1
26045,0.0
26047,0.0
26049,0.1
26051,0.1
26055,7.0
26057,0.1
26059,0.1
26063,0.0
26065,0.1
26067,0.1
26069,0.0
26073,0.1
26075,0.1
26077,0.1
26079,0.0
26081,5.6
26085,0.2
26087,0.1
26089,16.65
26091,0.0
26093,0.1
26099,0.1
26101,1.2000000000000002
26105,56.8
26107,0.0
26111,0.1
26113,0.0
26115,0.1
26117,0.15
26119,0.0
26121,2.6
26123,2.8
26125,0.1
26127,206.9
26129,0.0
26133,0.1
26139,2.6
26145,0.0
26147,0.2
26149,0.1
26151,0.1
26155,0.0
26157,0.1
26159,5.6
26161,0.1
26163,0.1
26165,0.0
30029,0.3
30039,0.0
30047,4.2
30053,0.0
30061,0.0
30063,0.0
30077,0.1
30081,0.1
30089,0.0
32001,0.0
32003,0.4
32007,0.0
32009,0.1
32017,0.1
32019,0.0
32023,0.4
32031,0.0
32033,0.0
33001,0.0
33003,0.1
33005,0.1
33007,0.0
33009,0.1
33011,0.3
33013,0.1
33015,0.5
33017,0.1
33019,0.0
34001,0.1
34003,0.1
34005,0.1
34007,0.1
34009,0.1
34011,0.1
34013,0.1
34015,0.3
34019,0.2
34021,0.0
34023,0.0
34025,0.1
34027,0.2
34029,0.0
34031,0.1
34033,0.0
34035,0.0
34037,0.2
34041,0.2
35005,0.5
35009,0.5
35013,1.7
35015,0.5
35025,2.4
35037,0.2
35041,0.4
36001,0.3
36003,0.3
36007,17.3
36009,0.3
36011,0.1
36013,0.2
36015,27.5
36017,0.0
36019,4.6
36021,2.7
36023,0.1
36025,0.1
36027,0.5
36029,0.0
36031,0.1
36033,0.0
36035,0.1
36037,0.0
36039,0.1
36041,0.1
36043,0.1
36045,0.1
36049,0.0
36051,0.0
36053,0.0
36055,0.1
36057,0.0
36059,0.0
36063,0.3
36065,0.3
36067,0.9
36069,0.0
36071,1.5
36073,0.5
36075,0.4
36077,0.2
36079,0.1
36081,0.1
36083,0.5
36087,0.1
36089,0.1
36091,0.5
36093,0.1
36095,0.4
36097,7.1
36099,0.0
36101,0.1
36103,0.5
36105,0.0
36107,14.7
36109,15.1
36111,6.6
36115,0.1
36117,1.9
36119,0.1
36121,0.0
36123,0.0
39005,0.0
39043,0.0
39077,0.0
39093,0.1
39123,0.0
39139,0.0
39143,0.0
39147,0.0
40003,0.0
40007,0.1
40009,0.5
40011,0.1
40013,0.0
40015,1.7
40017,0.3
40025,0.0
40031,2.1
40033,0.7
40039,0.2
40043,0.0
40045,0.0
40047,0.0
40051,0.3
40053,0.3
40055,1.3
40057,2.8
40065,12.2
40071,0.6
40073,0.0
40075,2.6
40081,0.3
40087,0.0
40093,0.1
40103,0.1
40109,0.3
40129,0.2
40139,0.2
40141,12.0
40149,1.2
40151,0.0
40153,0.0
41001,0.0
41003,1.1
41005,1.4
41007,0.4
41009,0.5
41011,0.3
41013,0.4
41015,0.3
41017,0.0
41019,0.4
41021,0.2
41023,0.1
41027,28.5
41029,0.7
41031,0.2
41033,0.5
41035,0.1
41037,0.2
41039,1.2
41041,1.1
41043,1.5
41045,0.6
41047,7.3
41049,0.2
41051,0.8
41053,15.6
41055,0.2
41057,0.4
41059,5.6
41061,0.5
41063,0.1
41065,128.8
41067,2.1
41069,0.0
41071,6.9
42001,3.7
42003,0.0
42005,0.0
42007,0.0
42009,0.2
42011,0.2
42013,0.0
42015,0.4
42017,0.1
42019,0.0
42021,0.0
42023,0.0
42025,0.0
42027,0.1
42029,0.1
42031,0.1
42033,0.0
42035,0.4
42037,0.0
42039,0.0
42041,0.0
42043,0.0
42045,0.0
42047,0.4
42049,0.2
42051,0.0
42053,0.0
42055,0.3
42057,0.0
42059,0.0
42061,0.1
42063,0.1
42065,0.0
42067,0.0
42069,0.1
42071,0.1
42073,0.1
42075,0.0
42077,0.1
42079,0.1
42081,0.4
42083,0.4
42085,0.0
42087,0.0
42089,0.1
42091,0.0
42093,0.0
42095,0.0
42097,0.1
42099,0.0
42101,0.0
42103,0.1
42105,0.4
42107,0.1
42109,0.1
42111,0.0
42113,0.0
42115,0.2
42117,0.2
42119,0.0
42121,0.1
42123,0.1
42125,0.0
42127,0.1
42129,0.0
42131,0.1
42133,0.2
44001,0.0
44003,0.0
44005,0.0
44007,0.2
