fips,mass
01001,186.75
01003,831.8
01005,164.45
01007,76.9
01009,79.05
01011,33.9
01013,13.9
01015,141.4
01017,70.65
01019,665.75
01021,87.95
01023,14.4
01025,1.7
01027,17.2
01029,15.2
01031,186.3
01033,1197.35
01035,34.7
01037,0.4
01039,207.05
01041,23.5
01043,178.85
01045,157.55
01047,487.6
01049,348.2
01051,259.95000000000005
01053,236.5
01055,79.4
01057,591.35
01059,218.8
01061,325.35
01063,11.8
01065,21.3
01067,229.85
01069,295.65
01071,585.9
01073,12.1
01075,97.65
01077,1756.1999999999998
01079,2156.45
01081,102.2
01083,3301.95
01085,108.95
01087,222.10000000000002
01089,2800.05
01091,105.4
01093,156.25
01095,123.2
01097,191.5
01099,74.0
01101,137.35
01103,346.8
01105,349.65000000000003
01107,389.55
01109,233.75
01111,79.7
01113,47.45
01115,3.0
01117,550.5
01119,63.05
01121,632.8499999999999
01123,73.55000000000001
01125,204.85
01127,90.1
01129,21.7
01131,17.3
01133,6.8
04001,95.0
04003,968.25
04005,0.2
04007,22.7
04009,1480.2
04011,12.1
04012,560.55
04013,1420.9499999999998
04015,226.55
04017,0.5
04019,958.25
04021,4544.6
04023,95.35
04025,110.8
04027,725.7
05001,41143.0
05003,5934.85
05005,0.1
05007,617.8
05009,5.1
05011,7.9
05013,149.1
05015,6.9
05017,14914.05
05019,997.55
05021,34837.2
05023,19.0
05025,150.95
05027,163.85
05029,1496.35
05031,51441.4
05033,8327.349999999999
05035,46966.4
05037,30224.6
05039,149.1
05041,15607.4
05043,3761.6
05045,764.25
05047,1347.4
05049,194.5
05053,10.25
05055,19348.8
05057,138.9
05059,32.2
05061,24.8
05063,5252.8
05065,16.95
05067,26463.8
05069,9240.25
05071,1233.3
05073,1313.55
05075,14866.9
05077,37862.6
05079,7984.3
05081,945.85
05083,1703.95
05085,24512.65
05087,90.4
05091,1681.95
05093,92463.0
05095,22594.3
05097,67.8
05099,15.9
05103,12.8
05105,159.85000000000002
05107,57317.25
05109,43.0
05111,42087.3
05115,3822.75
05117,21746.6
05119,1582.8
05121,6544.3
05123,32996.95
05125,10.5
05131,642.6500000000001
05133,109.15
05139,18.0
05143,95.9
05145,7362.7
05147,26445.2
05149,2192.35
06001,560.5
06005,209.3
06007,8382.6
06009,41.1
06011,6539.0
06013,86.8
06017,72.1
06019,99403.1
06021,14279.3
06027,21.7
06029,92042.2
06031,36099.5
06033,476.4
06037,1.8
06039,80896.1
06041,0.9
06045,626.0
06047,36022.8
06049,258.6
06051,24.0
06053,11516.3
06055,2251.9
06057,15.1
06059,0.7
06061,520.2
06065,378.4
06067,8523.3
06069,645.3
06071,12.2
06073,55.5
06077,35815.9
06079,6785.5
06083,4574.8
06085,116.7
06087,10.0
06089,363.3
06093,210.8
06095,6277.8
06097,3153.7
06099,40846.2
06101,3567.1
06103,5030.8
06107,58406.7
06111,342.6
06113,10194.9
06115,860.9
08001,6388.1
08003,181.2
08005,1606.35
08007,0.0
08009,3978.85
08011,499.6
08013,8.65
08014,206.6
08015,84.7
08017,4231.9
08021,181.2
08023,181.2
08025,17.75
08027,92.9
08029,0.2
08031,396.04999999999995
08033,0.1
08035,532.75
08037,0.1
08039,1159.4499999999998
08041,66.55
08043,17.65
08045,84.7
08047,84.7
08051,0.0
08055,6.45
08057,84.7
08059,6.0
08061,5046.9
08063,6869.95
08067,0.1
08069,36.45
08071,629.9
08073,4450.15
08075,213.0
08077,0.7
08081,0.1
08083,0.3
08085,0.2
08087,561.9
08089,216.04999999999998
08091,0.0
08095,2851.2
08097,0.0
08099,3934.9
08101,126.35
08103,0.1
08105,181.2
08107,84.7
08109,1259.8
08113,84.7
08115,225.10000000000002
08119,0.3
08121,6562.8
08123,730.8
08125,4323.3
09001,1.7
09003,4.4
09005,1.4
09007,1.1
09009,4.0
09011,0.7
09013,0.6
09015,1.9
10001,929.4
10003,1356.6999999999998
10005,985.4499999999999
12001,37.5
12003,19.4
12005,0.1
12013,684.9
12023,31.4
12029,12.1
12031,12.1
12033,809.5
12039,117.5
12045,12.2
12047,145.5
12059,416.5
12063,3104.5
12065,148.8
12067,260.0
12073,19.0
12077,12.1
12079,57.4
12083,12.1
12089,1.4
12091,228.1
12113,1337.8
12119,2.7
12121,207.1
12123,0.1
12127,5.5
12129,12.1
12131,274.7
12133,179.3
13001,8008.45
13003,2124.1000000000004
13005,3128.5
13007,1409.3
13009,1.7999999999999998
13011,20.35
13013,509.70000000000005
13015,204.85
13017,1145.0500000000002
13019,2723.25
13021,18.45
13023,1285.8
13025,20.65
13027,5881.85
13029,81.25
13031,4618.35
13033,2757.1
13035,14.450000000000001
13037,2108.0
13043,685.8
13045,8.1
13047,3.25
13049,41.1
13053,45.6
13055,84.25
13057,233.75
13059,3.85
13061,823.7
13063,3.0
13065,82.85
13069,5564.25
13071,6571.549999999999
13073,18.3
13075,2665.65
13077,57.7
13079,118.25
13081,4446.9
13083,46.0
13085,5.6499999999999995
13087,5107.2
13091,2911.2
13093,9672.15
13095,273.05
13097,14.9
13099,3072.7
13101,205.4
13103,703.3
13105,527.35
13107,1510.4
13109,1225.6
13111,237.5
13113,55.45
13115,125.44999999999999
13117,234.1
13119,36.699999999999996
13121,232.75
13123,57.75
13125,99.85
13127,7.4
13129,123.45
13131,2334.55
13133,48.25
13135,6.9
13137,58.099999999999994
13139,43.8
13141,17.0
13143,57.75
13145,8.5
13147,176.45000000000002
13149,15.2
13151,6.3500000000000005
13153,1011.6500000000001
13155,4110.85
