fips,mass
01003,0.1
01005,0.1
01009,0.0
01013,0.1
01023,0.1
01025,0.0
01031,0.1
01033,0.0
01035,0.0
01039,0.0
01041,0.0
01043,0.0
01045,0.0
01049,0.0
01053,0.0
01055,0.0
01061,0.3
01067,0.0
01069,2.4
01071,0.0
01077,0.4
01079,0.0
01083,0.2
01089,0.0
01093,0.0
01095,0.0
01097,0.5
01099,0.0
01103,0.0
01109,0.1
01113,0.1
01115,0.0
01129,0.1
01131,0.1
01133,0.0
04001,0.0
04003,0.0
04005,0.0
04007,0.0
04009,0.0
04013,0.0
04015,0.0
04017,0.0
04019,0.0
04021,0.0
04023,0.0
04025,0.0
05001,624.2
05003,2.1
05017,22.3
05019,2.0
05021,346.4
05029,6.7
05031,249.1
05033,1.6
05035,223.8
05037,491.6
05041,17.9
05043,3.9
05045,4.5
05047,2.0
05055,391.0
05063,35.5
05067,389.1
05069,55.1
05071,0.5
05073,19.5
05075,423.1
05077,63.1
05079,16.1
05081,2.0
05085,651.2
05091,2.0
05093,272.4
05095,263.6
05105,5.3
05107,101.0
05111,418.5
05115,13.6
05117,462.0
05119,13.8
05121,133.1
05123,251.3
05145,57.0
05147,380.2
05149,1.2
06007,233.8
06011,394.0
06013,0.0
06019,34.5
06021,256.4
06025,20.0
06029,32.8
06031,38.3
06037,0.1
06039,28.6
06047,63.7
06059,0.0
06061,20.7
06065,24.2
06067,29.6
06071,0.3
06073,6.3
06077,110.3
06079,0.1
06083,0.4
06085,0.5
06089,0.0
06095,7.9
06099,55.9
06101,285.6
06103,1.9
06107,49.6
06111,2.3
06113,94.5
06115,89.4
08001,16.4
08005,1.1
08009,3.5
08011,0.2
08013,0.5
08017,73.2
08025,0.1
08039,9.4
08041,0.7
08055,0.0
08059,0.0
08061,87.1
08063,58.5
08069,1.5
08071,0.0
08073,24.0
08075,1.8
08087,1.8
08089,0.3
08095,2.1
08099,1.5
08101,0.0
08115,0.5
08121,31.5
08123,7.1
08125,13.6
09001,1.4
09003,17.549999999999997
09005,30.75
09007,1.5
09009,4.8
09011,36.3
09013,26.85
09015,32.8
10001,18.1
10003,0.3
10005,72.7
12001,10.6
12003,3.2
12005,0.9
12007,5.0
12009,1.2
12011,0.55
12013,0.9
12015,7.0
12017,0.8
12019,0.8
12021,6.2
12023,6.5
12027,7.0
12029,4.1
12031,0.0
12033,0.1
12035,0.0
12039,2.6
12041,6.6
12043,1.2
12045,1.6
12047,4.45
12049,5.3
12051,17.45
12053,0.0
12055,2.9
12057,22.0
12059,0.1
12061,3.4
12063,8.7
12065,0.1
12067,6.1
12069,3.3
12071,2.6
12073,0.7
12075,1.1
12077,0.9
12079,3.3
12081,12.15
12083,15.3
12085,4.8
12086,20.25
12089,0.3
12091,0.0
12093,0.8
12095,3.9
12097,2.8
12099,21.35
12101,2.8
12103,0.0
12105,4.1
12107,0.2
12109,5.1
12111,3.95
12113,0.0
12115,1.75
12117,3.9
12119,0.1
12121,2.6
12123,1.15
12125,0.5
12127,0.2
12129,0.1
12131,0.0
12133,0.2
13001,0.15000000000000002
13003,0.2
13005,0.35
13017,0.1
13019,1.6
13025,0.15000000000000002
13027,2.5
13029,0.15000000000000002
13037,0.4
13039,0.15000000000000002
13045,0.0
13047,0.1
13049,0.0
13051,0.1
13055,0.0
13057,0.0
13061,0.3
13063,0.0
13065,0.2
13069,0.1
13071,6.0
13075,3.35
13077,0.0
13079,0.0
13081,5.8
13085,0.0
13087,5.8
13091,0.0
13093,0.2
13095,0.2
13097,0.0
13099,0.2
13101,1.0
13109,0.15000000000000002
13111,0.0
13113,0.0
13117,0.0
13121,0.0
13127,0.0
13129,0.0
13131,0.8
13133,0.0
13139,0.0
13141,0.0
13143,0.0
13145,0.0
13149,0.0
13151,0.0
13153,0.0
13155,0.2
13159,0.0
13161,0.30000000000000004
13167,0.0
13169,0.0
13171,0.0
13173,0.2
13175,0.1
13177,0.3
13179,0.15000000000000002
13183,0.15000000000000002
13185,1.4
13191,0.0
13193,0.0
13197,0.0
13199,0.0
13201,0.2
13205,0.1
13207,0.0
13209,0.0
13211,0.0
13215,0.0
13217,0.0
13219,0.0
13225,0.0
13227,0.0
13229,0.30000000000000004
13231,0.0
13235,0.0
13239,0.2
13243,0.2
13249,0.0
13253,0.2
13255,0.0
13259,0.2
13261,0.2
13263,0.0
13265,0.0
13267,2.5999999999999996
13269,0.1
13271,0.2
13273,0.2
13275,0.3
13277,6.699999999999999
13279,0.15000000000000002
13283,0.0
13285,0.0
13287,2.1
13289,0.0
13291,0.0
13293,0.0
13299,0.15000000000000002
13303,0.0
13305,0.05
13307,0.3
13309,0.0
13313,0.0
13315,3.3499999999999996
13319,0.0
13321,5.05
16055,0.0
17001,10.450000000000001
17003,1.2
17005,6.2
17007,6.25
17009,2.25
17011,15.0
17013,2.75
17015,10.05
17017,9.649999999999999
17019,30.05
17021,20.45
17023,21.05
17025,15.850000000000001
17027,19.8
17029,21.65
17031,0.45
17033,19.05
17035,13.05
17037,22.35
17039,18.3
17041,25.2
17043,0.15
17045,31.75
17047,9.3
17049,22.8
17051,25.75
17053,27.3
17055,4.2
17057,8.700000000000001
17059,16.0
17061,25.6
17063,11.950000000000001
17065,13.4
17067,10.65
17069,0.3
17071,5.8999999999999995
17073,14.799999999999999
17075,34.3
17077,6.9
17079,19.6
17081,5.4
17083,8.1
17085,7.55
17087,1.1
17089,8.8
17091,16.8
17093,7.55
17095,10.85
17097,1.1
17099,30.0
17101,20.85
17103,15.799999999999999
17105,30.3
17107,37.7
17109,8.0
17111,10.65
17113,61.0
17115,27.8
17117,18.1
17119,13.75
17121,15.05
17123,21.0
17125,39.9
17127,2.8000000000000003
17129,15.1
17131,9.4
17133,11.2
17135,20.55
17137,14.15
17139,25.5
17141,13.95
17143,23.7
17145,9.6
17147,13.35
17149,17.7
17151,0.55
17153,4.1
17155,2.25
17157,13.7
17159,14.75
17161,8.8
17163,20.8
17165,9.5
17167,28.15
17169,4.25
17171,6.9
17173,32.4
17175,19.9
17177,9.65
17179,37.7
17181,3.9
17183,22.6
17185,5.55
17187,18.6
17189,27.1
17191,13.25
17193,10.299999999999999
17195,14.9
17197,9.75
17199,4.0
17201,5.550000000000001
17203,27.1
18001,0.1
18003,0.15000000000000002
18005,1.4
18007,0.1
18009,0.1
18011,0.1
18013,0.3
18015,0.2
18017,0.45
18019,0.3
18021,13.3
18023,0.0
18025,0.3
18027,19.6
18029,0.0
18031,0.3
18033,0.15
18035,0.3
18037,12.2
18039,0.8500000000000001
18041,0.3
18043,0.3
18045,19.4
18047,0.2
18049,0.2
18051,19.8
18053,0.3
18055,10.8
18057,0.3
18059,0.1
18061,0.0
18063,0.1
18065,0.1
18067,0.3
18069,0.25
18071,0.3
18073,0.44999999999999996
18075,0.2
18077,0.3
18079,0.3
18081,0.3
18083,27.8
18085,0.1
18087,0.2
18089,0.15000000000000002
18091,7.449999999999999
18093,0.1
18095,0.2
18097,0.3
18099,0.35
18101,2.9
18103,0.6
18105,0.3
18107,24.9
18109,0.0
18111,0.44999999999999996
18113,0.05
18115,0.0
18117,0.3
18119,5.3
18121,13.3
18125,4.3
18127,0.0
18129,17.3
18131,0.4
18133,13.1
18135,0.3
18137,0.3
18139,0.2
18141,0.3
18145,0.3
18147,11.3
18149,0.44999999999999996
18151,0.3
18153,13.1
18155,0.0
18157,20.0
18159,0.3
18161,0.3
18163,5.8
18165,10.1
18167,9.9
18169,0.0
18171,17.3
18173,7.8
18175,0.3
18177,0.3
18179,0.0
18181,0.44999999999999996
18183,0.0
19005,0.2
19007,2.6
19011,10.8
19013,0.5
19015,9.5
19017,0.2
19019,0.3
19021,0.0
19023,0.0
19031,9.45
19033,0.05
19035,0.0
19037,0.6
19039,2.6
19041,0.0
19043,0.1
19045,11.8
19049,7.95
19051,5.7
19053,4.0
19055,0.2
19057,10.7
19059,0.0
19061,0.1
19063,0.0
19065,0.2
19067,0.0
19069,0.0
19075,9.2
19079,10.15
19081,0.0
19083,11.3
19087,14.9
19089,0.4
19091,0.0
19095,7.5
19097,6.7
19099,9.25
19101,11.5
19103,7.05
19105,9.55
19107,18.1
19109,0.1
19111,11.4
19113,8.65
19115,12.9
19117,2.8
19119,0.0
19121,7.5
19123,20.1
19125,8.5
19127,8.4
19131,0.25
19135,3.6
19139,5.25
19141,0.0
19147,0.0
19149,0.0
19151,0.0
19153,4.95
19157,8.05
19159,5.4
19163,6.55
19167,0.05
19169,9.3
19171,9.9
19175,7.3
19177,7.3
19179,9.7
19181,7.5
19183,19.1
19185,6.6
19187,12.05
19189,0.0
19191,0.3
19195,0.0
19197,0.1
20001,0.4
20003,3.9
20005,0.8
20007,0.4
20009,78.9
20011,2.7
20013,0.1
20015,4.5
20017,0.7
20019,0.4
20021,3.3
20023,43.7
20025,0.9
20027,19.8
20029,23.7
20031,1.1
20033,1.3
20035,7.8
20037,1.7
20039,15.0
20041,39.7
20045,0.5
20047,1.1
20049,0.7
20051,90.6
20053,35.1
20055,4.9
20057,4.6
20059,3.0
20061,2.0
20063,1.4
20065,51.9
20067,1.4
20069,3.7
20071,3.1
20073,1.9
20075,2.5
20077,0.5
20079,0.4
20081,2.4
20083,2.0
20085,0.7
20087,2.1
20089,43.5
20091,0.4
20093,2.6
20095,0.5
20097,1.1
20099,1.3
20101,2.5
20103,0.4
20105,42.1
20107,0.8
20109,1.5
20111,1.5
20113,30.2
20115,12.3
20117,7.0
20119,1.4
20121,0.8
20123,69.0
