fips,mass
04001,0.1
04003,294.9
04005,0.1
04007,1.2
04009,94.3
04011,38.4
04012,29.5
04013,123.4
04015,3.0
04017,6.7
04019,1.6
04021,205.4
04023,0.3
04025,1.85
04027,33.7
06005,14.4
06007,1129.0
06011,780.6
06013,60.3
06017,12.2
06019,6247.9
06021,1489.0
06025,3356.9
06029,1941.0
06031,2686.7
06035,2.9
06037,0.5
06039,1256.2
06047,2006.9
06053,206.0
06059,18.4
06061,6.9
06065,121.4
06067,300.4
06069,16.1
06071,2.4
06073,9.8
06077,2280.9
06079,145.4
06083,372.7
06085,46.5
06087,99.3
06089,43.8
06095,289.3
06097,37.5
06099,1948.7
06101,881.6
06103,445.2
06107,5399.6
06111,495.1
06113,459.2
06115,276.8
08001,37.8
08003,2.4
08005,0.2
08009,145.0
08011,35.4
08013,3.2
08014,0.4
08017,59.3
08021,2.8
08023,0.2
08025,0.9
08029,145.7
08033,35.7
08035,0.1
08039,6.4
08041,0.2
08043,0.6
08045,12.0
08055,0.6
08057,2.6
08059,0.2
08061,22.4
08063,183.3
08067,17.9
08069,13.9
08071,0.6
08073,27.8
08075,88.5
08077,147.4
08081,1.3
08083,110.7
08085,169.7
08087,71.8
08089,29.9
08095,103.7
08099,97.4
08101,15.1
08105,0.0
08107,0.2
08109,0.0
08113,16.6
08115,51.3
08121,107.0
08123,146.2
08125,197.1
16001,127.3
16003,6.9
16005,7.5
16009,189.4
16011,198.4
16013,2.85
16017,0.05
16019,41.4
16021,16.4
16023,1.1
16025,13.6
16027,841.2
16029,13.4
16031,328.8
16033,6.2
16035,49.4
16037,1.6
16039,377.1
16041,54.3
16043,23.1
16045,47.0
16047,365.0
16049,68.55
16051,29.6
16053,349.85
16055,19.7
16057,817.7
16059,0.2
16061,357.5
16063,107.1
16065,23.2
16067,145.65
16069,787.9
16071,9.7
16073,236.2
16075,128.7
16077,181.4
16079,0.1
16081,4.9
16083,618.1
16087,90.4
20001,51.6
20007,28.8
20009,80.3
20011,32.8
20015,205.8
20019,7.9
20021,162.1
20023,140.9
20025,12.5
20027,114.7
20029,78.2
20033,7.3
20035,61.8
20037,126.6
20039,165.8
20041,68.4
20047,163.7
20049,14.0
20051,22.6
20053,21.0
20055,999.0
20057,362.3
20063,502.8
20065,114.1
20067,604.3
20069,639.4
20071,292.2
20073,19.7
20075,143.6
20077,10.5
20079,213.3
20081,767.8
20083,147.8
20089,129.6
20093,381.1
20095,31.6
20097,87.5
20099,122.5
20101,105.3
20105,19.5
20109,447.8
20113,126.4
20115,144.7
20119,528.8
20123,75.5
20125,102.8
20129,234.0
20133,105.1
20135,90.3
20137,258.2
20141,61.6
20143,49.1
20145,148.7
20147,166.8
20151,144.2
20153,199.0
20155,148.2
20157,195.2
20159,109.0
20163,39.9
20165,37.0
20167,14.4
20169,18.6
20171,429.3
20173,150.7
20175,491.7
20179,354.5
20181,320.0
20183,161.8
20185,198.2
20187,610.0
20189,926.5
20191,182.7
20193,522.7
20195,95.1
20199,352.7
20201,202.7
20203,405.0
20205,99.2
20207,59.5
26001,0.0
26007,0.0
26009,0.9
26019,0.8
