fips,mass
01001,8.6
01003,945.9
01005,58.7
01009,23.7
01011,4.6
01013,50.1
01017,20.1
01019,12.9
01021,13.1
01025,5.1
01031,164.1
01035,22.6
01039,111.6
01041,8.8
01045,208.7
01047,51.9
01049,12.9
01051,4.6
01053,390.6
01057,128.8
01059,17.4
01061,326.7
01067,269.1
01069,422.6
01071,0.4
01079,108.9
01081,20.1
01085,15.9
01087,16.3
01091,4.6
01097,192.7
01099,220.7
01103,0.8
01105,8.1
01107,20.1
01109,44.0
01113,62.3
01119,4.6
01123,20.1
01129,144.0
01131,2.4
08013,1.0
08059,0.5
08069,5.6
08075,9.3
08087,5.1
08115,2.0
08123,19.1
12001,0.3
12013,103.8
12023,111.5
12029,27.0
12031,10.1
12033,137.8
12035,0.4
12039,5.4
12041,3.6
12045,16.2
12047,210.7
12051,0.4
12057,0.0
12059,89.8
12063,637.0
12065,31.7
12067,266.3
12073,16.2
12075,6.5
12079,202.6
12083,2.6
12091,32.5
12101,0.4
12103,0.0
12107,0.0
12109,0.4
12113,287.9
12119,0.4
12121,336.0
12127,0.0
12131,39.2
12133,31.5
13001,722.2
13003,197.1
13005,206.05
13007,466.9
13009,2.0
13011,7.0
13017,96.4
13019,346.0
13021,3.05
13023,35.05
13025,5.5
13027,231.7
13029,9.55
13031,389.4
13033,327.3
13035,3.3
13037,537.9
13039,0.3
13043,20.3
13049,0.8
13051,0.5
13061,161.8
13065,4.1
13069,420.1
13071,485.2
13073,1.6
13075,191.3
13079,6.15
13081,208.0
13087,1064.2
13091,61.25
13093,323.9
13095,81.1
13099,650.9
13101,42.7
13103,80.6
13105,7.8
13107,87.6
13109,96.19999999999999
13119,11.2
13125,4.2
13127,0.2
13131,315.2
13133,5.2
13135,111.1
13137,3.0
13141,2.4
13147,7.6
13153,7.5
13155,338.1
13159,4.9
13161,228.0
13163,139.1
13165,81.5
13167,41.6
13169,2.2
13171,0.1
13173,93.8
13175,58.45
13177,410.0
13179,0.4
13181,1.6
13183,0.5
13185,81.5
13189,4.4
13191,0.5
13193,38.5
13195,8.2
13197,12.1
13201,490.3
13205,878.8
13207,2.9
13209,37.5
13211,9.3
13217,4.2
13221,6.4
13225,2.8499999999999996
13229,274.45000000000005
13235,64.55000000000001
13237,3.9
13239,6.7
13241,0.7
13243,405.8
13245,0.4
13247,0.5
13249,13.4
13251,189.3
13253,506.8
13257,3.0
13259,27.8
13261,498.9
13265,1.4
13267,169.1
13269,10.3
13271,35.7
13273,495.1
13275,407.5
13277,295.2
13279,215.0
13283,15.55
13287,206.4
13289,24.700000000000003
13299,122.94999999999999
13301,3.3
13303,55.9
13305,88.85
13307,275.5
13309,3.55
13315,184.1
13317,5.2
13319,2.4
13321,611.0
16001,8.4
16003,3.5
16015,3.2
16027,16.0
16039,12.9
16045,3.0
16073,21.2
16075,6.1
16085,0.4
16087,10.7
27005,0.4
27027,0.2
27029,0.7
27069,0.4
27087,0.2
27089,0.3
27107,0.1
27113,0.2
27119,0.4
27125,0.1
27135,0.5
28035,11.0
28039,103.9
28041,120.2
28059,27.8
28067,11.0
28069,0.4
28087,13.1
28095,102.2
28101,0.9
28103,19.3
28105,13.1
28109,2.6
28111,11.0
28131,11.0
28153,11.0
30005,24.0
30011,0.7
30015,11.9
30017,0.9
30019,0.1
30021,0.4
30025,0.3
30033,0.9
30035,11.2
30041,6.0
30051,3.4
30055,0.4
30071,23.9
30073,4.1
30075,0.7
30079,0.3
30083,0.4
30085,0.3
30087,1.2
30091,0.1
30099,6.9
30101,5.8
30105,0.4
30109,0.2
31005,7.1
31007,3.9
31009,6.7
31013,5.4
31015,3.0
31017,8.3
31031,53.2
31033,3.7
31045,9.2
31049,0.8
31069,14.3
31071,4.6
31075,6.7
31089,12.6
31091,6.7
31103,5.1
31105,2.9
31113,4.3
31115,4.3
31117,7.9
31123,9.8
31149,7.7
31157,3.6
31161,20.8
31165,19.0
31171,6.7
31183,4.5
32001,9.5
32005,3.9
32013,29.3
32019,10.6
32027,5.6
32029,0.0
32031,4.3
32510,0.4
35025,13.8
35037,5.3
35041,5.3
37013,0.9
37015,130.3
37017,61.5
37019,0.3
37031,0.5
37041,79.8
37047,87.2
37049,4.9
37051,3.6
37053,4.6
37057,0.0
37059,0.0
37061,79.5
37065,101.8
37073,51.8
37079,10.0
37083,129.2
37085,4.3
37091,79.0
37093,4.3
37099,9.2
37101,4.7
37103,1.2
37107,4.2
37117,140.2
37127,54.8
37131,77.8
37133,4.3
37143,10.3
37147,20.8
37155,63.7
37163,69.7
37165,21.6
37167,2.6
37171,0.1
37179,2.6
37183,16.5
37185,0.1
37187,19.7
37191,8.7
37195,7.2
38001,1.7
38003,1.7
38005,8.6
38007,5.2
38009,4.1
38011,3.2
38013,3.1
38015,6.2
38017,0.4
38019,1.0
38021,1.9
38023,4.7
38025,0.3
38027,1.3
38029,5.0
38031,0.6
38033,2.9
38035,2.0
38037,8.4
38039,1.0
38041,0.9
38043,5.1
38045,1.1
38047,4.2
38049,24.1
38051,2.9
38053,0.3
38055,0.1
38057,0.1
38059,10.7
38061,12.2
38063,2.3
38065,0.1
38067,1.4
38069,5.2
38071,0.8
38073,2.4
38075,0.8
38077,0.6
38079,4.3
38081,0.7
38083,2.3
38085,6.0
38087,3.8
38089,1.8
38091,0.2
38093,3.6
38095,2.2
38097,0.1
38099,3.6
38101,4.6
38103,1.7
38105,7.7
40003,0.6
40009,9.9
40011,0.4
40013,0.8
40015,18.4
40017,0.9
40027,0.1
40029,0.0
40031,0.4
40037,0.0
40039,1.5
40051,1.9
40055,1.2
40057,0.4
40065,0.4
40075,1.4
40081,0.1
40085,0.6
40093,7.7
40107,0.0
40119,0.4
40141,0.6
40149,0.7
41001,8.4
41003,0.1
41005,0.4
41007,0.1
41009,0.2
41011,0.5
41013,6.7
41015,0.0
41017,2.9
41019,0.8
41021,1.0
41023,1.9
41025,22.3
41027,0.1
41029,1.3
41031,3.0
41033,0.1
41035,18.1
41037,22.9
41039,0.6
41041,0.0
41043,0.7
41045,24.2
41047,1.4
41049,8.1
41051,0.2
41053,0.2
41055,0.1
41057,0.2
41059,8.3
41061,9.2
41063,6.2
41065,1.4
41067,0.3
41069,1.4
41071,1.6
45001,11.0
45003,17.799999999999997
45005,38.05
45007,0.1
45009,73.85
45011,69.80000000000001
45013,4.65
45015,4.85
45017,413.0
45019,2.0
45025,0.8
45027,103.2
45029,70.05
45031,21.9
45033,7.3
45035,74.65
45037,3.6
45041,10.6
45043,1.9
45047,6.4
45049,96.6
45051,38.1
45053,4.6
45061,45.9
45063,31.2
45065,1.7
45067,9.2
45069,16.7
45071,7.2
45075,585.7
45079,6.8
45081,9.7
45083,0.0
45085,52.4
45089,9.5
46003,2.0
46005,4.1
46007,6.8
46013,2.7
46015,3.8
46017,3.6
46019,16.9
46021,2.8
46025,2.0
46029,1.5
46031,14.9
46033,8.1
46037,1.8
46039,1.6
46041,15.9
46045,2.5
46047,13.8
46049,3.3
46051,1.7
46053,5.2
46055,14.0
46057,0.7
46059,5.1
46063,21.7
46065,2.8
46069,4.8
46071,15.4
46073,2.0
46075,6.4
46081,1.8
46085,8.6
46089,5.2
46091,2.6
46093,26.3
46095,10.5
46102,16.9
46103,15.4
46105,21.7
46107,2.5
46109,1.7
46115,1.9
46117,10.1
46119,2.0
46121,12.4
46123,9.8
46129,2.9
46137,14.1
48003,5.6
48011,0.2
48017,12.2
48021,0.2
48027,1.6
48033,0.2
48045,10.2
