fips,mass
01001,0.2
01003,15.1
01005,1.5
01007,3.1
01009,4.4
01011,0.1
01013,0.8
01015,4.9
01017,0.4
01019,15.7
01021,1.7
01025,0.1
01027,0.4
01029,0.4
01031,4.3
01033,10.5
01035,0.4
01039,2.9
01041,0.2
01043,17.5
01045,5.5
01047,0.9
01049,29.8
01051,0.1
01053,6.2
01055,4.6
01057,1.7
01059,0.7
01061,8.6
01067,7.1
01069,11.1
01071,50.9
01073,0.5
01075,2.6
01077,10.1
01079,14.3
01081,0.4
01083,22.8
01085,0.3
01087,0.3
01089,15.4
01091,0.1
01093,1.4
01095,11.2
01097,3.1
01099,3.5
01103,2.8
01105,0.1
01107,5.2
01109,1.2
01111,0.4
01113,1.6
01115,0.2
01117,3.8
01119,0.1
01121,7.5
01123,0.4
01125,5.4
01127,2.0
01129,2.3
01131,0.0
01133,0.1
04001,7.9
04003,110.39999999999999
04005,0.75
04007,4.8
04009,17.849999999999998
04011,19.8
04012,406.95000000000005
04013,584.15
04015,43.300000000000004
04017,8.0
04019,22.200000000000003
04021,454.5
04023,15.1
04025,7.5
04027,164.4
05001,3005.6
05003,13.65
05007,2.1
05017,80.85
05019,5.4
05021,2547.1
05029,34.4
05031,1836.1999999999998
05033,9.25
05035,1128.5
05037,2363.0
05041,74.5
05043,15.45
05045,21.9
05047,6.2
05049,0.5
05053,0.0
05055,2865.9
05057,0.1
05059,0.2
05063,263.3
05065,0.0
05067,2859.2
05069,142.4
05071,1.9500000000000002
05073,54.900000000000006
05075,3098.0
05077,349.6
05079,49.75
05081,7.75
05083,2.0
05085,3101.6
05087,0.3
05091,10.15
05093,2034.6
05095,1277.6
05105,22.1
05107,567.1
05111,3079.3500000000004
05115,37.85
05117,2209.0
05119,63.7
05121,976.25
05123,1232.0
05125,0.0
05131,0.8
05133,0.2
05143,0.3
05145,421.29999999999995
05147,1832.7
05149,4.4
06011,21.0
06013,3.2
06019,50.8
06021,10.6
06025,1175.1
06029,103.2
06031,110.3
06035,20.5
06037,3.8
06039,62.0
06047,277.2
06049,55.7
06051,2.0
06065,203.5
06067,21.5
06071,2.9
06073,0.9
06077,72.5
06083,3.4
06089,6.5
06091,12.6
06093,73.2
06095,0.1
06099,59.7
06101,2.8
06103,1.4
06107,218.5
06113,12.3
08001,14.5
08003,112.1
08005,1.65
08007,12.2
08009,12.850000000000001
08011,39.0
08013,38.0
08014,1.3
08015,28.1
08017,4.75
08019,0.1
08021,317.9
08023,90.5
08025,7.2
08027,15.8
08029,67.15
08033,38.2
08035,6.8
08037,20.5
08039,29.2
08041,7.35
08043,16.2
08045,145.2
08049,7.6
08051,13.4
08053,0.6
08055,25.6
08057,5.2
08059,3.05
08061,3.25
08063,30.15
08067,42.050000000000004
08069,37.85
08071,24.35
08073,3.5
08075,64.7
08077,64.55
08079,5.4
08081,90.8
08083,102.30000000000001
08085,60.0
08087,61.45
08089,63.75
08091,4.9
08093,5.3
08095,21.7
08097,5.3
08099,115.94999999999999
08101,25.099999999999998
08103,42.6
08105,181.9
08107,64.7
08109,151.7
08113,7.8999999999999995
08115,15.6
08117,0.4
08119,6.0
08121,12.049999999999999
08123,198.65
08125,78.2
10003,48.0
12001,6.7
12003,0.0
12007,1.3
12009,0.7
12011,0.7
12015,2.4
12017,0.0
12019,0.0
12021,0.7
12023,4.3
12027,0.7
12029,0.7
12031,0.0
12041,1.3
12047,0.7
12049,0.0
12051,19.1
12053,0.0
12055,0.7
12057,0.5
12061,0.0
12067,0.7
12069,0.1
12071,0.0
12075,0.0
12079,0.0
12081,12.7
12083,7.5
12085,0.7
12086,32.0
12089,0.0
12093,1.7
12095,0.0
12097,1.3
12099,28.3
12101,1.3
12103,0.0
12105,0.6
12107,0.1
12109,1.3
12115,0.4
12117,0.0
12119,0.0
12121,0.7
12123,0.3
12125,0.0
12127,0.1
13003,5.4
13007,7.8
13015,2.1
13017,2.6
13019,9.5
13021,0.1
13023,1.5
13027,6.3
13031,14.0
13033,11.6
13037,9.0
13043,0.7
13055,2.5
13061,2.7
13065,0.1
13069,11.5
13071,13.3
13075,5.2
13079,0.2
13081,5.7
13087,17.8
13091,2.6
13093,8.9
13095,1.4
13099,10.9
13101,1.2
13103,2.9
13107,3.0
13115,4.0
13125,0.1
13129,7.3
13131,5.3
13153,0.3
13155,9.3
13161,6.2
13163,4.9
13165,2.9
13167,1.8
13171,0.0
13173,2.6
13175,2.5
13177,6.9
13185,2.2
13193,1.6
13197,0.5
13201,8.2
13205,14.7
13209,1.6
13213,2.6
13225,0.1
13233,1.3
13235,2.8
13239,0.1
13243,6.8
13249,0.5
13251,6.8
13253,8.5
13259,0.5
13261,8.4
13269,0.4
13271,1.0
13273,8.3
13275,6.8
13277,8.1
13283,0.7
13287,5.7
13289,1.1
13295,5.3
13303,2.4
13307,4.6
13309,0.1
13313,0.5
13315,5.0
13319,0.1
13321,16.7
16001,1.35
16003,0.0
16009,33.35
16011,1.3
16013,0.2
16017,6.1
16019,1.3
16021,27.25
16025,0.3
16027,16.6
16029,0.4
16031,13.2
16035,6.25
16039,4.2
16041,1.9
16043,1.9
16045,0.5
16047,1.0
16049,43.3
16053,10.6
16055,16.349999999999998
16057,146.7
16059,0.0
16061,71.75
16063,1.0
16065,1.1
16067,6.7
16069,150.15
16071,0.7
16073,5.6
16075,1.3
16077,1.3
16079,37.6
16081,0.4
16083,27.5
16085,0.0
16087,3.7
17001,199.7
17003,28.0
17005,276.6
17007,143.05
17009,43.3
17011,877.7
17013,103.4
17015,271.0
17017,223.2
17019,955.4
17021,597.5
17023,323.5
17025,441.79999999999995
17027,100.30000000000001
17029,305.4
17031,17.9
17033,261.20000000000005
17035,202.95
17037,473.45
17039,333.7
17041,316.25
17043,2.9
17045,407.9
17047,75.80000000000001
17049,370.3
17051,444.5
17053,440.54999999999995
17055,147.05
17057,167.35
17059,129.2
17061,382.7
17063,371.5
17065,135.89999999999998
17067,199.85
17069,9.15
17071,78.1
17073,1089.6
17075,1055.75
17077,104.05000000000001
17079,303.75
17081,218.89999999999998
17083,220.2
17085,305.45
17087,21.1
17089,229.5
17091,450.75
17093,191.14999999999998
17095,190.65
17097,26.4
17099,858.9
17101,277.95
17103,762.3
17105,985.0999999999999
17107,573.1
17109,148.85
17111,234.25
17113,1134.9499999999998
17115,503.3
17117,521.2
17119,478.2
17121,292.35
17123,298.65
17125,415.54999999999995
17127,91.0
17129,233.10000000000002
17131,611.1
17133,75.55
17135,606.2
17137,390.6
17139,236.75
17141,559.15
17143,361.05
17145,82.0
17147,435.95000000000005
17149,456.6
17151,14.9
17153,48.150000000000006
17155,115.80000000000001
17157,101.69999999999999
17159,221.15
17161,299.0
17163,100.75
17165,103.4
17167,741.1
17169,85.1
17171,199.6
17173,432.15
17175,283.35
17177,486.35
17179,474.2
17181,48.650000000000006
17183,756.5
17185,85.1
17187,156.6
17189,166.3
17191,256.79999999999995
17193,227.8
17195,558.9
17197,347.20000000000005
17199,30.95
17201,361.70000000000005
17203,463.3
18001,213.0
18003,284.05
18005,117.9
18007,78.85
18009,206.65
18011,193.35
18013,10.0
18015,173.75
18017,147.55
18019,79.69999999999999
18021,542.8499999999999
18023,205.14999999999998
18025,30.0
18027,127.8
18029,23.85
18031,145.5
18033,155.25
18035,392.35
18037,88.95
18039,92.1
18041,141.15
18043,42.05
18045,665.7
18047,84.9
18049,147.75
18051,165.55
18053,182.95
18055,78.05000000000001
18057,101.25
18059,138.6
18061,321.15
18063,113.25
18065,339.9
18067,123.2
18069,212.7
18071,586.75
18073,65.05
18075,437.04999999999995
18077,82.6
18079,119.5
18081,94.75
18083,224.85
18085,183.15
18087,88.44999999999999
18089,34.5
18091,62.95
18093,267.5
18095,171.55
18097,13.4
18099,138.15
18101,24.5
18103,169.4
18105,40.3
18107,1035.0
18109,94.95
18111,49.650000000000006
18113,163.95
18115,8.65
18117,224.15
18119,231.8
18121,508.2
18123,137.55
18125,56.8
18127,38.1
18129,136.8
18131,56.35
18133,486.85
18135,490.75
18137,164.15
18139,149.55
18141,102.35
18143,44.65
18145,171.5
18147,108.9
18149,33.85
18151,85.9
18153,116.19999999999999
18155,22.6
18157,718.6500000000001
18159,130.3
18161,148.5
18163,53.2
18165,383.75
18167,392.4
18169,168.89999999999998
18171,591.95
18173,69.8
18175,551.0999999999999
18177,247.0
18179,244.85000000000002
18181,74.6
18183,156.65
19001,22.75
19003,12.8
19005,151.3
19007,118.6
19009,286.55
19011,704.85
19013,440.35
19015,699.5
19017,341.5
19019,398.04999999999995
19021,475.15
19023,669.75
19025,377.25
19027,334.04999999999995
19029,17.45
19031,541.45
19033,634.0999999999999
19035,435.1
19037,390.6
19039,87.9
19041,431.04999999999995
19043,278.45
19045,521.4000000000001
19047,403.6
19049,661.9000000000001
19051,90.05
19053,151.55
19055,244.10000000000002
19057,147.05
19059,254.25
19061,164.65
19063,292.4
19065,496.15
19067,583.75
19069,617.9
19071,13.9
19073,400.05
19075,853.7
19077,291.65
19079,722.2
19081,618.6
19083,644.3
19085,383.9
19087,201.60000000000002
19089,439.8
19091,528.75
19093,277.29999999999995
19095,441.25
19097,214.5
19099,875.05
19101,152.64999999999998
19103,462.25
19105,352.6
19107,229.2
19109,1161.9
19111,154.0
19113,455.9
19115,158.4
19117,101.5
19119,408.1
19121,245.25
19123,228.4
19125,274.45
19127,805.55
19129,10.65
19131,495.85
19133,322.70000000000005
19135,99.75
19137,13.1
19139,327.25
19141,431.29999999999995
19143,314.15
19145,17.0
19147,394.35
19149,642.5
19151,467.55
19153,480.05
19155,25.35
19157,738.4
19159,207.25
19161,394.79999999999995
19163,315.75
19165,415.25
19167,538.3
19169,689.25
19171,969.4
19173,16.3
19175,229.8
19177,108.0
19179,136.4
19181,250.9
19183,234.75
19185,252.05
19187,1065.05
19189,464.1
19191,329.3
19193,451.7
19195,490.5
19197,722.85
20001,2.0
20003,32.1
20005,14.45
20007,18.7
20009,106.1
20011,1.4500000000000002
20013,23.549999999999997
20015,4.1
20017,8.4
20019,0.44999999999999996
20021,2.95
20023,17.5
20025,9.95
20027,320.65
20029,213.85000000000002
20031,24.7
20033,2.7
20035,3.9
20037,3.1
20039,10.25
20041,266.2
