fips,mass
05001,750.5
05003,23.2
05017,242.4
05019,4.7
05021,352.9
05029,44.7
05031,253.7
05033,4.9
05035,269.0
05037,591.0
05041,194.9
05043,42.7
05045,29.9
05047,6.2
05055,398.3
05063,36.2
05067,396.4
05069,598.2
05071,1.4
05073,59.3
05075,431.0
05077,75.9
05079,174.5
05081,6.0
05085,782.9
05091,6.2
05093,277.5
05095,317.0
05105,34.9
05107,121.4
05111,426.3
05115,41.3
05117,555.5
05119,91.9
05121,135.6
05123,302.2
05145,58.0
05147,457.1
05149,3.5
06007,38.3
06011,902.9
06019,18.5
06021,72.7
06047,0.1
06099,18.6
06101,111.6
06113,18.4
06115,16.4
22001,85.5
22003,18.0
22009,84.5
22011,1.8
22015,4.2
22017,4.2
22019,12.7
22021,4.2
22023,6.0
22025,6.7
22029,49.0
22035,27.1
22039,190.0
22041,19.4
22045,2.3
22053,67.0
22055,4.8
22061,0.2
22065,25.9
22067,242.5
22069,0.6
22073,7.9
22077,2.4
22079,45.3
22083,55.5
22091,0.55
22097,92.4
22099,2.8
22103,0.25
22105,2.15
22107,16.1
22113,57.5
22123,6.1
28011,206.4
28027,45.5
28033,10.1
28053,28.4
28055,1.8
28083,15.2
28093,0.7
28107,51.7
28119,71.8
28133,105.6
28135,45.9
28137,8.7
28143,193.3
28151,78.4
28163,10.1
29017,1.0
29023,212.1
29031,2.0
29069,62.7
29133,1.5
29143,46.3
29155,145.5
29181,17.8
29201,17.5
29207,146.8
47045,1.2
47097,0.9
48037,9.2
48039,15.5
48057,1.2
48071,18.2
48157,8.0
48167,0.1
48199,1.2
48201,0.5
48239,2.1
48245,21.1
48291,1.2
48321,12.4
48395,1.2
48469,5.6
48473,7.5
48481,30.9
