fips,mass
01001,750.15
01003,2604.05
01005,442.2
01007,0.5
01009,193.1
01011,8.35
01013,139.15
01015,26.2
01017,16.6
01019,229.3
01021,41.6
01023,13.45
01025,27.35
01027,0.5
01029,0.1
01031,862.2
01033,37.900000000000006
01035,277.35
01037,0.2
01039,855.0
01041,47.7
01043,3.9
01045,790.7
01047,1174.6999999999998
01049,106.5
01051,1110.2
01053,1359.5
01055,9.8
01057,131.3
01059,137.7
01061,1565.5
01063,1.5499999999999998
01065,61.35
01067,1364.5
01069,1363.4
01071,20.6
01073,0.5
01075,11.45
01077,130.05
01079,848.2
01081,21.95
01083,197.85
01085,338.2
01087,1006.15
01089,214.89999999999998
01091,298.25
01093,5.65
01095,3.2
01097,649.8499999999999
01099,877.65
01101,378.35
01103,21.700000000000003
01105,220.6
01107,58.949999999999996
01109,298.3
01111,11.2
01113,322.9
01115,0.2
01117,85.55
01119,58.75
01121,90.95
01123,16.85
01125,24.15
01127,11.45
01129,434.25
01131,20.450000000000003
01133,1.65
04001,1223.45
04003,396.29999999999995
04005,196.35000000000002
04007,1180.95
04009,264.95
04011,2142.25
04012,64.1
04013,2837.45
04015,287.85
04017,45.95
04019,73.55
04021,3049.55
04023,17.4
04025,208.39999999999998
04027,3416.95
05001,1074.6
05003,530.0
05007,1.2
05017,697.2
05019,59.65
05021,461.75
05025,0.5
05027,3.9
05029,19.8
05031,756.55
05033,14.2
05035,1405.0
05037,802.4
05041,596.4
05043,256.6
05045,10.1
05047,2.3
05049,1.0
05053,0.1
05055,232.04999999999998
05057,5.3
05059,0.4
05061,0.3
05063,122.1
05065,0.1
05067,316.1
05069,260.9
05071,2.1
05073,103.85
05075,350.5
05077,1389.1
05079,541.3
05081,71.25
05083,2.9
05085,682.5
05087,0.2
05091,122.4
05093,1296.65
05095,616.9
05097,3.6
05105,2.1
05107,1749.2
05109,3.6
05111,545.65
05115,6.5
05117,579.1
05119,20.9
05121,153.3
05123,1077.2
05125,0.1
05131,1.1
05133,3.7
05143,0.2
05145,172.7
05147,702.4
05149,3.7
06001,194.8
06005,57.5
06007,660.5
06009,5.1
