fips,mass
01003,1.4
01005,4.0
01013,5.8
01023,0.4
01025,1.4
01031,3.1
01035,0.4
01039,1.2
01041,1.6
01045,2.6
01053,1.6
01061,3.2
01067,3.3
01069,3.4
01097,12.4
01099,1.4
01109,3.1
01113,1.2
01129,0.3
01131,1.4
04001,0.3
04003,1.7
04005,0.0
04007,0.1
04009,0.3
04011,0.0
04013,1.1
04015,0.4
04017,0.0
04019,0.3
04021,0.1
04023,0.3
04025,0.3
04027,4.6
06001,15.1
06005,6.4
06007,412.9
06009,0.7
06011,358.9
06013,0.3
06017,5.1
06019,1218.0
06021,532.1
06029,1146.0
06031,176.1
06033,35.8
06037,0.1
06039,1066.1
06041,0.3
06045,34.6
06047,805.6
06053,61.2
06055,89.1
06059,7.7
06061,23.0
06065,40.9
06067,222.9
06071,0.1
06073,5.1
06077,753.2
06079,39.9
06083,26.0
06085,1.8
06087,0.3
06089,17.3
06095,113.1
06097,210.8
06099,782.9
06101,235.1
06103,369.6
06107,1742.2
06111,15.9
06113,324.8
06115,86.8
09001,0.5
09003,1.2
09005,0.4
09007,0.3
09009,1.1
09011,0.2
09013,0.2
09015,0.5
12001,53.599999999999994
12003,0.5
12005,1.0
12007,51.55
12009,13.4
12011,0.1
12013,1.5
12015,67.8
12017,52.7
12019,0.0
12021,67.8
12023,3.2
12027,772.7
12029,0.5
12031,2.1
12033,4.0
12035,1.6
12039,1.5
12041,0.6000000000000001
12043,66.1
12045,1.5
12047,1.8
12049,618.0
12051,1083.9
12053,9.100000000000001
12055,673.7
12057,60.400000000000006
12059,1.5
12061,528.0
12063,3.7
12065,14.6
12067,52.5
12069,99.5
12071,73.7
12073,1.5
12075,2.2
12077,0.0
12079,1.7
12081,64.8
12083,18.3
12085,231.3
12086,62.2
12089,1.4
12091,1.5
12093,68.5
12095,42.7
12097,64.2
12099,78.2
12101,31.4
12103,52.4
12105,921.2
12107,3.4
12109,0.4
12111,502.2
12113,1.4
12115,66.6
12117,9.0
12119,51.0
12121,1.7
12123,1.6
12127,11.85
12129,0.3
12131,1.5
12133,0.4
13001,22.1
13003,1.7
13005,2.9
