fips,mass
04001,11.350000000000001
04003,105.6
04005,16.75
04007,3.8000000000000003
04009,30.5
04011,25.5
04012,405.95000000000005
04013,607.05
04015,77.25
04017,11.7
04019,22.15
04021,494.9
04023,7.8500000000000005
04025,21.15
04027,213.95000000000002
06007,6.1
06011,265.1
06013,8.1
06019,2906.3
06021,95.2
06025,3315.0
06029,646.1
06031,3689.8
06037,7.8
06039,280.6
06045,6.4
06047,1018.9
06049,11.1
06053,946.8
06065,280.3
06067,16.1
06069,42.0
06071,14.9
06073,6.7
06077,253.1
06079,133.9
06081,8.6
06083,379.2
06085,16.4
06087,35.7
06093,80.4
06095,464.7
06099,235.4
06101,89.4
06103,1.4
06107,409.7
06111,399.7
06113,408.7
08001,3.4
08003,24.4
08005,0.7
08007,1.5
08009,44.4
08011,152.9
08013,5.6
08014,0.3
08015,3.3
08017,1.5
08019,0.0
08021,69.0
08023,19.6
08025,26.9
08027,31.2
08029,14.9
08033,3.0
08035,1.8
08037,2.4
08039,7.7
08041,3.9
08043,32.0
08045,17.2
08049,0.9
08051,1.6
08053,0.1
08055,50.6
08057,0.6
08059,0.3
08061,0.4
08063,2.2
08067,9.9
08069,9.9
08071,88.4
08073,1.0
08075,17.8
08077,15.2
08079,1.2
08081,10.8
08083,21.1
08085,12.1
08087,17.6
08089,235.0
08091,0.6
08093,0.6
08095,1.5
08097,0.6
08099,449.5
08101,67.9
08103,5.1
08105,39.5
08107,7.7
08109,33.0
08113,1.8
08115,1.6
08117,0.0
08119,0.7
08121,4.1
08123,55.1
08125,7.0
09001,4.300000000000001
09003,10.85
09005,3.55
09007,2.7
09009,9.899999999999999
09011,1.7999999999999998
09013,1.55
09015,4.75
12001,0.3
12007,34.2
12009,34.2
12013,2.3
12015,34.2
12017,34.2
12019,1.0
12021,34.2
12023,1.5
12027,0.0
12029,0.4
12031,0.1
12033,3.1
12035,34.2
12039,0.1
12041,0.0
12045,0.4
12047,2.8
12049,68.9
12053,34.2
12055,28.0
12057,34.2
12059,2.0
12061,0.0
12063,14.4
12065,0.7
12067,3.6
12069,0.0
12071,34.2
12073,0.4
12075,38.3
12079,2.7
12081,34.2
12083,0.2
12085,34.2
12086,34.2
12091,0.7
12093,34.2
12095,34.2
12097,34.2
12099,34.2
12101,34.2
12105,0.1
12107,34.2
12109,392.8
12113,6.5
12117,34.2
12119,0.2
12121,4.5
12125,34.2
12127,0.2
12131,0.9
12133,0.7
13001,26.2
13003,4.5
13005,4.3
13007,6.3
13011,0.0
13017,2.2
13019,7.9
13021,0.1
13023,1.2
13025,2.5
13027,5.3
13029,4.3
13031,24.650000000000002
13033,23.45
13037,7.3
13043,3.1500000000000004
13061,2.2
13065,0.1
13069,9.6
13071,11.1
13073,30.45
13075,4.4
13079,0.2
13081,4.8
13087,14.4
13091,2.1
13093,7.4
13095,1.1
13099,8.8
13101,1.0
13103,38.9
13105,0.2
13107,43.75
13109,3.6
13119,1.0
13125,5.7
13127,0.7
13131,4.3
13137,29.2
13147,29.2
13153,0.2
13155,7.8
13161,5.2
13163,72.7
13165,7.6000000000000005
13167,1.4
13171,0.0
13173,2.2
13175,2.0
13177,5.5
13179,0.4
13183,2.5
13185,1.9
13189,30.45
13193,1.3
13195,29.2
