fips,mass
05007,0.2
05009,0.1
05015,0.1
05087,0.0
05143,0.1
08001,1.1
08005,0.0
08009,1.2
08011,0.3
08014,0.0
08017,1.7
08025,0.0
08035,0.0
08039,0.2
08041,0.0
08043,0.0
08055,0.0
08061,0.6
08063,5.2
08071,0.0
08073,0.8
08089,0.3
08095,2.9
08099,0.8
08101,0.1
08121,3.0
08125,5.6
17001,8.8
17003,0.3
17005,4.1
17007,2.3
17009,1.7
17011,10.6
17013,1.6
17015,5.1
17017,5.5
17019,11.6
17021,12.7
17023,5.8
17025,4.8
17027,3.1
17029,6.0
17031,0.2
17033,5.2
17035,3.5
17037,8.1
17039,5.0
17041,6.9
17043,0.0
17045,8.6
17047,0.15
17049,6.4
17051,7.2
17053,5.3
17055,0.25
17057,7.3
17059,0.35
17061,7.9
17063,4.9
17065,0.25
17067,9.1
17069,0.0
17071,4.1
17073,11.0
17075,13.3
17077,1.5
17079,5.5
17081,0.4
17083,4.9
17085,4.2
17087,0.2
17089,3.4
17091,6.2
17093,2.8
17095,8.8
17097,0.4
17099,11.8
17101,5.6
17103,9.9
17105,11.8
17107,10.2
17109,6.9
17111,3.9
17113,16.8
17115,7.6
17117,11.1
17119,8.5
17121,4.2
17123,5.6
17125,7.4
17127,0.15
17129,4.0
17131,6.0
17133,1.9
17135,12.5
17137,8.6
17139,6.1
17141,8.3
17143,6.1
17145,1.6
17147,5.2
17149,10.4
17151,0.05
17153,0.8
17155,1.1
17157,2.4
17159,4.0
17161,3.1
17163,3.2
17165,0.2
17167,16.7
17169,3.5
17171,4.0
17173,8.9
17175,5.1
17177,6.6
17179,8.2
17181,0.8
17183,8.8
17185,0.15
17187,7.8
17189,4.3
17191,0.55
17193,0.5
17195,8.7
17197,4.2
17199,0.7
17201,3.8
17203,7.3
18001,2.9
18003,3.5
18005,0.9
18007,3.1
18009,1.4
18011,1.55
18013,0.0
18015,2.4
18017,2.0
18019,0.9
18021,1.7
18023,1.65
18025,0.0
18027,1.9
18029,0.2
18031,1.1
18033,1.8
18035,2.5
18037,1.3
18039,1.3
18041,1.1
18043,0.2
18045,2.3
18047,1.3
18049,2.2
18051,2.1
18053,1.2000000000000002
18055,1.1
18057,0.75
18059,1.1
18061,0.8
18063,0.95
18065,2.4
18067,0.9
18069,2.7
18071,1.5
18073,3.0
18075,2.9
18077,0.7
18079,1.2
18081,0.75
18083,2.9
18085,2.3
18087,2.0
18089,1.3
18091,2.7
18093,0.6
18095,1.4
18097,0.15000000000000002
18099,1.8
18101,0.3
18103,1.8
18105,0.1
18107,3.2
18109,0.7
18111,1.9
18113,2.8
18115,0.1
18117,0.7
18119,0.7
18121,1.7
18123,0.3
18125,0.6
18127,1.3
18129,1.8
18131,2.4
18133,1.6
18135,3.9
18137,1.7
18139,1.2999999999999998
18141,1.4
18143,0.6
18145,1.4500000000000002
18147,1.3
18149,1.4
18151,1.6
18153,1.4
18155,0.3
18157,2.4
18159,1.1
18161,1.2
18163,0.7
18165,1.3
18167,1.2
18169,2.0
18171,2.0
18173,0.9
18175,1.3
18177,2.0
18179,3.5
18181,3.2
18183,2.4
19001,4.4
19003,2.8
19005,3.1
19007,2.5
19009,4.9
19011,8.0
19013,6.1
19015,6.3
19017,5.4
19019,7.2
19023,5.3
19025,7.1
19027,7.0
19029,4.7
19031,6.6
19033,5.0
19037,5.9
19039,2.3
19043,5.8
19045,7.9
19047,8.4
19049,5.6
19051,3.4
19053,3.7
19055,7.6
19057,6.2
19061,5.4
19065,6.9
19067,4.4
19069,5.9
19071,5.1
19073,7.0
19075,6.6
19077,4.9
19079,6.8
19081,5.9
19083,7.2
19085,7.2
19087,8.6
19089,5.7
19091,3.4
19093,5.2
19095,5.4
19097,4.1
19099,6.6
19101,6.7
19103,5.2
19105,6.1
19107,10.2
19109,9.3
19111,6.6
19113,5.9
19115,7.2
19117,2.5
19121,6.6
19123,11.2
19125,7.5
19127,6.1
19129,3.9
19131,4.6
19133,6.2
19135,3.0
19137,4.1
19139,3.8
19145,5.4
19153,3.6
19155,10.1
19157,5.7
19159,4.9
19161,7.1
19163,4.5
19165,7.2
19169,6.3
19171,7.2
19173,3.6
19175,6.4
19177,4.3
19179,5.7
19181,6.6
19183,10.8
19185,6.2
19187,8.6
19189,3.7
19191,6.4
19193,8.0
19195,3.4
19197,5.5
20001,1.1
20003,2.3
20005,3.0
20007,0.8
20009,2.3
20011,0.8
20013,4.9
20015,2.95
20017,0.5
20019,0.25
20021,2.6
20023,1.7
20027,3.7
20029,2.4
20031,1.4
20033,0.1
20035,1.8
20037,2.2
20039,1.9
20041,2.55
20043,2.8
20045,1.25
20047,2.4
20049,0.35
20051,0.6
20053,0.6
20059,1.8
20061,0.44999999999999996
20063,4.0
20065,1.3
20071,2.3
20073,0.7
20077,0.8
20079,4.8
20085,2.0
20087,2.0
20089,3.7
20091,0.4
20095,1.1
20097,1.6
20099,2.2
20101,0.8
20103,1.3
20105,0.75
20107,1.3
20109,3.6
20111,1.85
20113,4.050000000000001
20115,4.5
20117,6.4
20121,1.25
20123,2.3
20125,1.9500000000000002
20127,1.0
20131,5.0
20133,1.75
20135,0.7
20137,3.1
20139,2.05
20141,1.6
20143,2.0
20145,2.0
20147,3.4
20149,1.9
20151,2.6
20153,2.2
20155,5.0
20157,4.9
20159,3.3499999999999996
20161,1.4
20163,1.1
20165,0.95
20167,0.5
20169,1.0
20171,3.5
20173,4.7
20177,1.0
20179,4.1
20181,3.6
20183,4.2
20185,3.1
20191,6.9
20193,6.0
20195,0.8
20197,0.7
20199,2.8
20201,5.5
20203,3.2
20205,1.9
20207,1.1
20209,0.2
21007,0.6
21033,0.2
21035,0.7
21039,0.5
21047,0.8
21055,0.2
21059,0.8
21075,0.8
21083,1.3
21091,0.1
21101,0.6
21105,0.7
21107,0.3
21139,0.3
21141,0.6
21143,0.1
21145,0.4
21149,0.4
21157,0.4
21177,0.2
21183,0.3
21213,0.3
21219,0.4
21221,0.4
21225,0.6
21233,0.4
27037,3.2
27039,3.7
27045,4.4
27049,4.9
27055,1.5
27099,6.4
27109,3.4
27157,2.4
27169,2.6
29001,2.9
29003,4.7
29005,9.9
29007,7.8
29009,2.15
29011,11.65
29013,5.3
29015,1.2
29017,2.5
29019,3.4
29021,4.4
29023,2.8
29025,3.5
29027,4.2
29029,0.1
29031,3.9
29033,11.9
29035,0.0
29037,3.8
29039,0.4
29041,9.4
29043,0.1
29045,4.5
29047,1.4
29049,4.3
29051,0.8
29053,5.1
29055,0.1
29057,4.1
29059,0.2
29061,4.2
29063,3.2
29065,0.0
29067,0.0
29069,2.9
29071,1.5
29073,0.8
29075,3.1
29077,0.4
29079,4.5
29081,5.7
29083,3.6
29085,0.3
29087,6.7
29089,3.9
29091,0.2
29093,0.1
29095,1.5
29097,6.5
29099,0.3
29101,3.4
29103,2.95
29105,0.3
29107,6.0
29109,2.15
29111,3.45
29113,3.9
29115,4.8
29117,6.8
29119,0.25
29121,6.5
29123,0.0
29125,0.4
29127,4.55
29129,2.3
29131,0.3
29133,5.1
29135,2.0
29137,4.5
29139,3.7
29141,1.3
29143,6.6
29145,1.1
29147,9.2
29149,0.0
29151,1.2
29153,0.0
29155,3.7
29157,2.5
29159,7.3
29161,0.0
29163,4.3
29165,3.7
29167,0.6
29169,0.0
29171,2.1
29173,3.8000000000000003
29175,3.3
29177,4.6
29179,0.0
29181,0.7
29183,3.5
29185,1.6
29186,1.2
29187,0.2
29189,0.3
29195,15.4
29197,1.5
29199,3.4000000000000004
29201,4.6
29203,0.0
29205,4.35
29207,6.9
29209,0.15000000000000002
29211,2.3
29213,0.1
29215,0.3
29217,4.9
29219,2.0
29221,0.0
29223,1.5
29225,0.6
29227,1.3
29229,0.2
31001,6.7
31003,5.1
31011,4.9
31019,6.5
31021,3.9
31023,6.5
31025,6.4
31027,5.9
31029,4.8
31035,9.3
31037,5.0
31039,5.1
31041,7.9
31043,2.2
31047,5.8
31051,3.2
31053,6.8
31055,1.6
31057,2.4
31059,10.9
31061,3.8
31063,3.2
31065,4.5
31067,14.4
31073,2.9
31077,2.8
31079,6.1
31081,7.0
31083,3.9
31085,2.3
31087,1.7
31093,3.4
31095,9.2
31097,3.8
31099,5.3
31101,2.9
31107,3.9
31109,7.0
31111,6.6
31119,4.4
31121,4.3
31125,3.2
31127,7.7
31129,8.0
31131,11.2
31133,5.4
31135,6.0
31137,6.2
31139,4.0
31141,7.2
31143,4.8
31145,2.9
31147,8.8
31151,10.3
31153,1.9
31155,8.8
31159,6.2
31163,2.9
31167,2.7
31169,8.4
31173,2.9
31175,3.0
31177,4.2
31179,3.9
31181,3.5
31185,7.8
39001,0.8
39003,3.3
39011,3.5
39015,2.0
39017,1.5
39021,3.3
39023,2.9
39025,0.9
39027,3.6
39037,6.1
39039,3.3
39041,2.0
39045,2.8
39047,3.6
39049,0.8
39051,3.4
39053,0.2
39057,3.0
39061,0.1
39063,3.9
39065,4.5
39069,4.0
39071,3.2
39079,0.1
39083,2.2
39087,0.0
39089,2.6
39091,3.3
39095,1.1
39097,4.5
39101,3.4
39107,4.7
39109,3.0
39113,1.7
39117,2.4
39125,3.4
39129,5.1
39131,0.7
39135,3.6
39137,4.9
39141,2.3
39145,0.4
39149,3.7
39159,3.3
39161,4.3
39165,1.1
39171,3.1
39173,4.3
40003,0.7
40005,0.0
40013,0.0
40017,0.0
40027,0.0
40029,0.0
40035,0.5
40037,0.0
40041,0.1
40047,1.5
40049,0.1
40051,0.1
40053,2.0
40067,0.0
40069,0.0
40071,4.0
40073,0.0
40081,0.0
40083,0.0
40085,0.0
40087,0.1
40093,0.3
40095,0.0
40097,0.2
40099,0.0
40103,1.3
40105,0.1
40107,0.0
40109,0.0
40113,0.3
40115,1.0
40117,0.1
40119,0.0
40123,0.0
40125,0.0
40131,0.1
40133,0.0
40137,0.0
40143,0.1
40145,0.2
40147,0.1
40151,0.0
40153,0.0
46009,2.7
46023,4.1
46027,2.8
46043,2.4
46067,4.6
46083,3.7
46125,5.0
46127,3.8
46135,3.3
