fips,mass
04001,0.9
04003,112.6
04005,1.5
04007,0.7
04009,2.0
04012,121.4
04013,401.4
04015,0.3
04017,2.0
04019,0.8
04021,0.4
04023,1.8
04025,1.2
04027,120.2
06007,2809.1
06009,10.2
06011,509.8
06013,177.5
06015,225.8
06019,20921.8
06021,738.4
06023,41.6
06025,2799.7
06029,11335.7
06031,8273.3
06037,85.7
06039,6151.4
06047,9668.1
06053,1602.2
06059,62.3
06065,250.8
06067,242.0
06069,370.6
06071,13.6
06073,418.1
06077,12301.3
06079,323.3
06083,1344.0
06085,402.8
06087,231.9
06089,1.1
06093,2015.6
06095,415.1
06097,0.2
06099,19480.6
06101,44.5
06103,140.6
06107,8022.7
06111,700.9
06113,351.9
06115,65.2
12001,0.7
12003,0.1
12007,2.1
12009,0.2
12011,0.2
12015,3.1
12017,2.1
12021,6.9
12023,0.9
12027,1.8
12029,1.8
12031,2.4
12033,1.1
12039,0.2
12041,2.3
12045,0.1
12049,1.8
12053,2.1
12055,9.5
12057,363.1
12059,0.3
12061,0.5
12063,0.3
12065,0.1
12067,0.3
12069,2.1
12071,1.8
12073,0.8
12079,0.3
12081,1.8
12083,2.1
12085,6.5
12086,0.2
12089,1.7
12091,0.2
12095,2.3
12097,2.1
12101,2.1
12105,2.1
12107,0.0
12109,2.1
12111,1.8
12115,1.8
12117,2.0
12119,0.5
12121,0.4
12125,2.1
12127,0.0
12129,0.3
12131,0.5
12133,0.2
13001,0.1
13003,16.4
13017,999.5
13039,7.7
13045,0.4
13069,999.5
13077,7.9
13079,0.1
13087,0.2
13093,1015.9
13099,0.2
13109,7.7
13113,0.1
13131,8.1
13133,0.1
13141,7.9
13145,7.9
13151,0.5
13161,614.4
13169,0.1
13175,37.3
13193,7.7
13199,7.7
13201,0.1
13209,29.5
13217,7.7
13225,0.3
13231,0.1
13235,7.9
13239,0.2
13265,0.1
13267,1726.1
13269,0.1
13271,16.4
13279,1517.5
13287,16.4
13289,7.9
13303,0.1
13305,7.7
13319,7.9
16001,3.2
16003,0.0
16005,58.1
16007,16.4
16011,1358.9
16013,58.1
16015,0.5
16019,337.4
16023,21.6
16025,58.1
16027,147.9
16029,58.1
16031,58.1
16033,3.9
16037,33.5
16039,263.9
16041,58.1
16043,432.1
16045,58.1
16047,76.8
16051,625.2
