fips,mass
01033,18.8
01059,1.0
01077,13.4
01079,19.4
01083,14.3
01089,21.6
01093,1.0
01103,1.7
01133,0.2
05001,104.6
05003,40.6
05005,0.0
05007,4.3
05009,2.1
05015,2.9
05017,54.1
05021,34.2
05023,1.6
05031,42.5
05033,2.1
05035,28.2
05037,31.3
05041,64.9
05043,21.5
05047,0.8
05049,0.6
05055,31.4
05063,6.3
05065,0.6
05067,14.0
05069,94.6
05071,2.0
05075,8.8
05077,69.7
05079,44.9
05083,0.6
05085,76.3
05087,0.8
05093,22.4
05095,59.7
05107,78.3
05111,23.5
05115,1.7
05117,34.4
05121,5.6
05123,35.7
05131,0.6
05143,3.1
05145,6.0
05147,39.2
05149,2.6
08001,366.65
08003,0.7
08005,75.45
08009,450.15
08011,91.15
08013,12.7
08014,5.7
08015,3.1
08017,335.3
08019,0.4
08021,0.8
08025,2.5
08027,2.4
08029,13.0
08031,0.2
08033,0.4
08035,6.6
08037,5.3
08039,69.05
08041,3.6
08043,1.95
08045,1.1
08047,0.4
08049,1.8
08051,0.4
08055,1.65
08057,1.3
08059,1.0
08061,287.5
08063,741.1999999999999
08067,1.6
08069,47.6
08071,9.75
08073,272.3
08075,588.2
08077,13.6
08081,56.1
08083,8.8
08085,14.7
08087,335.1
08089,77.0
08093,0.4
08095,355.75
08097,0.4
08099,335.25
08101,38.7
08103,2.9
08105,0.0
08107,13.7
08109,0.0
08113,1.5
08115,256.3
08119,0.4
08121,555.2
08123,760.4
08125,636.15
10001,193.4
10003,70.5
10005,385.4
17001,302.2
17003,21.8
17005,134.1
17007,257.2
17009,57.5
17011,1309.0
17013,54.1
17015,736.7
17017,214.2
17019,1702.8
17021,473.4
17023,437.2
17025,327.7
17027,384.4
17029,450.2
17031,13.7
17033,396.3
17035,268.9
17037,941.7
17039,267.2
17041,532.0
17043,6.9
17045,663.9
17047,38.2
17049,481.8
17051,541.4
17053,779.9
17055,34.2
17057,250.9
17059,65.5
17061,296.3
17063,500.6
17065,54.9
17067,308.1
17069,1.3
17071,157.8
17073,1244.0
17075,1959.4
17077,132.3
17079,414.3
17081,41.2
17083,187.6
17085,562.7
17087,20.9
17089,362.9
17091,946.4
17093,313.1
17095,314.3
17097,43.5
17099,1269.5
17101,432.5
17103,1262.8
17105,1717.7
17107,550.0
17109,238.8
17111,436.9
17113,890.8
17115,405.3
17117,416.5
17119,304.6
17121,310.0
17123,302.8
17125,402.9
17127,19.9
17129,215.2
17131,667.1
17133,213.7
17135,465.7
17137,327.4
17139,481.3
17141,1116.0
17143,330.7
17145,170.4
17147,749.9
17149,400.5
17151,4.4
17153,80.0
17155,123.3
17157,267.5
17159,303.8
17161,360.3
17163,390.7
17165,38.8
17167,639.4
17169,117.9
17171,150.8
17173,685.3
17175,279.3
17177,868.4
17179,442.9
17181,73.0
17183,1278.5
17185,42.6
17187,276.5
17189,512.0
17191,105.7
17193,81.7
17195,1185.3
17197,410.0
17199,74.4
17201,441.4
17203,391.5
18001,440.7
18003,521.4
18005,111.0
18007,737.6
18009,134.7
18011,182.4
18013,6.6
18015,948.3
18017,763.3
18019,61.7
18021,95.8
18023,218.1
18025,15.0
18027,215.5
18029,12.7
18031,151.2
18033,259.0
18035,237.5
18037,135.7
18039,574.5
18041,126.3
18043,32.1
18045,141.3
18047,102.8
18049,892.1
18051,217.2
18053,119.3
18055,120.3
18057,101.8
18059,140.5
18061,203.3
18063,127.5
18065,244.1
18067,117.5
18069,395.9
18071,428.1
18073,825.8
18075,276.2
18077,44.3
18079,83.2
18081,108.9
18083,305.6
18085,891.8
18087,351.4
18089,291.9
18091,709.8
18093,143.8
18095,168.5
18097,11.0
18099,703.7
18101,32.3
18103,551.7
18105,36.6
18107,181.7
18109,84.8
18111,486.0
18113,450.0
18115,6.1
18117,217.9
18119,37.1
18121,96.4
18123,68.6
18125,48.1
18127,304.1
18129,189.2
18131,593.7
18133,94.3
18135,394.2
18137,120.1
18139,179.1
18141,564.5
18143,51.9
18145,190.2
18147,122.4
18149,340.4
18151,263.6
18153,142.0
18155,20.3
18157,146.0
18159,146.5
18161,126.6
18163,63.6
18165,75.0
18167,70.9
18169,681.4
18171,125.8
18173,87.0
18175,336.9
18177,213.6
18179,540.8
18181,836.8
18183,383.4
19001,72.9
19003,47.8
19005,145.9
19007,29.7
19009,354.1
19011,752.6
19013,262.9
19015,515.7
19017,240.2
19019,331.6
19021,294.4
19023,903.9
19025,541.1
19027,551.1
19029,81.0
19031,656.2
19033,843.0
19035,249.0
19037,263.6
19039,29.7
19041,253.5
19043,280.9
19045,820.7
19047,651.9
19049,434.0
19051,51.8
19053,46.3
19055,386.9
19057,97.7
19059,149.0
19061,279.4
19063,186.9
19065,295.4
19067,750.7
19069,1000.9
19071,84.9
19073,508.9
19075,502.5
19077,352.6
19079,549.5
19081,1000.1
19083,616.6
19085,540.0
19087,135.6
19089,239.4
19091,585.0
19093,393.6
19095,522.2
19097,465.7
19099,501.1
19101,104.8
19103,485.2
19105,665.8
19107,164.5
19109,1581.0
19111,103.8
19113,593.1
19115,117.4
19117,32.5
19119,307.5
19121,86.4
19123,183.0
19125,98.5
19127,459.3
19129,65.8
19131,790.1
19133,469.3
19135,41.6
19137,70.4
19139,365.9
19141,255.7
19143,201.9
19145,91.5
19147,314.1
19149,391.7
19151,280.1
19153,269.4
19155,178.9
19157,436.2
19159,62.0
19161,531.6
19163,454.3
19165,530.0
19167,454.1
19169,508.7
19171,541.2
19173,61.0
19175,84.5
19177,66.4
19179,87.8
19181,86.3
19183,173.9
19185,76.3
19187,657.8
19189,634.9
19191,299.6
19193,593.1
19195,584.4
19197,931.4
20001,16.5
20003,231.5
20005,329.55
20007,75.55
20009,177.45
20011,10.5
20013,561.25
20015,65.6
20017,40.25
20019,2.5
20021,51.7
20023,369.8
20025,51.95
20027,631.05
20029,431.1
20031,128.65
20033,33.1
20035,19.7
20037,40.4
20039,368.6
20041,117.9
20043,335.75
20045,141.85
20047,395.75
20049,4.5
20051,84.85000000000001
