fips,mass
04001,38.2
04003,124.0
04005,0.1
04007,22.95
04009,30.2
04011,1.1
04013,13.05
04015,38.2
04017,10.5
04019,29.5
04021,8.35
04023,29.5
04025,40.7
04027,6.4
06007,51024.3
06009,554.7
06011,99711.2
06013,237.0
06017,296.4
06019,232502.5
06021,34543.1
06025,25785.7
06029,149835.2
06031,91318.5
06033,4284.0
06037,32.3
06039,30425.0
06041,913.4
06045,3049.2
06047,44092.2
06053,22564.2
06055,21647.6
06061,3672.9
06065,34777.3
06067,1008.7
06069,7820.0
06071,129.3
06073,2424.2
06077,121419.0
06079,13631.7
06083,8070.6
06085,344.7
06087,561.4
06089,1324.4
06095,8799.3
06097,13108.5
06099,62437.5
06101,100717.4
06103,25134.5
06107,142250.0
06111,20933.5
06113,38126.9
06115,22745.8
16001,577.4
16003,1324.0
16005,988.8
16009,1950.0
16011,988.8
16013,988.8
16015,988.8
16017,353.0
16019,105.3
16021,103.8
16023,12.6
16025,2.1
16027,1324.0
16031,88.5
16037,5.3
16039,20.0
16041,988.8
16043,988.8
16045,1134.8
16047,988.8
16049,103.8
16051,63.2
16053,988.8
16055,228.4
16057,270.0
16059,988.8
16061,81.0
16065,52.7
16067,31.6
16069,1950.0
16071,988.8
16073,1324.0
16075,1262.1
16077,55.8
16079,1950.0
16081,988.8
16083,105.3
16087,1324.0
32003,48.1
41001,8236.3
41003,1260.15
41005,2147.35
41007,21.1
41009,561.3499999999999
41011,12753.0
41015,12343.4
41019,1761.3
41021,5211.7
41027,251287.0
41029,13121.6
41033,810.6
41039,2886.95
41041,6496.5
41043,2605.1
41047,8234.0
41049,5211.7
41051,709.3
41053,1553.1
41055,791.25
41057,37.1
41059,32350.6
41061,8287.9
41063,8236.3
41065,3856.2000000000003
41067,3630.15
41071,1711.1
53001,27537.4
53003,4361.85
53005,10697.7
53007,301159.6
53009,6954.950000000001
53011,1821.9499999999998
53013,3379.75
53015,6950.6
53017,106530.9
53019,1815.8
53021,57739.9
53023,3412.65
53025,240495.3
53027,6950.6
53029,110.15
53031,215.1
53033,1239.4499999999998
53035,268.15
53037,4473.6
53039,5440.0
53041,163.85000000000002
53043,240.15
53045,6950.6
53047,129647.5
53049,0.1
53051,6645.2
53053,228.55
53055,966.4000000000001
53057,6965.1
53059,6950.6
53061,117.19999999999999
53063,2415.1
53065,6890.5
53067,322.79999999999995
53069,6948.75
53071,882690.6499999999
53073,6961.700000000001
53075,4361.85
53077,261423.4
