fips,mass
16001,0.0
16003,0.0
16009,0.1
16017,0.1
16021,0.0
16027,0.0
16035,0.1
16045,0.1
16049,0.1
16055,0.0
16057,0.1
16069,0.1
16073,0.0
16075,0.0
16079,0.1
16087,0.0
26001,0.0
26005,0.0
26007,0.0
26009,0.4
26011,0.0
26015,0.0
26017,0.0
26019,0.4
26021,0.2
26023,0.0
26025,0.0
26027,0.0
26029,0.1
26031,0.0
26035,0.0
26037,0.0
26045,0.0
26047,0.0
26049,0.0
26051,0.0
26055,0.6
26057,0.0
26059,0.0
26063,0.0
26065,0.0
26067,0.0
26069,0.0
26073,0.0
26075,0.0
26077,0.0
26079,0.0
26081,0.6
26085,0.0
26087,0.0
26089,0.5
26091,0.0
26093,0.0
26099,0.1
26101,0.2
26105,0.1
26107,0.0
26111,0.0
26113,0.0
26115,0.0
26117,0.2
26119,0.0
26121,0.2
26123,0.1
26125,0.1
26127,0.4
26129,0.0
26133,0.0
26135,0.0
26137,0.0
26139,0.2
26141,0.0
26143,0.0
26145,0.0
26147,0.0
26149,0.0
26151,0.0
26155,0.0
26157,0.0
26159,0.2
26161,0.0
26163,0.0
26165,0.0
41001,2.0
41003,0.2
41005,0.4
41009,0.1
41011,1.55
41013,2.0
41015,1.55
41017,2.0
41019,0.1
41021,2.4
41023,2.0
41027,117.2
41029,1.55
41033,0.1
41037,2.0
41039,0.3
41041,2.0
41043,0.4
41045,0.0
41047,2.0
41049,2.4
41051,0.1
41053,0.1
41055,0.4
41057,0.0
41059,2.0
41061,2.0
41063,2.0
41065,1.8
41067,0.2
41069,2.0
41071,0.1
53001,0.8
53003,1.7
53005,0.8
53007,30.3
53009,0.8
53011,0.2
53013,1.2
53015,0.8
53017,5.5
53019,0.2
53021,0.5
53023,1.7
53025,0.8
53027,0.8
53029,0.0
53031,0.0
53033,0.1
53035,0.0
53037,0.4
53039,0.5
53041,0.0
53043,0.0
53045,0.8
53047,12.7
53051,0.7
53053,0.0
53055,0.1
53057,0.8
53059,0.8
53061,0.0
53063,0.0
53065,0.7
53067,0.0
53069,0.8
53071,1.7
53073,0.8
53075,1.7
53077,24.6
