fips,mass
01001,3.6
01003,354.2
01005,36.3
01011,1.9
01013,18.8
01025,1.9
01031,101.5
01035,8.5
01039,69.0
01041,5.4
01045,129.0
01047,21.5
01051,1.9
01053,146.2
01061,201.9
01067,166.3
01069,261.3
01085,6.6
01087,6.7
01091,1.9
01097,72.1
01099,82.7
01105,3.3
01109,27.2
01113,38.5
01119,1.9
01129,53.9
01131,0.9
05001,771.1
05003,197.0
05007,14.8
05017,703.7
05021,521.2
05029,107.2
05031,508.8
05033,104.6
05035,822.7
05037,565.4
05041,776.3
05043,150.5
05045,54.8
05047,16.9
05049,5.5
05053,0.7
05055,360.0
05057,1.5
05059,2.3
05063,108.3
05065,0.4
05067,541.4
05069,476.5
05071,15.4
05073,80.2
05075,311.1
05077,566.2
05079,320.8
05081,53.5
05083,21.4
05085,442.9
05087,2.1
05091,99.8
05093,1228.6
05095,413.6
05105,11.4
05107,987.9
05111,701.7
05115,48.0
05117,405.2
05119,113.0
05121,136.1
05123,543.9
05125,0.8
05131,8.0
05133,2.1
05143,2.1
05145,153.2
05147,493.7
05149,27.4
08001,4.0
08009,1.4
08017,0.8
08025,0.1
08059,0.7
08061,1.4
08063,16.5
08069,0.5
08073,1.4
08075,1.5
08087,0.7
08089,0.2
08095,0.8
08099,1.4
08101,1.4
08115,2.6
08121,1.2
08123,0.7
08125,15.9
12001,0.2
12007,0.0
12009,6.8
12011,0.0
12015,0.5
12017,5.8
12019,5.8
12021,6.8
12027,6.8
12035,0.4
12041,5.8
12049,6.8
12051,6.8
12053,0.0
12055,0.0
12057,20.6
12061,6.8
12069,0.0
12071,6.8
12075,5.8
12081,210.3
12083,0.1
12085,0.1
12086,35.2
12093,1.9
12095,0.0
12097,0.1
12099,4.3
12101,5.8
12103,5.8
12105,5.8
12107,0.0
12109,5.8
12111,0.2
12115,6.8
12117,0.0
12119,5.8
12125,0.1
12127,0.1
13001,72.7
13003,126.8
13005,20.7
13007,183.9
13017,62.1
13019,222.6
13021,0.9
13023,12.6
13025,0.5
13027,149.1
13029,0.9
13031,117.0
13033,96.4
13037,211.9
13043,5.7
13061,63.8
13065,2.6
13069,270.3
13071,312.2
13075,123.1
13079,1.9
13081,133.9
13087,419.3
13091,21.7
13093,208.5
13095,31.9
13099,256.5
13101,27.5
13103,24.1
13107,25.2
13109,9.7
13125,1.0
13131,124.2
13135,0.0
13153,2.5
13155,217.6
13161,146.7
13163,41.0
13165,24.1
13167,14.6
13171,0.1
13173,60.4
13175,20.5
13177,161.5
13185,52.4
13193,36.6
13197,11.5
13201,193.2
13205,346.2
13209,13.5
13225,0.8
13229,27.7
13235,23.5
13239,2.6
13243,159.9
13249,12.7
13251,56.5
13253,199.7
13259,11.0
13261,196.6
13267,16.9
13269,9.8
13271,22.9
13273,195.1
13275,160.5
13277,189.9
13279,21.6
13283,5.5
13287,132.8
13289,8.9
13299,12.3
13303,19.9
13305,8.9
13307,108.6
13309,1.2
13315,118.5
13319,0.6
13321,393.2
17001,320.2
17003,139.2
17005,445.9
17007,195.7
17009,66.3
17011,719.9
17013,154.7
17015,220.6
17017,366.0
17019,18.8
17021,1007.2
17023,78.3
17025,107.2
17027,430.3
17029,73.4
17031,24.3
17033,63.2
17035,47.8
17037,638.4
17039,9.4
17041,75.4
17043,2.0
17045,98.9
17047,86.4
17049,87.2
17051,105.5
17053,8.6
17055,165.9
17057,270.4
17059,147.3
17061,624.2
17063,512.3
17065,154.8
17067,336.3
17069,9.9
17071,122.7
17073,893.0
17075,20.7
17077,487.9
17079,73.2
17081,247.4
17083,349.7
17085,244.5
17087,96.7
17089,312.5
17091,8.8
