fips,mass
04001,304.9
04003,2854.85
04005,30.0
04007,93.5
04009,799.7
04011,528.2
04012,21733.8
04013,15506.550000000001
04015,1663.3
04017,307.2
04019,588.75
04021,12039.5
04023,202.6
04025,146.85
04027,4259.7
06005,0.3
06007,46.7
06009,42.3
06011,125.9
06013,550.8
06019,12779.7
06021,424.0
06025,7257.4
06029,4552.0
06031,28419.5
06033,33.5
06035,55.3
06037,90.7
06039,953.6
06045,12.1
06047,5192.5
06053,21131.9
06055,70.6
06059,200.1
06061,0.0
06065,1611.2
06067,101.5
06069,451.3
06071,2.1
06073,754.5
06077,5444.1
06079,8258.6
06083,22403.8
06085,707.1
06087,4383.3
06089,449.3
06093,336.5
06095,164.7
06097,13.4
06099,687.3
06101,121.8
06103,32.7
06107,6358.6
06111,12340.7
06113,77.1
06115,104.1
09001,0.5
09003,7.1
09005,3.4
09007,0.5
09009,0.9
09011,1.3
09013,0.5
09015,0.6
12001,178.95
12003,0.2
12007,175.7
12009,190.2
12011,0.9
12015,649.3
12017,210.45
12019,34.949999999999996
12021,727.5
12023,5.8
12027,7653.0
12029,1.3
12031,1.4
12035,7.8
12041,36.449999999999996
12043,630.3
12047,5.5
12049,6123.6
12051,10694.6
12053,28.049999999999997
12055,6593.6
12057,549.1
12061,4013.0
12067,174.5
12069,334.15
12071,782.7
12075,40.35
12081,3160.8
12083,63.0
12085,2251.4
12086,1033.2
12089,0.4
12093,671.0
12095,146.05
12097,215.2
12099,681.6
12101,138.55
12103,212.25
12105,3120.25
12107,7.75
12109,37.550000000000004
12111,3272.4
12115,712.6
12117,27.799999999999997
12119,203.95
12121,0.1
12123,5.5
12125,1.75
12127,39.7
13011,13.6
13105,49.2
13119,7.9
13137,49.2
13147,49.2
13195,49.2
13221,1.1
13241,49.2
13257,49.2
13317,6.8
16001,4.1
16003,6.7
16005,9.9
16007,2.7
16009,9.5
16011,222.4
16013,9.5
16015,0.1
16017,0.0
16019,55.2
16021,9.5
16023,3.5
16025,9.5
16027,874.25
16029,9.5
16031,4.75
16033,0.6
16035,9.5
16037,5.5
16039,25.35
16041,9.5
16043,71.2
16045,5.25
16047,6.3
16049,0.0
16051,102.9
16053,28.1
16055,9.5
16057,0.0
16059,0.4
16063,9.5
16065,109.1
16067,95.4
16069,9.5
16071,32.0
16073,2.05
16075,85.9
16077,144.9
16081,14.2
16083,16.15
16085,16.2
16087,120.95
17001,4.2
17003,3.5
17005,20.9
17009,30.7
17013,20.9
17017,20.9
17021,2.3
17023,20.9
17025,20.9
17029,20.9
17033,12.3
17035,20.9
17041,1.1
17045,20.9
17051,7.6
17055,0.8
17057,30.7
17071,30.7
17077,1.9
17081,18.8
17083,0.2
17087,1.2
17095,30.7
17101,20.9
17109,1.7
17117,3.4
17119,26.5
17121,20.9
17127,20.9
17133,6.3
17135,20.9
17137,1.1
17139,144.5
17145,20.9
17149,20.9
17151,0.2
17157,0.8
17159,20.9
17163,17.3
17167,21.7
17169,30.7
17171,20.9
17173,2.1
17181,2.7
17185,20.9
17189,20.9
17191,20.9
17193,20.9
17199,4.8
18001,13.799999999999999
18003,12.299999999999999
18005,93.45
18009,49.9
18011,8.45
18013,24.5
18015,0.6
18017,19.8
18019,77.9
18021,24.5
18023,0.6
18025,24.5
18027,14.0
18029,12.1
18031,18.45
18033,18.45
18035,238.3
18037,2.8
18039,30.5
18041,134.0
18043,24.5
18045,24.5
18047,29.8
18049,4.5
18051,24.1
18053,24.5
18055,0.1
18057,12.850000000000001
18059,4.0
18061,2.0
18063,6.75
18065,157.3
18067,24.5
18069,24.5
18071,24.5
18073,28.2
18075,152.4
18077,42.2
18079,39.5
18081,18.45
18083,24.1
18085,1.1
18087,14.15
18089,8.7
18091,24.1
18093,4.8
18095,17.3
18097,12.55
18099,27.1
18101,3.1
18103,24.1
18105,24.5
18107,24.5
18109,3.25
18111,24.1
18113,8.45
18115,5.6
18117,24.5
18119,24.5
18121,26.6
18127,2.8
18129,24.1
18131,21.7
18133,24.5
18135,134.0
18137,54.4
18139,24.2
18141,24.1
18143,4.8
18145,19.05
18147,22.6
18149,24.1
18151,18.45
18153,24.1
18155,24.9
18157,24.5
18159,24.5
18161,145.7
18163,6.2
18167,24.5
18169,1.7
18171,24.5
18173,1.4
18175,24.5
18177,188.1
18179,6.75
18181,24.1
18183,6.35
19051,5.25
19057,0.1
19087,1.6
19101,1.1
19107,1.6
19111,1.6
19115,1.6
19123,1.6
19177,1.7
19179,1.6
19183,1.95
20001,12.049999999999999
20007,49.849999999999994
20011,10.5
20015,39.75
20019,4.8999999999999995
20021,27.2
20033,45.8
20035,31.7
20037,14.299999999999999
20047,88.3
20049,21.9
20073,19.55
20077,27.2
20079,24.25
20095,113.7
20097,71.9
20099,30.8
20125,13.899999999999999
20133,11.899999999999999
20145,122.9
20151,64.3
20155,262.2
20173,67.44999999999999
20185,230.7
20191,43.650000000000006
20205,15.8
20207,15.950000000000001
21001,1.6
21003,5.1
21007,1.1
21009,2.3
21015,45.0
21023,9.7
21027,8.2
21029,4.3
21031,2.0
21033,1.6
21035,1.1
21037,5.7
21041,6.7
21045,3.7
21047,30.55
21055,1.6
21059,10.55
21077,15.6
21081,20.4
21083,1.1
21085,4.0
21087,1.6
21091,1.6
21093,9.1
21099,11.9
21101,1.6
21103,3.1
21105,1.1
21107,1.6
21111,3.4
21117,6.2
21123,18.7
21139,1.1
21141,2.2
21143,1.1
21145,3.6
21149,2.8
21155,1.6
21157,3.4
21163,13.6
21169,11.9
21171,3.1
21177,1.6
21179,2.3
21183,0.6
21185,6.7
21187,7.2
21191,2.6
21207,0.7
21213,1.6
21217,2.0
21219,16.950000000000003
21221,4.8
21223,7.1
21225,1.6
21227,1.6
21233,1.6
23001,22.2
23005,3.9
23007,1.2
23009,0.8
23011,4.4
23013,1.9
23015,0.9
23017,195.6
23019,261.5
23021,6.7
23023,0.5
23025,1.4
23027,1.4
23029,2.3
23031,3.1
25001,1.6
25003,2.0
25005,1.4
25007,0.8
25009,1.9
25011,180.3
25013,2.5
25015,367.2
25017,2.8
25019,0.5
25021,3.0
25023,1.3
25027,5.2
26001,66.94999999999999
26007,148.4
26009,177.4
26019,81.0
26029,121.9
26031,11.85
26035,106.0
26039,6.7
26047,44.2
26051,130.15
26055,264.8
26057,2216.05
26069,112.65
26073,901.0500000000001
26079,12.0
26085,49.1
26089,244.1
26101,224.8
26105,709.3
26107,955.2
26111,369.35
26113,1295.3
26117,1509.05
26119,28.95
26121,487.4
26123,1356.1
26127,1041.7
26129,282.8
26133,272.95000000000005
26135,35.6
26137,34.9
26141,292.1
26143,1.3
26165,249.3
29001,0.6
29007,8.6
29015,1.5
29019,14.4
29023,3.2
29027,1.95
29029,2.25
29031,1.5
29041,8.7
29051,0.6
29053,2.25
29055,8.0
29059,4.75
29069,42.8
29071,2.3
29073,0.4
29079,2.3
29085,2.25
29089,0.3
29099,8.8
29105,2.25
29111,1.1
29113,0.1
29117,2.3
29121,2.3
29125,2.25
29127,2.25
29131,0.6
29135,3.05
29137,1.4
29139,1.1
29141,4.45
29151,2.25
29155,7.5
29157,0.8
29159,2.25
29161,1.7
29163,2.5
29169,2.25
29173,2.25
29175,2.6
29183,9.9
29186,1.0
29189,1.5
29195,2.25
29201,1.5
29205,2.25
29207,1.5
29211,2.3
29219,11.2
29221,1.5
30001,0.2
30029,0.2
30031,20.8
30043,0.2
30047,4.0
30053,0.2
30057,1.2
30063,0.0
