fips,mass
06019,81.1
06029,779.7
06037,190.6
06049,890.7
06053,1216.3
06069,123.6
06077,51.8
06079,112.1
06083,175.3
06093,306.6
12001,5.9
12023,0.2
12041,0.4
12067,0.5
12069,0.3
12089,0.0
12107,0.1
12121,0.2
13001,3.3
13003,4.3
13005,0.1
13017,1.9
13019,14.3
13027,10.5
13029,0.1
13031,214.4
13065,1.8
13069,16.9
13071,6.5
13075,4.8
13091,1.4
13101,1.8
13103,87.2
13107,138.8
13123,0.3
13129,13.9
13131,1.4
13155,2.8
13161,1.8
13173,6.6
13185,1.8
13205,3.0
13229,6.3
13251,214.4
13267,0.8
13275,1.4
13277,3.5
13283,1.4
13305,2.9
13321,3.8
16001,17.4
16003,0.1
16005,320.1
16007,90.6
16011,7491.5
16013,422.4
16015,2.5
16019,1859.9
16023,118.9
16025,422.4
16027,815.5
16029,320.1
16031,422.4
16033,21.7
16037,184.4
16039,1454.8
16041,320.1
16043,2381.9
16045,320.1
16047,559.0
16051,3446.6
16053,1250.4
16059,0.1
16063,422.4
16065,3675.9
16067,4240.1
16071,1065.0
16073,124.1
16075,402.9
16077,4881.2
16081,478.9
16083,1398.6
16085,320.1
17047,44.2
17191,156.8
17193,203.6
18005,18.1
18019,116.8
18021,18.1
18027,25.4
18029,6.6
18041,6.6
18047,10.3
18053,29.1
18057,20.9
18059,21.5
18061,6.5
18065,6.6
18071,20.5
18075,28.1
18077,129.2
18079,22.5
18083,35.7
18107,35.9
18115,34.8
18117,7.8
18119,6.7
18135,33.8
18137,34.1
18139,31.0
18143,6.6
18147,68.1
18155,209.7
18175,6.5
18177,52.9
21001,744.5
21003,2131.1
21005,536.1
21007,45.1
21009,3386.0
21011,225.2
21015,61.6
21017,1305.2
21021,335.1
21023,707.0
21025,168.4
21027,2174.2
21029,20.2
21031,59.2
21033,425.8
21035,1460.8
21037,60.7
21039,88.7
21041,19.1
21043,91.9
21045,419.2
21047,4714.6
21049,1354.6
21051,1015.3
21053,22.3
21057,25.1
21059,2352.6
21061,54.5
21063,10.7
21065,0.5
21067,767.9
21069,1142.6
21073,584.5
21077,414.7
21079,1811.6
21081,622.0
21083,1122.0
21085,284.8
21087,2646.4
21089,119.9
21091,122.9
21093,257.0
21097,2727.9
21099,1119.9
21101,198.2
21103,1087.9
21105,72.6
21107,116.6
21109,65.8
21111,54.5
21113,358.2
21115,0.2
21117,145.7
21123,527.9
21125,243.5
21127,18.4
21135,583.4
21137,477.9
21141,1177.5
21143,111.2
21145,55.9
21149,352.1
21151,446.0
21153,119.9
21155,680.4
21157,20.7
21161,1557.9
21163,307.8
21165,119.9
21167,501.0
21169,2317.0
21171,1544.0
21173,531.7
21175,137.8
21177,714.4
21179,626.8
21181,2267.6
21183,149.1
21185,25.2
21187,1430.5
21189,214.4
21191,480.6
21195,0.8
21197,27.6
21199,312.4
21201,24.2
21203,15.3
21205,24.5
21207,59.2
21209,1034.9
21211,1669.9
21213,486.8
21215,867.9
21217,532.1
21219,1874.4
21221,965.8
21223,491.0
21225,2.4
21227,283.4
21229,302.1
21231,93.4
21233,165.7
21237,119.9
21239,1252.4
24003,0.8
24005,3.3
24009,2.35
24015,33.3
24017,2.35
24025,4.8
24035,8.2
24037,68.3
29021,18.8
29023,33.4
29031,12.3
29061,23.0
29089,23.0
29141,3.8
29165,23.0
29177,26.0
32007,4.3
32033,86.9
37001,111.2
37003,16.2
37005,19.5
37009,1.3
37011,16.5
37013,300.0
37015,3428.7
37017,86.9
37019,86.9
37021,1.1
37027,0.2
37033,168.0
37037,18.2
37041,159.5
37043,1.1
37045,78.6
37047,963.6
37049,473.5
37051,1005.8
37057,7.3
37059,5.0
37061,1213.8
37063,17.6
37065,4491.7
37067,36.5
37069,247.4
37073,139.3
37075,0.1
37077,253.0
37079,1008.4
37081,172.7
37083,2985.5
37085,4179.1
37087,11.3
37091,2577.0
37093,92.9
37095,99.4
37097,4.9
37099,0.1
37101,2338.8
37103,197.1
37105,79.1
37107,1241.3
37115,4.7
37117,3825.1
37121,3.1
37123,78.6
37125,872.2
37127,8250.7
37131,159.5
37133,479.5
37135,80.3
37137,35.6
37141,86.9
37145,371.5
37147,1502.1
37151,19.6
37153,80.5
37155,1184.9
37157,382.3
37161,0.2
37163,4948.5
37169,115.3
37171,279.6
37179,18.1
37181,178.4
37183,130.4
37185,102.1
37187,266.0
37189,2.6
37191,1734.3
37193,16.5
37195,2288.1
37197,270.4
37199,7.8
39001,471.0
39015,254.6
39025,7.3
39053,24.2
39057,8.9
39071,198.6
39079,0.8
39087,0.4
39111,0.8
39113,7.3
39131,9.0
39141,9.8
39145,2.2
42001,14.8
42003,1.5
42007,2.3
42011,18.7
42017,8.3
42021,2.6
42027,7.0
42029,658.8
42037,7.7
42041,7.0
42043,8.9
42061,48.7
42071,3985.1
42075,22.5
42093,125.4
42097,140.2
42109,8.3
42119,7.0
42133,141.4
45011,183.7
45023,10.4
45025,226.7
45027,475.9
45029,249.2
45031,583.6
45033,392.3
45041,680.1
45043,1149.5
45049,345.8
45051,11729.9
45063,519.6
45067,926.0
45069,579.3
45075,1412.6
45085,519.6
45089,1040.2
47003,31.3
47009,6.3
47011,6.7
47015,12.7
47019,6.7
47021,156.7
47025,56.5
47027,965.3
47029,7.5
47035,10.8
47041,16.7
47043,70.4
47049,2.5
47055,23.0
47057,16.7
47059,21.4
47063,6.7
47067,2.5
47073,53.6
47079,243.3
47081,2.0
47083,2.0
47087,11.1
47089,6.7
47091,4.6
47093,4.2
47099,1.7
47103,12.7
47105,6.7
47107,23.4
47111,4374.7
47117,10.3
47119,12.7
47123,102.2
47125,303.8
47127,12.7
47129,10.8
47133,9.5
47137,32.7
47141,17.0
47143,4.3
47145,6.7
47147,605.2
47149,12.7
47155,2.1
47159,1023.4
47161,46.4
47163,6.7
47165,950.2
47169,100.3
47173,6.7
47177,31.7
47179,129.4
47183,90.0
47185,28.5
47187,12.7
47189,12.7
49003,0.7
49005,5.4
49011,1.8
49029,0.1
49033,0.1
49035,1.3
49045,5.4
49057,1.8
51007,34.4
51011,20.4
51025,241.6
51031,3.1
51037,100.7
51049,3.1
51053,168.6
51059,5.75
51067,188.9
51077,12.1
51081,97.9
51083,335.9
51089,36.6
51105,38.1
51111,485.1
51117,629.9
51121,12.1
51135,5.6
51139,5.05
51141,33.7
51143,951.4
51147,3.1
51149,21.5
51167,8.4
51169,5.4
51173,12.1
51183,47.9
51191,33.1
51197,6.0
53001,5390.9
53005,8565.5
53007,0.4
53013,78.3
53017,0.2
53019,78.3
53021,7421.3
53025,11646.2
53037,78.3
53039,0.8
53043,95.1
53047,1.2
53051,0.4
53063,78.3
53065,78.3
53071,2082.6
53075,0.2
53077,209.2
54011,2.1
54035,10.5
54053,34.1
54063,1.2
54079,6.8
