fips,mass
06007,0.3
06071,0.1
06073,1.6
06087,0.1
20001,0.7
20003,0.7
20005,0.3
20009,0.9
20011,1.3
20013,0.2
20015,3.2
20017,2.2
20019,1.7
20021,0.5
20027,0.8
20029,0.8
20031,1.0
20035,2.3
20037,0.7
20041,1.0
20043,0.4
20045,0.4
20049,1.3
20051,1.6
20053,1.4
20059,0.8
20061,0.6
20073,3.4
20085,1.0
20087,0.6
20089,1.2
20091,0.1
20099,1.2
20103,0.4
20105,1.3
20107,0.8
20111,1.8
20113,1.0
20115,1.6
20117,0.8
20121,0.7
20123,0.8
20125,1.0
20127,1.7
20131,0.7
20133,1.0
20139,1.1
20141,1.5
20143,1.4
20147,1.7
20149,1.6
20157,0.7
20159,0.6
20161,0.7
20163,1.7
20165,0.9
20167,1.7
20169,0.9
20177,0.4
20183,1.2
20197,1.8
20201,1.2
20205,0.7
20207,1.0
20209,0.0
29013,0.9
29037,0.6
29039,0.8
29083,1.0
29095,0.1
29101,0.8
29107,0.3
29185,0.6
29217,0.8
37001,120.3
37003,84.4
37005,92.2
37009,163.7
37011,13.9
37013,5.4
37015,5.7
37027,36.2
37029,2.1
37031,8.0
37033,85.4
37035,85.2
37037,194.9
37041,2.7
37049,7.3
37053,1.7
37055,1.3
37057,65.2
37059,105.7
37063,18.7
37065,17.7
37067,31.8
37069,90.2
37073,3.2
37077,65.7
37079,6.9
37081,79.4
37083,25.1
37091,1.3
37095,1.6
37097,151.4
37101,64.3
37103,25.1
37105,24.1
37107,18.8
37117,8.1
37127,39.5
37131,14.0
37135,83.6
37137,4.1
37139,2.7
37143,3.2
37145,71.6
37147,18.8
37151,195.0
37157,122.1
37159,121.2
37169,82.1
37171,138.0
37177,1.3
37181,22.2
37183,42.0
37185,56.6
37187,4.4
37189,94.2
37191,34.7
37193,157.4
37195,18.9
37197,92.1
51025,42.4
51037,116.2
51053,60.1
51067,178.2
51081,5.6
51083,185.4
51089,67.8
51093,18.1
51111,70.2
51117,131.9
51135,57.3
51141,85.8
51143,325.5
51149,10.0
51175,17.8
51181,11.2
51183,5.9
51550,6.4
51800,9.2
51810,6.7
