fips,mass
01009,0.4
01043,0.4
01049,0.4
01055,0.4
01071,0.4
01095,0.4
01115,0.4
04001,166.35000000000002
04003,202.75
04005,73.4
04007,156.6
04009,82.55
04011,160.55
04012,123.35
04013,1860.3000000000002
04015,303.7
04017,10.350000000000001
04019,72.3
04021,740.6
04023,10.149999999999999
04025,76.5
04027,553.95
05057,2.9
05061,0.2
05073,2.9
05081,2.9
05091,0.3
05097,2.9
05109,2.9
05133,1.0
06001,0.2
06007,265.2
06011,149.8
06013,6.9
06015,61.2
06019,7754.8
06021,195.2
06025,5230.1
06027,17.5
06029,5344.6
06031,1535.4
06035,60.3
06037,453.1
06039,1641.2
06047,1431.9
06049,94.7
06051,10.5
06053,7075.8
06059,51.1
06061,3.1
06065,1933.7
06067,45.9
06069,1328.1
06071,40.3
06073,258.0
06077,864.9
06079,186.8
06081,1.7
06083,922.4
06085,327.3
06087,1517.7
06089,30.1
06093,649.8
06095,920.7
06097,4.5
06099,529.2
06101,366.6
06103,47.8
06107,2398.4
06111,1567.2
06113,465.5
06115,2.3
08001,576.6
08003,60.2
08005,0.7
08007,0.05
08013,1.9
08015,59.150000000000006
08021,60.2
08023,60.2
08029,13.549999999999999
08031,576.6
08033,0.1
08035,576.6
08037,0.0
08039,0.2
08041,0.7
08045,59.55
08047,59.150000000000006
08051,0.1
08057,59.150000000000006
08059,0.2
08067,0.25
08069,1.7
08077,0.9
08081,0.15000000000000002
08083,0.44999999999999996
08085,13.95
08087,576.6
08091,0.0
08095,576.6
08097,0.0
08103,0.1
08105,60.2
08107,59.25
08109,418.3
08113,59.2
08115,127.9
08119,0.44999999999999996
08123,576.6
08125,576.6
09001,0.65
09003,7.25
09005,1.4
09007,0.7000000000000001
09009,0.65
09011,0.8500000000000001
09013,1.45
09015,0.65
12001,100.55000000000001
12003,17.6
12007,77.0
12009,133.9
12011,88.75
12015,195.7
12017,139.55
12019,28.15
12021,939.9
12023,10.2
12027,1094.35
12029,1.85
12031,18.650000000000002
12035,47.9
12041,75.9
12043,182.0
12047,24.200000000000003
12049,920.6500000000001
12051,1547.0
12053,61.95
12055,993.15
12057,799.95
12061,1757.4
12067,39.55
12069,83.2
12071,286.25
12075,81.25
12079,20.3
12081,1806.6999999999998
12083,22.8
12085,408.6
12086,308.9
12089,1.2999999999999998
12093,139.9
12095,98.7
12097,140.3
12099,5020.05
12101,123.1
12103,19.4
12105,457.70000000000005
12107,61.65
12109,570.9
12111,1811.35
12115,107.1
12117,86.94999999999999
12119,31.15
12121,35.15
12123,29.1
12125,92.39999999999999
12127,9.25
13001,107.2
13003,112.8
13005,3.8
13017,48.7
13019,373.3
13027,274.4
13029,2.7
13031,22.1
13047,0.7
13055,0.2
13065,47.2
13069,441.8
13071,170.0
13075,126.0
13091,24.7
13101,47.2
13103,9.0
13107,14.3
13123,0.2
13129,2.8499999999999996
13131,35.7
13155,73.1
13161,47.2
13173,171.5
13185,47.2
13205,78.0
13229,203.3
13251,22.1
13267,24.7
13275,35.7
13277,90.7
13283,24.7
13305,94.1
13313,0.1
13321,99.5
16001,3.6500000000000004
16003,1.0
16005,69.5
16007,19.1
16009,75.45
16011,1578.9
16013,27.4
16015,0.4
16017,0.25
16019,392.1
16021,73.95
16023,25.1
16025,29.3
16027,383.45
16029,67.5
16031,27.3
16033,4.6
16035,73.9
16037,39.0
16039,221.45
16041,67.5
16043,502.6
16045,48.55
16047,36.2
16049,0.05
16051,728.3
16053,82.9
16055,73.95
16057,0.05
16059,2.0
16063,27.3
16065,774.7
16067,276.4
16069,73.95
16071,224.4
16073,18.85
16075,85.0
16077,1028.7
16081,102.9
16083,92.5
16085,49.5
16087,72.7
17003,1.1
17005,6.2
17013,6.2
17017,6.2
17019,6.45
17021,0.7
17023,6.15
17025,6.15
17029,6.15
17033,3.6500000000000004
17035,6.15
17041,0.3
17045,6.15
17047,4.4
17051,2.25
17055,0.2
17075,0.0
17077,0.6
17081,5.6
17083,0.1
17087,0.4
17091,6.85
17101,6.15
17105,6.15
17117,1.0
17119,7.9
17121,6.15
17127,6.2
17133,1.9
17135,6.2
17137,0.3
17139,42.8
17145,6.2
17147,4.95
17149,6.2
17151,0.1
17157,0.2
17159,6.15
17163,5.2
17167,6.5
17171,6.2
17173,0.6
17181,0.8
17183,6.15
17185,6.2
17189,6.2
17191,18.6
17193,23.299999999999997
17199,1.4
18001,1.7
18003,3.8
18005,14.35
18007,0.1
18009,9.3
18011,0.9
18013,4.9
18015,0.5
18017,4.2
18019,15.4
18021,3.8499999999999996
18023,0.1
18025,4.9
18027,4.6
18029,0.8
18031,4.9
18033,2.45
18035,26.1
18037,0.6
18039,8.45
18041,26.6
18043,4.9
18045,4.9
18047,5.1
18049,0.9
18051,4.9
18053,4.75
18055,0.0
18057,4.1499999999999995
