fips,mass
01033,2.8
01059,0.1
01077,1.0
01079,1.9
01083,3.5
01089,2.7
01093,0.0
01103,0.1
01133,0.0
06007,0.3
06011,1.8
06013,0.7
06019,3.6
06025,57.8
06029,16.0
06031,1.8
06047,0.4
06067,2.7
06077,7.5
06089,3.8
06095,7.7
06099,0.4
06107,1.3
06113,3.2
08001,20.5
08003,0.1
08005,3.7
08009,21.4
08011,6.4
08013,0.2
08014,0.1
08017,18.3
08021,51.7
08023,51.7
08025,6.4
08031,4.2
08035,0.2
08037,1.2
08039,2.3
08041,4.2
08043,0.1
08055,0.0
08059,4.2
08061,17.9
08063,4.2
08069,0.3
08071,1.1
08073,13.5
08075,4.2
08081,13.8
08087,4.2
08089,0.2
08095,10.2
08099,19.5
08101,6.4
08103,51.7
08105,0.4
08107,1.3
08109,51.7
08115,7.5
08121,4.2
08123,11.7
08125,10.7
13003,0.0
13007,0.0
13009,0.0
13011,0.0
13013,0.0
13017,0.0
13019,0.1
13021,0.2
13023,0.1
13027,0.2
13031,0.4
13033,0.2
13035,0.0
13037,0.0
13043,0.1
13059,0.0
13061,0.0
13065,0.0
13069,0.0
13071,0.2
13073,0.0
13075,0.0
13077,0.1
13079,0.0
13081,0.1
13087,0.0
13091,0.0
13093,0.6
13095,0.0
13099,0.3
13103,0.0
13105,0.2
13107,0.2
13113,0.0
13119,0.1
13121,0.0
13123,0.0
13125,0.1
13131,0.0
13133,0.0
13137,0.0
13139,0.0
13141,0.0
13145,0.0
13147,0.3
13149,0.0
13151,0.0
13153,0.1
13155,0.1
13157,0.1
13159,0.0
13161,0.6
13163,0.4
13165,0.0
13167,0.0
13169,0.0
13171,0.0
13173,0.0
13175,0.2
13177,0.2
13185,0.0
13187,0.0
13189,0.0
13193,0.6
13195,0.1
13197,0.0
13199,0.0
13201,0.1
13205,0.0
13207,0.2
13209,0.0
13211,0.2
13217,0.0
13219,0.0
13221,0.1
13225,0.0
13231,0.0
13235,0.1
13237,0.0
13243,0.3
13245,0.0
13249,0.1
13251,0.2
13253,0.0
13255,0.1
13257,0.0
13259,0.1
