fips,mass
01001,6.9
01003,54.6
01005,38.9
01007,95.1
01009,2.1
01011,11.4
01013,24.1
01015,2.0
01017,14.4
01019,22.5
01021,61.1
01023,5.0
01025,1.7
01027,62.0
01029,3.0
01031,81.6
01033,243.6
01035,12.0
01037,2.2
01039,93.3
01041,48.8
01043,26.4
01045,71.9
01047,112.7
01049,66.6
01051,20.0
01053,21.0
01055,5.8
01057,84.4
01059,13.4
01061,135.1
01063,1.3
01065,5.0
01067,157.5
01069,57.6
01071,95.8
01073,11.4
01075,74.5
01077,173.8
01079,250.8
01081,21.0
01083,184.7
01085,17.3
01087,6.0
01089,278.9
01091,14.5
01093,13.1
01095,19.5
01097,6.0
01099,10.6
01101,9.5
01103,22.4
01105,53.8
01107,317.8
01109,74.1
01111,126.0
01113,65.8
01115,0.3
01117,138.4
01119,9.4
01121,326.7
01123,50.0
01125,146.2
01127,52.1
01129,6.7
01131,6.2
01133,2.1
05001,1352.3
05003,189.5
05005,0.1
05007,33.9
05009,14.9
05015,20.6
05017,252.9
05019,6.6
05021,1060.2
05023,46.5
05029,73.6
05031,1317.2
05033,148.5
05035,365.0
05037,405.4
05041,303.1
05043,100.5
05045,37.5
05047,56.9
05049,16.8
05053,0.9
05055,971.3
05059,0.4
05063,194.1
05065,17.0
05067,432.3
05069,441.8
05071,139.4
05073,413.6
05075,273.3
05077,901.7
05079,209.7
05081,324.3
05083,41.3
05085,986.9
05087,9.1
05091,363.3
05093,692.3
05095,772.2
05099,0.2
05105,11.2
05107,1012.6
05111,726.9
05115,123.3
05117,444.9
05119,94.2
05121,171.9
05123,462.1
05131,41.3
05143,25.1
05145,186.4
05147,507.3
05149,182.6
06007,0.6
06011,80.2
06013,4.4
06019,1244.7
06021,40.0
06029,775.4
06031,92.3
06037,0.9
06039,638.9
06047,302.6
06067,11.0
06071,1.4
06073,0.8
06077,326.4
06085,0.0
06095,6.1
06099,305.6
06101,4.5
06103,11.4
06107,814.4
06111,4.7
06113,55.0
06115,12.0
08001,740.3499999999999
08003,1.5
08005,6.65
08009,1246.4
08011,204.8
08013,25.85
08014,6.8
08017,1294.45
08021,1.8
08025,15.25
08029,44.8
08033,1.5
08035,1.0
08039,143.4
08041,5.55
08043,3.2
08045,3.8
08049,0.0
08055,3.2
08057,3.1
08059,1.3
08061,657.45
08063,3527.8999999999996
08067,5.6
08069,97.4
08071,8.05
08073,578.8
08075,675.55
08077,46.9
08081,1.5
08083,30.2
08085,50.6
08087,505.54999999999995
08089,195.35000000000002
08095,1907.9
08099,720.1
08101,80.0
08105,0.0
08107,0.2
08109,0.0
08113,5.2
08115,370.75
08121,2051.9
08123,1029.6
08125,3654.35
09001,18.2
09003,158.8
09005,73.1
09007,6.2
09009,34.7
09011,63.7
09013,49.1
09015,49.2
10001,1919.9
10003,761.5
10005,2057.2
13001,14.3
13003,21.6
13005,10.2
13007,59.5
13009,1.5
13011,1.4
13013,0.1
13015,17.6
13017,13.1
13019,20.3
13021,1.5
13023,18.6
13025,1.8
13027,40.5
13029,2.1
13031,14.3
13033,57.1
13035,1.5
13037,86.1
13039,0.0
13043,0.3
13045,2.6
13047,4.5
13049,1.1
13051,0.1
13055,13.0
13057,1.5
13059,1.9
13061,15.0
13063,1.9
13065,4.3
13069,25.4
13071,34.2
13073,0.8
13075,13.8
13077,7.8
13079,1.5
13081,8.4
13083,1.0
13085,4.9
13087,106.9
13091,11.2
13093,21.0
13095,8.2
13097,0.2
13099,56.6
13101,0.4
13103,1.5
13105,0.6
13107,4.0
13109,2.7
13111,5.6
13113,1.1
13115,39.3
13117,1.9
13119,1.5
13121,0.1
13123,3.0
13125,0.6
13127,0.4
13129,52.6
13131,84.4
13133,2.6
13135,1.9
13137,3.5
13139,23.7
13143,15.7
13145,0.5
13147,1.4
13149,5.5
13151,0.0
13153,10.4
13155,39.3
13157,0.3
13159,2.3
13161,19.1
13163,38.6
13165,4.8
13167,25.0
13169,1.5
13171,4.4
13173,11.8
13175,15.9
13177,51.8
13179,0.4
13183,1.7
13185,8.4
13187,6.7
13189,0.8
13193,93.3
13195,0.6
13197,7.4
13199,1.0
13201,60.2
13205,70.4
13207,0.6
13209,2.1
13211,4.1
13213,17.3
13217,1.7
13219,3.8
13221,1.4
13223,0.2
13225,3.0
13227,0.1
13229,14.7
13231,1.9
13233,13.3
13235,4.8
13237,10.0
13241,0.4
13243,85.5
13245,0.6
13247,0.1
13249,1.8
13251,32.2
13253,108.6
13257,0.5
13259,1.9
13261,78.5
13263,4.4
13267,6.4
13269,3.6
13271,4.5
13273,115.7
13275,35.2
13277,16.6
13279,12.7
13281,1.9
13283,5.0
13285,0.0
13287,20.2
13289,4.3
13291,4.0
13293,4.4
13295,6.1
13297,1.4
13299,6.7
13301,0.6
13303,25.5
13305,4.9
13307,20.9
13309,2.5
13311,3.0
13313,5.5
13315,11.2
13317,1.1
13319,1.0
13321,48.2
16009,2.4
16017,0.2
16021,0.1
16049,0.2
16055,0.2
16057,0.1
16069,0.4
17001,4634.05
17003,212.1
17005,1634.0
17007,1025.95
17009,882.1500000000001
17011,6209.9
17013,660.25
17015,3496.0
17017,2607.3
17019,3477.6499999999996
17021,5765.7
17023,3186.8500000000004
17025,2417.4
17027,3726.9
17029,3195.45
17031,57.900000000000006
17033,2874.9
17035,1927.35
17037,3774.2
17039,2876.6499999999996
17041,3818.1
17043,27.4
17045,4712.05
17047,842.5
17049,3490.6499999999996
17051,3896.5
17053,1591.6
17055,765.8
17057,3847.8
17059,1445.0
17061,3609.2
17063,1996.4499999999998
17065,1202.8
17067,4725.2
17069,40.6
17071,2423.75
17073,5900.8
17075,3999.45
17077,1295.9
17079,2981.9
17081,905.6
17083,2285.6
17085,2670.8
17087,203.5
17089,1452.35
17091,1936.2
17093,1249.85
17095,4821.55
17097,174.25
17099,5095.299999999999
17101,3088.55
17103,6015.2
17105,3524.45
17107,5964.1
17109,3663.1
17111,1754.5500000000002
17113,9599.35
17115,4367.4
17117,5070.4
17119,3716.2
17121,2254.6499999999996
17123,3269.55
17125,4358.95
17127,482.0
17129,2324.45
17131,3165.6
17133,2078.0
17135,5670.3
17137,3986.75
17139,3477.1499999999996
17141,5334.7
17143,3573.3
17145,1655.6
17147,1532.1
17149,4878.25
17151,95.5
17153,774.9
17155,590.8
17157,2594.4
17159,2209.6
17161,1711.1
17163,3787.2
17165,852.3
17167,7786.25
17169,1806.5
17171,1838.2
17173,4967.7
17175,3007.1499999999996
17177,4119.1
17179,4772.3
17181,708.9
17183,2607.45
17185,944.3
17187,4239.0
17189,4964.9
17191,2336.3
17193,1837.2
17195,5668.0
17197,1635.5500000000002
17199,722.5
17201,2094.2
17203,4218.8
18001,728.0
18003,861.6500000000001
18005,1877.9499999999998
18007,4051.0
18009,291.5
18011,3083.6
18013,11.6
18015,3033.1499999999996
18017,2442.6499999999996
18019,1023.5
18021,755.6
18023,3687.6499999999996
18025,26.1
18027,1375.1
18029,210.9
