fips,mass
04001,592.2
04003,29625.6
04005,129.1
04007,124.9
04009,1029.6
04012,1168.7
04013,37017.2
04015,111.2
04017,407.7
04019,20408.1
04021,22089.4
04023,300.9
04025,667.6
04027,1.9
06019,720116.9
06029,1205454.5
06031,78129.6
06037,361551.2
06039,18167.0
06047,411959.4
06053,72614.6
06065,643.6
06069,61864.8
06073,2467.5
06079,41488.1
06081,18122.2
06083,213179.9
06085,52908.4
06087,3489.1
06099,384167.7
06111,99362.6
08003,29159.7
08007,11.15
08015,26992.1
08021,29159.7
08023,29159.7
08029,78.05
08033,22.3
08037,22.3
08045,26992.1
08047,26992.1
08051,11.15
08057,26992.1
08067,33.45
08077,211.85000000000002
08081,33.45
08083,89.2
08085,78.05
08091,11.15
08097,1.1
08103,23.4
08105,29159.7
08107,26992.1
08109,202757.8
08113,26992.1
08119,100.35
12001,80353.9
12003,198.45
12007,12877.9
12009,9753.900000000001
12011,7702.15
12015,31671.3
12017,43535.8
12019,12416.4
12021,79770.85
12023,2403.7999999999997
12027,32174.55
12029,7752.65
12031,10811.7
12035,1217.8
12041,142836.3
12043,11097.35
12047,13526.0
12049,32950.5
12051,54054.8
12053,1207.0
12055,12192.75
12057,468382.8
12061,23197.3
12067,4983.5
12069,40842.3
12071,20072.15
12075,117159.4
12079,15217.35
12081,143147.4
12083,99434.6
12085,17949.05
12086,68318.95
12089,6979.1
12093,1021.7
12095,24339.1
12097,49700.5
12099,304490.95
12101,45668.1
12105,46706.5
12107,7229.6
12109,42525.9
12111,12575.599999999999
12115,306.7
12117,17368.8
12119,10354.4
12121,35235.6
12123,5653.9
12125,46248.3
12127,10963.4
16001,1314.1
16003,370.7
16005,12146.7
16007,3340.5
16009,24703.6
16011,275751.2
16013,45731.5
16015,272.2
16017,63.0
16019,68468.0
16021,24348.5
16023,4376.0
16025,46080.8
16027,138243.2
16029,11781.9
16031,45713.1
16033,799.0
16035,24338.8
16037,6802.7
16039,79102.5
16041,11781.9
16043,87785.3
16045,17331.7
16047,60489.8
16049,18.2
16051,127222.5
16053,135668.1
16055,24351.4
16057,21.1
16059,368.9
16063,45713.1
16065,135303.1
16067,459181.3
16069,24348.5
16071,39199.2
16073,6735.05
16075,30481.100000000002
16077,179660.1
16081,17994.5
16083,151711.5
16085,17686.8
16087,13166.5
30001,309.3
30029,309.3
30031,25755.9
30043,309.3
30047,4970.1
30053,309.3
30057,1450.5
30063,2.0
30081,28.7
30089,4.1
32001,18.2
32003,181.2
32007,471.7
32017,8670.1
32019,31179.8
32023,49.7
32031,59.5
32033,9400.7
35001,100.35
35006,33.45
35031,11.15
35039,89.2
35043,22.3
35045,7797.599999999999
35049,55.75
35055,66.9
35061,44.6
38003,71665.6
38009,71665.6
38015,71665.6
38017,120.9
38019,241.8
38021,71665.6
38025,71665.6
38027,12080.3
38029,71665.6
38031,71665.6
38035,679834.9
38039,181.4
38043,378008.5
38045,71665.6
38049,71665.6
38051,16270.3
38053,32437.9
38055,71665.6
38057,71665.6
38059,302.3
38063,71665.6
38065,71665.6
38067,71665.6
38071,40322.1
38073,71665.6
38077,181.4
38079,71665.6
38081,71665.6
38083,71665.6
38085,71665.6
38093,71665.6
38095,71665.6
38097,88576.9
38099,1610043.0
41001,54797.0
41003,107.9
41005,393.1
41007,518.0
41009,7.7
41011,530.2
41013,876.8
41015,530.2
41017,313.2
41019,55.25
41023,976.7
41025,11.3
41027,25.7
41029,71.0
41031,6665.9
41033,530.2
41035,99834.0
41037,16.1
41039,84.8
41041,518.0
41043,69.4
41045,152527.8
41047,84.8
41049,209941.4
41051,518.0
41053,23.1
41057,15.4
41059,209799.7
41061,6345.4
41063,886.5
41065,38.5
41067,92.5
41071,61.7
49003,48.4
49005,393.9
49007,6.0
49011,129.1
49013,36.1
49015,12.0
49019,12.0
49027,12.0
49029,8.1
49033,8.1
49035,96.9
49037,587.8
49039,587.8
49041,587.8
49043,587.8
49045,393.9
49047,84.3
49049,192.7
49051,587.8
49057,129.1
53001,84038.6
53005,331869.9
53007,27.3
53009,69.4
53011,77.1
53013,9276.7
53015,2962.0
53017,3.1
53019,520.35
53021,109794.4
53025,160559.4
53027,46.2
53029,23.1
53031,15.4
53033,154.2
53035,84.8
53037,2973.9
53039,7826.5
53041,15.4
53043,30681.1
53045,15.4
53047,58.1
53049,23.1
53051,7798.299999999999
53053,38.5
53055,38.5
53057,76274.5
53059,2962.0
53061,7545.7
53063,556.15
53065,502.55
53067,100.2
53069,7.7
53071,44163.95
53073,12601.9
53075,15.75
53077,7951.4
