fips,mass
01001,321.7
01003,31986.2
01005,3275.9
01011,172.7
01013,1693.8
01025,172.7
01031,9163.9
01035,765.8
01039,6231.8
01041,491.9
01045,11650.9
01047,1937.5
01051,172.7
01053,13208.2
01061,18238.2
01067,15023.4
01069,23595.2
01085,594.3
01087,607.1
01091,172.7
01097,6515.5
01099,7464.7
01105,301.4
01109,2456.9
01113,3478.9
01119,172.7
01129,4869.5
01131,80.3
04001,6822.5
04003,4939.6
04005,1623.4
04007,739.4
04009,40.4
04011,2.4
04012,7373.1
04013,127671.9
04015,41.7
04017,8790.8
04019,994.2
04021,13741.9
04023,977.4
04025,502.1
04027,35304.2
06011,4542.4
06015,5620.2
06019,217180.7
06025,5183.6
06029,621431.6
06031,1036.7
06039,54018.4
06047,62828.3
06049,277.2
06065,194648.5
06073,4494.7
06079,2574.5
06083,10447.9
06085,1551.2
06093,7734.9
06095,66.3
06111,122294.6
08003,38613.9
08007,16.0
08015,38618.7
08021,38613.9
08023,38613.9
08029,111.7
08033,31.9
08037,43.849999999999994
08045,38613.9
08047,38613.9
08051,63.75
08057,38613.9
08067,47.9
08077,303.1
08081,81.35
08083,127.6
08085,111.7
08091,16.0
08097,1.6
08103,33.5
08105,38613.9
08107,38661.65
08109,268496.4
08113,38613.9
08119,277.35
12001,91.0
12003,2499.2999999999997
12005,20872.6
12007,6598.7
12009,2429.9
12011,10.4
12013,8759.2
12015,2587.2999999999997
12017,6598.7
12019,194.2
12021,2790.2999999999997
12023,479.1
12027,99.3
12029,12537.5
12031,17737.1
12033,1466.4
12035,6483.1
12039,12975.7
12041,131.1
12045,20872.6
12047,21422.9
12049,4960.9
12053,6598.7
12055,2491.25
12057,26195.2
12059,12438.2
12061,28.900000000000002
12063,158669.2
12065,15182.4
12067,15.2
12069,124.4
12071,2514.1
12073,452.1
12075,7262.8
12077,5730.8
12079,17641.1
12081,2514.1
12083,150.9
12085,2771.4
12086,2428.0
12089,407.65
12091,524.5
12093,4836.2
12095,6609.4
12097,6598.7
12099,4836.2
12101,6598.7
12105,133.3
12107,6484.3
12109,74508.9
12111,96.0
12113,12420.7
12115,96.0
12117,6589.9
12119,63.8
12121,7003.799999999999
12123,8148.9
12125,6598.7
12127,37.7
12129,605.7
12131,234.7
12133,5875.7
13001,370.95000000000005
13003,7458.25
13005,165.2
13007,16612.6
13017,3253.5499999999997
13019,17121.65
13021,238.7
13023,3212.1
13027,65935.05
13029,933.5
13031,29742.9
13033,24522.3
13037,9651.9
13039,4321.05
13043,1442.1
13045,1199.8
13051,298.45000000000005
13061,7666.65
13063,1817.4
13065,7187.25
13069,16771.65
13071,347336.85
13075,15570.6
13077,1402.7
13079,4256.6
13081,7774.7
13087,22838.75
13091,6661.3
13093,10917.949999999999
13095,2376.0
13097,4787.8
13099,12514.85
13101,33058.85
13103,6118.4
13107,6412.7
13109,933.5
13113,4787.8
13125,256.2
13131,54937.55
13133,3903.9
13141,371.0
13143,4787.8
13145,452.1
13149,3011.0
13151,533.3
13153,3770.1000000000004
13155,16893.4
13159,3935.5
13161,20396.25
13163,10416.3
13165,6131.7
13167,2792.6
13169,3903.9
13171,3909.25
13173,8569.4
13175,10751.0
13177,8952.1
13179,4321.05
13183,1350.65
13185,164261.7
13191,933.5
13193,5556.5
13197,1453.8
13199,3894.9
13201,17447.6
13205,21136.6
13207,3935.5
13209,5616.75
13211,4193.7
13215,933.5
13217,542.0
13225,1039.4
13229,13120.55
13231,3358.8
13235,4802.15
13237,883.9
13239,232.35
13243,14440.2
13247,883.9
13249,1508.3
13251,14372.9
13253,18034.3
13255,3935.5
13259,2095.0
13261,13663.6
13263,81.2
13265,3903.9
13267,4048.8
13269,2437.75
13271,6097.450000000001
13273,9741.5
13275,8182.85
13277,58941.7
13279,611.6500000000001
13283,1637.7
13285,1078.4
13287,7728.15
13289,5917.0
13293,1118.6
13299,1495.55
13303,5826.95
13305,3011.0
13307,9803.8
13309,1964.1000000000001
13315,7080.7
13319,3983.25
13321,19258.399999999998
16001,1641.4
16003,119.2
16005,49373.0
16007,13947.7
16009,49373.0
16011,1152855.3
16013,18324.8
16015,220.9
16017,77.5
16019,286224.4
16021,49262.6
16023,18295.7
16025,18433.4
16027,100865.1
16029,49259.6
16031,18319.1
16033,3340.5
16035,49259.6
16037,28385.1
16039,127878.9
16041,49259.6
16043,366583.3
16045,28113.8
16047,24240.8
16049,20.1
16051,530500.1
16053,54335.0
16055,49263.5
16057,21.0
16059,130.5
16063,18319.1
16065,565677.6
16067,183980.1
16069,49262.6
16071,163890.4
16073,10905.9
16075,38076.8
16077,751151.3
16081,73811.0
16083,60764.0
16085,28224.2
16087,4091.7
17007,2869.9
17011,2869.9
17015,2869.9
17031,7.4
17037,2869.9
17043,58.8
17063,2418.3
17073,2869.9
17077,29.4
17085,14.7
17087,217.7
17089,88.3
17093,73.5
17097,44.1
17099,14.7
17103,2869.9
17111,706.1
17131,3134.7
17133,1394.5
17141,7.4
17145,2869.9
17153,2869.9
17155,2869.9
17157,29.4
17161,2869.9
17163,58.8
17177,2869.9
17181,58.8
17189,2869.9
17195,4183.5
17197,132.4
17199,2869.9
17201,2869.9
18001,2.2
18003,103.3
18015,2.9
18017,0.7
18033,0.4
18039,9.5
18049,1.5
18069,103.3
18073,2069.7
18085,0.7
18087,2967.6
18089,788.5
18091,2069.7
18099,103.3
18103,103.3
18111,1329.8
18113,0.4
18127,2069.7
18131,2069.7
18141,2.9
18149,2069.7
18169,0.7
18179,0.7
18181,1829.9
18183,8.1
19005,38.2
19013,88.3
19017,38.2
19019,38.2
19023,425.1
19033,38.2
19037,38.2
19043,38.2
19055,29.4
19061,14.7
19065,38.2
19067,29.4
19069,464.8
19081,14.7
19089,44.1
19109,38.2
19131,38.2
19189,38.2
19191,44.1
19195,38.2
21035,1.5
21039,1.5
21083,29.4
21139,1.5
21145,16.2
21157,14.7
21221,44.1
26001,54.8
26003,146.1
26005,426.4
26007,8609.4
26009,8666.9
26011,345.9
26013,18.3
26015,1.5
26017,1078.7
26019,226.3
26021,542.3
26023,345.9
26025,2.9
26027,1628.9
26029,737.8
26031,36.5
26033,73.1
26035,42.95
26037,345.9
26039,219.2
26041,12421.8
26043,6192.6
26045,345.9
26047,297.0
26049,345.9
26051,222.95
26053,9.1
26055,132.4
26057,398.04999999999995
26059,345.9
26061,164.4
26063,345.9
26065,5.9
26067,7.3
26069,8609.4
26071,9024.0
26073,30.25
26075,8.8
26077,180.5
26079,24119.9
26081,215.1
26085,4494.5
26087,11.0
26089,555.1
26091,8.1
26093,23.5
26095,8609.4
26097,8609.4
26099,5.9
26101,244.6
26103,73.1
26105,9745.2
26107,811.3499999999999
26109,8609.4
26111,3.0999999999999996
26113,8609.4
26115,345.9
26117,6384.5
26119,1242.2
26121,4345.0
26123,4563.5
26125,2.9
26127,49990.25
26129,18.3
26131,8609.4
26133,362.75
26135,8609.4
26137,8609.4
26139,225.0
26141,27601.9
26143,253.9
26145,345.9
26147,12.5
26149,8624.1
26151,7.3
26153,109.6
26155,16.9
26157,345.9
26159,7197.6
26161,16.1
26163,6.6
26165,8799.2
27001,286.7
27003,417.1
27005,4215.3
27007,7.4
27009,76503.0
27013,13543.8
27015,13543.8
27017,156.4
27019,26.1
27021,7643.3
27023,7643.3
27025,886.2
27027,19259.1
27029,4215.3
27031,60.15
27033,13543.8
27035,26.1
27037,34172.2
27039,13543.8
27041,44.1
27043,13543.8
27045,130.3
27047,20956.9
27049,13543.8
27051,117.7
27053,208.5
27055,130.3
27057,7643.3
27059,13543.8
27061,7643.3
27063,130.3
27065,104.3
27067,13543.8
27069,15194.7
27071,7643.3
27073,14.7
27075,20.05
27077,7643.3
27079,104.3
27081,13.0
27083,26.1
27085,234.6
27087,4215.3
27089,2425.6
27091,13543.8
27093,52.1
27095,78.2
27097,43138.8
27099,52.1
27101,13543.8
27103,13.0
27105,13543.8
27107,4215.3
27109,182.5
27111,7643.3
27113,8.1
27115,13543.8
27117,13543.8
