fips,mass
01001,5.8
01003,204.5
01005,5.1
01007,35.4
01009,3.1
01011,9.6
01013,90.3
01015,3.0
01017,5.4
01019,33.0
01021,22.8
01023,18.7
01025,6.3
01027,23.1
01029,4.4
01031,10.7
01033,682.15
01035,45.0
01037,0.8
01039,12.2
01041,6.4
01043,38.8
01045,9.4
01047,94.5
01049,97.9
01051,16.8
01053,78.8
01055,8.6
01057,31.5
01059,23.45
01061,17.7
01063,1.1
01065,4.2
01067,20.6
01069,7.5
01071,140.9
01073,4.2
01075,27.8
01077,298.65
01079,507.85
01081,7.8
01083,772.55
01085,14.5
01087,5.0
01089,680.8
01091,12.1
01093,11.899999999999999
01095,28.7
01097,22.5
01099,39.7
01101,7.9
01103,36.55
01105,45.1
01107,118.4
01109,9.7
01111,46.9
01113,8.6
01115,0.4
01117,51.6
01119,7.9
01121,121.8
01123,18.6
01125,54.5
01127,19.4
01129,25.1
01131,23.2
01133,3.5999999999999996
04003,0.3
04005,0.0
04013,0.0
04015,0.0
04017,0.0
04019,0.0
04021,0.0
04023,0.0
04027,3.6
05001,50.7
05003,13.9
05005,0.0
05007,5.5
05009,2.7
05015,3.2
05017,19.1
05021,266.15
05023,6.2
05029,13.7
05031,331.3
05033,8.2
05035,48.8
05037,32.0
05041,21.3
05043,8.2
05045,5.1
05047,3.1
05049,2.2
05053,0.3
05055,243.3
05059,0.0
05063,49.05
05065,2.3
05067,113.30000000000001
05069,36.6
05071,7.7
05073,33.5
05075,68.30000000000001
05077,45.9
05079,17.3
05081,26.3
05083,2.3
05085,37.6
05087,0.9
05091,29.5
05093,181.4
05095,50.9
05105,2.1
05107,69.3
05111,185.05
05115,6.8
05117,15.1
05119,12.3
05121,43.05
05123,20.1
05131,2.3
05143,3.8
05145,47.55
05147,33.6
05149,10.0
06007,862.2
06009,1.4
06011,861.7
06019,3004.4
06021,815.9
06025,2.9
06029,4465.9
06031,1074.2
06033,0.1
06039,1956.0
06047,1488.3
06067,31.0
06077,874.3
06083,4.5
06085,1.5
06089,7.7
06095,107.0
06099,1976.7
06101,63.4
06103,232.0
06107,2141.2
06111,0.4
06113,446.3
06115,13.2
08001,64.9
08003,0.2
08005,5.6
08009,35.3
08011,9.4
08013,2.75
08014,0.4
08017,81.8
08021,21.55
08023,42.7
08025,4.3
08031,6.1
08035,0.3
08037,0.5
08039,9.3
08041,6.3
08043,0.2
08055,0.1
08057,0.3
08059,39.25
08061,46.8
08063,177.1
08069,8.0
08071,0.8
08073,45.4
08075,70.6
08081,5.7
08087,64.65
08089,4.5
08095,111.5
08099,27.1
08101,6.4
08103,20.6
08105,0.2
08107,0.5
08109,21.35
08115,87.6
08121,105.9
08123,160.3
08125,199.3
10001,176.9
10003,64.5
10005,352.5
12001,0.9
12003,0.4
12005,0.0
12007,0.3
12011,6.4
12013,2.7
12015,9.6
12017,6.3
12019,6.3
12021,6.4
12023,8.6
12027,6.4
12029,3.6
12031,1.3
12033,2.7
12035,1.6
12039,3.6
12041,6.3
12043,6.4
12045,0.0
12047,7.7
12049,6.4
12051,6.4
12053,6.3
12055,6.4
12057,0.7
12059,7.1
12061,0.0
12063,25.5
12065,9.0
12067,3.2
12069,6.3
12071,0.1
12073,13.5
12075,0.6
12077,1.8
12079,24.9
12081,20.7
12083,0.7
12085,6.4
12086,109.9
12089,0.5
12091,2.2
12093,6.8
12095,6.3
12097,6.3
12099,940.6
12101,6.3
12105,0.4
12107,0.2
12109,6.3
12113,5.8
12117,6.3
12119,0.2
12121,26.8
12123,0.2
12125,0.2
12127,0.2
12129,0.0
12131,2.7
12133,5.0
13001,18.8
13003,6.6
13005,13.5
13007,19.8
13009,0.4
13011,1.4
13013,0.0
13015,2.2
13017,4.0
13019,6.2
13021,0.4
13023,5.7
13025,2.4
13027,12.3
13029,2.8
13031,14.7
13033,58.5
13035,0.4
13037,28.7
13039,0.0
13043,0.3
13045,0.6
13047,0.6
13049,1.5
13051,0.1
13055,1.6
13057,0.3
13059,0.4
13061,5.0
13063,0.4
13065,1.3
13069,7.7
13071,10.4
13073,0.8
13075,4.2
13077,1.8
13079,0.4
13081,2.6
13083,0.1
13085,1.1
13087,35.6
13091,3.4
13093,6.4
13095,2.7
13097,0.1
13099,18.9
13101,0.1
13103,1.6
13105,0.7
13107,4.1
13109,3.5
13111,1.3
13113,0.3
13115,5.0
13117,0.4
13119,1.5
13121,0.0
13123,0.7
13125,0.6
13127,0.5
13129,6.6
13131,28.1
13133,0.8
13135,0.4
13137,3.6
13139,5.5
13143,3.6
13145,0.1
13147,1.5
13149,1.3
13151,0.0
13153,3.2
13155,12.0
13157,0.1
13159,0.7
13161,5.8
13163,39.6
13165,4.9
13167,7.6
13169,0.4
13171,1.0
13173,3.6
13175,4.8
13177,17.3
13179,0.5
13183,2.3
13185,2.6
13187,1.6
13189,0.8
13193,21.7
13195,0.7
13197,1.7
13199,0.2
13201,20.1
13205,23.5
13207,0.2
13209,0.6
13211,1.3
13213,2.2
13217,0.5
13219,0.9
13221,1.5
13223,0.0
13225,0.9
13227,0.0
13229,19.4
13231,0.4
13233,1.7
13235,1.5
13237,3.0
13241,0.4
13243,28.5
13245,0.7
13247,0.0
13249,0.4
13251,33.1
13253,36.2
13257,0.5
13259,0.6
13261,26.2
13263,1.0
13267,8.4
13269,0.8
