fips,mass
01001,19.35
01003,16.5
01005,1.8
01007,1.0
01011,3.3
01013,0.5
01017,7.1
01021,14.1
01023,0.5
01025,0.9
01027,1.0
01031,0.7
01033,1.0
01035,0.5
01037,1.0
01039,4.2
01041,0.2
01045,0.2
01047,6.35
01051,7.1
01053,1.2
01057,1.0
01059,3.3
01061,9.3
01063,1.5
01065,0.95
01067,1.8
01069,10.5
01073,7.3
01075,1.9
01077,1.0
01079,3.8
01081,0.8
01083,4.9
01085,4.1
01087,4.85
01089,8.2
01091,4.85
01093,1.0
01097,8.6
01099,1.3
01101,0.95
01103,3.8
01105,4.1
01107,1.1
01109,0.6
01111,0.5
01113,0.7
01117,2.2
01119,0.95
01121,2.4
01123,2.7
01125,4.4
01127,1.9
01129,2.5
01131,6.5
01133,1.0
04001,642.9
04003,309.5
04005,3.4
04007,649.3
04009,223.9
04011,251.5
04012,45.1
04013,612.7
04015,12.1
04017,9.5
04019,23.7
04021,567.5
04023,11.3
04025,2.4
04027,705.0
06007,52.6
06011,674.0
06013,3202.6
06019,25556.9
06021,117.0
06025,20551.3
06029,2226.7
06031,3445.5
06039,220.7
06047,1448.5
06049,33.6
06053,33954.3
06061,33.0
06065,14.6
06067,31.6
06069,1821.2
06073,175.2
06077,3403.3
06079,1574.7
06083,3962.3
06085,533.9
06087,383.8
06095,176.1
06099,606.4
06101,84.0
06107,671.5
06111,388.4
06113,521.4
08007,0.6
08009,142.4
08011,42.4
08015,0.1
08025,42.4
08029,188.65
08033,1.2
08037,0.3
08043,0.7
08045,5.85
08051,1.2
08055,0.1
08067,1.75
08071,7.2
08077,5.85
08081,0.8
08083,3.55
08085,194.2
08089,1.2
08099,130.1
08101,42.4
08107,1.2
08113,0.4
08119,3.3
09001,244.8
09003,2075.55
09005,531.8499999999999
09007,70.15
09009,430.85
09011,289.95000000000005
09013,256.3
09015,138.15
10001,1479.9
10003,26.0
10005,1394.6
12001,48.8
12003,39.5
12005,14.5
12007,72.2
12009,265.2
12011,84.8
12013,0.4
12015,229.7
12017,300.4
12019,278.8
12021,486.5
12023,25.2
12027,414.0
12029,52.3
12031,66.7
12033,10.3
12035,45.3
12039,2.0
12041,337.3
12043,73.5
12045,40.0
12047,60.3
12049,336.3
12051,582.4
12053,79.9
12055,164.4
12057,862.3
12059,6.4
12061,355.4
12063,84.7
12065,1.5
12067,22.5
12069,117.9
12071,352.2
12073,25.6
12075,239.0
12077,40.0
12079,66.7
12081,8319.0
12083,91.1
12085,241.4
12086,2826.3
12089,3.9
12091,1.7
12093,154.9
12095,127.3
12097,95.2
12099,10939.7
12101,304.2
12103,213.9
12105,273.7
12107,19.1
12109,502.9
12111,91.3
12113,14.8
12115,339.8
12117,125.9
12119,216.6
12121,67.0
12123,14.9
12125,31.7
12127,5.2
12129,25.6
12131,0.9
12133,25.6
13001,9.15
13003,47.0
13005,1.7999999999999998
13009,23.9
13011,14.9
13013,16.2
13017,14.1
13019,24.1
13021,3.8
13023,29.6
13025,2.4
13027,25.8
13029,5.5
13031,6.65
13033,1.5
13035,23.9
13039,23.9
13043,14.9
13045,1.4
13049,23.9
13051,10.7
13057,6.45
13059,0.55
13063,19.9
13065,2.0
13067,14.9
13069,60.6
13071,1125.2
13073,2.05
13075,46.0
13077,7.5
13079,1.6
13081,40.6
13085,0.75
13087,3110.3
13091,25.4
13093,45.7
13095,12.4
13097,19.9
13099,16.0
13101,2.9
13103,2.3499999999999996
13105,2.05
13107,6.1
13109,19.1
13111,2.05
13113,2.4
13117,1.8
13119,16.2
13121,1.05
13123,65.25
13125,0.25
13127,0.1
13131,26.2
13133,1.2
13135,3.3
13137,5.15
13139,2.6
13141,4.1
13143,2.0
13145,19.9
13147,16.2
13149,1.0
13151,4.8
13153,23.9
13155,10.1
13157,1.2999999999999998
13159,0.2
13161,51.5
13163,14.9
13165,2.55
13167,23.9
13169,23.9
13171,19.9
13173,35.9
13175,33.5
13177,16.0
13179,23.9
13183,23.9
13185,43.5
13187,5.5
13189,14.9
13191,23.9
13193,19.9
13195,3.35
13197,19.9
13199,1.4
13205,1545.0
13209,23.9
13211,0.8
13217,23.9
13219,16.2
13221,1.8
13225,2.0
13227,19.35
13229,8.05
13231,0.7
13235,23.9
13239,0.3
13241,16.2
13245,14.9
13247,1.6
13251,1.75
13253,16.0
13255,19.9
13257,1.8
13261,0.5
13263,1.3
13265,23.9
13267,11.05
13271,11.3
13273,40.7
13275,17.5
13277,45.4
13279,24.8
13281,16.2
13283,25.4
13285,2.4
13287,41.5
13289,1.6
13291,16.2
13293,19.9
13297,2.6
13299,0.4
13301,14.9
13303,2.9
13305,24.55
13309,10.9
13311,14.9
13315,40.6
13317,1.8
13319,15.9
13321,1433.4
16001,23.05
16003,13.649999999999999
16005,182.5
16007,48.050000000000004
16009,13.5
16011,3955.9
16013,169.7
16015,2.7
16017,1.1
16019,982.4000000000001
16021,0.4
16023,125.5
16025,182.60000000000002
16027,3919.1
16029,338.0
16031,338.0
16033,22.9
16037,97.85
16039,782.5500000000001
16041,338.0
16043,1261.8
16045,169.5
16047,447.3
16049,0.4
16051,1833.25
16053,513.75
16055,0.5
16057,0.5
16059,13.55
16063,338.0
16065,1941.05
16067,1709.8
16069,0.4
16071,1124.6
16073,66.25
16075,534.5999999999999
16077,5154.4
16081,266.45
16083,573.15
16085,182.60000000000002
16087,488.0
17007,7.4
17011,8.2
17015,8.2
17031,21.6
17037,128.85
17043,0.5
17063,12.75
17073,9.3
17085,8.2
17089,47.85
17093,17.5
17097,8.6
17099,218.75
17103,0.3
17111,85.94999999999999
17131,8.2
17141,1.2
17155,8.2
17161,3.1
17177,0.4
17195,8.2
17197,16.65
17201,2.4
18015,1.4
18017,2.4
18019,0.1
18029,0.0
18039,4.3
18047,0.0
18049,4.5
18061,0.0
18071,0.0
18073,2.7
18077,0.2
18079,0.0
18085,2.1
18089,0.9
18091,1.9
18099,4.3
18103,3.6
18111,2.2
18115,0.0
18117,0.0
18127,1.4
18131,2.2
18137,0.0
18141,1.9
18143,0.0
18149,1.6
18155,0.3
18169,3.9
18175,0.0
18181,0.1
20007,135.0
20025,49.9
20033,58.0
20047,92.6
20055,166.7
20057,169.0
20063,90.8
20067,81.4
20069,115.3
20071,123.2
20075,115.0
20077,208.0
20079,101.2
20081,61.7
20083,114.0
20093,115.1
20095,184.4
20097,64.3
20101,73.6
20109,93.2
20119,92.3
20129,80.9
20135,109.6
20145,116.0
20151,167.6
20155,234.5
20171,102.5
20173,177.2
20175,54.5
