fips,mass
09001,68.7
09003,178.6
09005,59.9
09007,43.6
09009,158.05
09011,29.799999999999997
09013,25.25
09015,75.35
23001,230.6
23003,1877.8000000000002
23005,125.1
23007,33.2
23009,34.9
23011,115.5
23013,113.3
23015,107.9
23017,1435.1
23019,286.5
23021,28.1
23023,105.3
23025,39.2
23027,49.3
23029,103.4
23031,189.0
24005,10.45
24013,17.85
24021,36.35
24025,202.1
24027,19.15
24031,29.1
24043,317.75
25001,38.3
25003,41.8
25005,90.4
25007,32.4
25009,159.2
25011,1701.4
25013,190.5
25015,2924.2
25017,277.7
25019,30.1
25021,48.8
25023,119.1
25027,1399.6
26001,2.1
26007,1.0
26009,50.0
26019,44.6
26029,18.2
26031,0.9
26035,1.3
26047,2.1
26051,1.8
26055,76.5
26057,2.1
26069,2.1
26073,2.1
26079,2.1
26085,2.1
26089,61.8
26101,29.2
26105,87.7
26107,2.1
26111,2.1
26113,2.1
26117,34.8
26119,2.1
26121,147.4
26123,69.3
26127,228.4
26129,2.1
26133,2.1
26135,0.2
26137,2.1
26141,2.1
26143,0.0
26165,1.4
33001,15.6
33003,37.7
33005,34.05
33007,10.75
33009,47.0
33011,114.75
33013,43.0
33015,179.95
33017,21.95
33019,18.549999999999997
34001,81.8
34003,39.8
34005,99.45
34007,24.700000000000003
34009,88.5
34011,88.5
34013,39.8
34015,90.19999999999999
34019,77.64999999999999
34021,27.0
34023,18.849999999999998
34025,70.45
34027,50.2
34029,10.75
34031,24.200000000000003
34033,856.85
34035,10.2
34037,64.9
34041,64.8
36001,233.9
36003,123.05000000000001
36007,29.299999999999997
36009,49.7
36011,93.3
36013,44.55
36015,45.05
36017,111.75
36019,2501.3
36021,720.8499999999999
36023,39.5
36025,33.8
36027,130.75
36029,320.2
36031,205.3
36033,1325.9
36035,56.3
36037,154.1
36039,53.150000000000006
36041,63.8
36043,41.8
36045,27.4
36049,11.05
36051,193.6
36053,66.69999999999999
36055,541.4
36057,33.3
36059,37.75
36063,1927.8
36065,188.25
36067,253.85
36069,44.2
36071,424.05
36073,3492.7
36075,371.25
36077,69.25
36079,24.599999999999998
36081,40.9
36083,293.4
36087,24.8
36089,24.25
36091,287.4
36093,866.8
36095,570.7
36097,11.95
36099,41.2
36101,1157.25
36103,387.1
36105,13.200000000000001
36107,27.55
36109,26.4
36111,1724.45
36113,498.6
36115,184.1
36117,14474.2
36119,25.400000000000002
36121,3267.5
36123,112.7
39007,74.0
39029,130.5
39035,13.5
39055,55.9
39085,13.5
39099,127.0
39103,46.0
39133,14.0
39151,56.5
39153,36.1
39155,28.5
39169,94.4
42001,3912.4500000000003
42003,53.1
42005,12.9
42007,31.2
42009,263.5
42011,325.3
42013,17.6
42015,38.5
42017,113.7
42019,29.5
42021,642.35
42023,57.55
42025,6.8999999999999995
42027,54.55
42029,451.9
42031,34.1
42033,8.3
42035,36.2
42037,255.75
42039,107.6
42041,91.19999999999999
42043,72.19999999999999
42045,109.1
42047,25.5
42049,1342.0
42051,29.8
42053,75.9
42055,463.9
42057,11.75
42059,6.6
42061,43.0
42063,41.1
42065,3.1
42067,58.6
42069,67.1
42071,503.7
42073,34.1
42075,65.6
42077,109.10000000000001
42079,71.9
42081,82.65
42083,23.5
42085,99.7
42087,32.45
42089,31.650000000000002
42091,20.9
42093,17.099999999999998
42095,36.95
42097,165.64999999999998
42099,36.2
42101,2.3
42103,43.55
42105,79.5
42107,182.0
42109,235.55
42111,6.6
42113,60.2
42115,118.4
42117,17.9
42119,5.65
42121,169.1
42123,179.1
42125,35.9
42127,46.5
42129,24.6
42131,73.1
42133,366.0
