fips,mass
01001,1214.75
01003,29336.5
01005,588.5
01007,294.0
01009,831.5
01011,185.1
01013,2433.4
01015,1182.8000000000002
01017,408.85
01019,5192.5
01021,446.9
01023,707.9
01025,594.6
01027,84.55000000000001
01029,66.95
01031,1248.6
01033,16510.550000000003
01035,8053.4
01037,3.7
01039,1015.5
01041,115.95
01043,2104.1
01045,1419.35
01047,4034.0
01049,3897.9
01051,1473.5
01053,20685.1
01055,767.4
01057,2620.8
01059,2104.3
01061,2385.75
01063,62.449999999999996
01065,145.5
01067,1967.8999999999999
01069,2734.85
01071,6533.8
01073,56.2
01075,296.65
01077,18314.95
01079,26251.15
01081,430.6
01083,36251.5
01085,896.1500000000001
01087,1375.55
01089,28651.449999999997
01091,793.0
01093,2032.95
01095,1402.7
01097,9104.9
01099,14896.2
01101,1021.5500000000001
01103,4166.1
01105,3486.8
01107,1201.3
01109,596.15
01111,199.15
01113,471.4
01115,20.049999999999997
01117,788.0
01119,645.3
01121,1233.3999999999999
01123,436.25
01125,607.1999999999999
01127,237.65
01129,5310.8
01131,813.1
01133,115.55000000000001
04001,4.2
04003,1153.6
04005,6.0
04007,3.7
04009,933.7
04012,49.3
04013,1914.9499999999998
04015,313.1
04017,11.850000000000001
04019,51.35
04021,1964.25
04023,2.5500000000000003
04025,0.3
04027,2300.1
05001,125009.9
05003,40319.9
05005,0.44999999999999996
05007,307.7
05009,59.4
05015,82.2
05017,115710.2
05019,3742.4
05021,24732.6
05023,148.6
05025,20.2
05027,161.1
05029,1211.65
05031,28252.7
05033,1759.35
05035,123580.0
05037,85451.1
05041,124686.6
05043,27464.0
05045,620.85
05047,580.05
05049,115.94999999999999
05053,9.45
05055,17883.0
05057,12.0
05059,20.95
05063,5821.5
05065,33.35
05067,20365.0
05069,78484.8
05071,1306.85
05073,3116.55
05075,11832.4
05077,95213.1
05079,58395.1
05081,2367.85
05083,457.1
05085,74591.6
05087,58.6
05091,3030.85
05093,49122.9
05095,68055.0
05099,3.5
05105,159.45
05107,155055.0
05111,28650.8
05115,1299.3
05117,62904.2
05119,1388.4
05121,5532.9
05123,85162.5
05125,6.4
05131,401.55
05133,17.1
05143,122.5
05145,6176.7
05147,76227.1
05149,1743.4
06007,198.5
06011,7130.9
06013,2199.8
06019,25014.5
06021,3198.4
06025,741.5
06027,173.2
06029,10187.4
06031,12285.1
06037,328.6
06039,2611.9
06047,19347.6
06051,103.9
06053,1195.0
06059,0.2
06065,1083.9
06067,1245.0
06069,461.6
06071,207.5
06073,25.9
06077,14101.5
06079,162.6
06083,1624.9
06085,658.7
06087,0.9
06095,7560.6
06097,3.6
06099,8181.3
06101,3714.2
06103,351.5
06107,3529.3
06111,1019.0
06113,16100.8
06115,9.1
08001,7784.1
08003,2598.8999999999996
08005,80.7
08007,0.5
08009,6440.15
08011,1129.1
08013,1066.9
08014,51.9
08015,1197.6
08017,9114.3
08021,2597.1
08023,2561.5
08025,91.75
08029,557.5
08031,1389.7
08033,172.45
08035,1323.0
08037,1.0
08039,972.6
08041,35.8
08043,17.8
08045,1245.75
08047,1197.6
08049,0.0
08051,0.5
08055,18.1
08057,1258.8
08059,60.4
08061,4807.9
08063,27998.8
08067,71.35000000000001
08069,4233.25
08071,193.75
08073,4656.9
08075,20350.1
08077,564.5
08081,32.1
08083,439.25
08085,664.25
08087,15861.05
08089,1323.15
08091,0.5
08095,17544.2
08097,0.0
08099,3783.0
08101,971.6500000000001
08103,1.0
08105,2561.4
08107,1201.3
08109,17817.15
08113,1260.25
08115,11078.85
08119,4.5
08121,15668.0
08123,39169.7
08125,34161.15
09001,225.55
09003,1911.25
09005,749.4
09007,92.75
09009,360.6
09011,620.5
09013,538.3
09015,468.85
10001,13566.699999999999
10003,6579.4
10005,35198.05
12001,348.20000000000005
12003,157.95
12005,0.3
12007,280.8
12009,532.5
12011,156.3
12013,3439.6
12015,688.3
12017,865.2
12019,467.3
12021,877.45
12023,887.95
12027,255.45
12029,370.85
12031,324.15
12033,4319.9
12035,342.15
12039,307.4
12041,1449.65
12043,185.0
12045,403.3
12047,1923.4499999999998
12049,858.6500000000001
12051,2036.6999999999998
12053,512.4
12055,421.95
12057,924.2
12059,2941.1
12061,182.75
12063,19552.7
12065,1074.3
12067,2179.7
12069,549.1500000000001
12071,496.95
12073,564.7
12075,1701.7
12077,18.9
12079,1813.25
12081,5651.15
12083,729.4
12085,475.45
12086,5024.95
12089,14.0
12091,1097.6
12093,595.8499999999999
12095,567.9000000000001
12097,750.5999999999999
12099,13859.699999999999
12101,902.2
12103,125.55000000000001
12105,376.04999999999995
12107,214.4
12109,2803.25
12111,2.8
12113,8690.3
12115,141.7
12117,512.0
12119,205.75
12121,2867.0
12123,127.65
12125,451.0
12127,36.35
12129,0.2
12131,1319.2
12133,1086.5
13001,8344.3
13003,5382.2
13005,3006.65
13007,2985.7
13009,4.1
13011,166.45000000000002
13013,2.85
13015,448.90000000000003
13017,2585.3
13019,7885.1
13021,243.85
13023,2629.9
13025,102.6
13027,11088.7
13029,204.75
13031,16932.4
13033,11387.35
13035,171.95
13037,3905.55
13039,0.1
13043,2250.65
13045,98.75
13047,74.0
13049,37.8
13051,0.5
13055,422.20000000000005
13057,9.25
13059,55.55
13061,1452.35
13063,8.4
13065,245.7
13067,0.8
13069,11831.8
13071,13826.5
13073,163.35000000000002
13075,5282.3
13077,109.9
13079,273.15
13081,7033.5
13083,11.1
13085,61.050000000000004
13087,8666.650000000001
13089,0.3
13091,2371.25
13093,14842.9
13095,548.5
13097,111.9
13099,5572.5
13101,971.1
13103,2940.0
13105,292.5
13107,5370.1
13109,1232.15
13111,38.15
13113,18.1
13115,786.55
13117,16.8
13119,136.20000000000002
13121,3.6
13123,39.949999999999996
13125,361.4
13127,23.75
13129,1260.3000000000002
13131,3980.3
13133,8.9
13135,49.15
13137,174.05
13139,198.9
13143,68.0
13145,105.2
13147,402.29999999999995
13149,179.1
13151,93.05
13153,849.95
13155,8846.3
13157,51.9
13159,41.9
13161,5679.7
13163,6158.049999999999
13165,4057.4
13167,2136.8500000000004
13169,4.1
13171,103.85
13173,2628.4
13175,3031.1499999999996
13177,3678.15
13179,15.1
13181,8.6
13183,174.9
13185,2440.0
13187,26.25
13189,149.64999999999998
13193,2149.8
13195,260.95
13197,610.55
13199,108.8
13201,3733.35
13205,7235.85
13207,1.7
