fips,mass
01001,76.5
01003,322.25
01005,40.0
01007,205.7
01009,102.3
01011,17.6
01013,5.95
01015,113.8
01017,23.9
01019,369.4
01021,114.55
01023,5.95
01025,0.8
01027,24.25
01029,9.3
01031,31.85
01033,825.0
01035,5.0
01037,0.0
01039,36.050000000000004
01041,3.8
01043,411.5
01045,27.099999999999998
01047,393.5
01049,710.3
01051,47.5
01053,79.3
01055,109.1
01057,110.6
01059,59.3
01061,54.9
01063,12.6
01065,13.9
01067,25.15
01069,60.3
01071,1204.9
01073,34.3
01075,171.95
01077,790.9
01079,1122.5
01081,23.950000000000003
01083,1790.1
01085,70.3
01087,39.8
01089,1207.2
01091,83.5
01093,112.0
01095,264.4
01097,69.55
01099,16.7
01101,131.8
01103,219.9
01105,644.5
01107,340.75
01109,67.80000000000001
01111,24.75
01113,1.4
01115,3.6
01117,247.1
01119,109.6
01121,492.1
01123,24.15
01125,353.05
01127,133.7
01129,6.85
01131,6.15
01133,6.6
04001,53.400000000000006
04003,542.9499999999999
04005,5.1499999999999995
04007,15.950000000000001
04009,136.6
04011,90.2
04012,1857.3
04013,2708.95
04015,284.25
04017,53.1
04019,155.9
04021,2111.9500000000003
04023,34.95
04025,25.85
04027,727.6
05001,15323.8
05003,1437.1
05005,0.0
05007,100.75
05009,2.5
05015,3.5
05017,5133.8
05019,456.8
05021,7065.85
05023,6.9
05025,2.8
05027,22.0
05029,1097.6
05031,6898.15
05033,1062.5
05035,16348.8
05037,11236.3
05041,5663.9
05043,1098.2
05045,560.6
05047,171.6
05049,56.65
05053,7.5
05055,4880.799999999999
05057,14.9
05059,23.7
05063,1468.6999999999998
05065,5.15
05067,7340.4
05069,3476.6
05071,156.1
05073,814.8
05075,4216.1
05077,11250.9
05079,2340.4
05081,543.0
05083,217.3
05085,8802.2
05087,14.8
05091,1013.8
05093,16656.25
05095,8218.7
05105,117.2
05107,19632.5
05111,9512.900000000001
05115,487.2
05117,8052.7
05119,1160.9
05121,1844.7
05123,10809.2
05125,7.7
05131,81.7
05133,21.8
05143,16.15
05145,2077.45
05147,9810.2
05149,278.2
06007,2.8
06011,63.6
06019,60.4
06021,3.5
06025,93.2
06029,15.1
06035,86.0
06047,50.3
06049,3390.3
06051,175.2
06053,42.3
06063,115.0
06065,13.3
06067,140.9
06077,994.0
06079,3.2
06089,118.0
06093,2442.3
06095,516.5
06099,76.5
06101,385.8
06113,894.4
08001,1202.0
