fips,mass
01001,7.1
01003,7.1
01005,9.9
01007,2.8
01009,4.2
01011,9.2
01013,4.3
01015,1.9
01017,7.9
01019,1.5
01021,4.4
01023,3.4
01025,3.6
01027,6.9
01029,1.3
01031,11.1
01033,27.099999999999998
01035,4.9
01037,3.4
01039,9.9
01041,8.0
01043,5.5
01045,5.0
01047,17.2
01049,6.3
01051,6.4
01053,3.9
01055,2.3
01057,2.8
01059,10.15
01061,9.1
01063,10.8
01065,20.1
01067,7.3
01069,7.2
01071,4.1
01073,1.7
01075,2.5
01077,18.3
01079,25.9
01081,4.0
01083,33.45
01085,28.5
01087,6.0
01089,25.450000000000003
01091,14.4
01093,6.0
01095,3.7
01097,5.0
01099,5.7
01101,29.9
01103,10.7
01105,10.5
01107,4.8
01109,10.0
01111,9.3
01113,3.6
01115,1.5
01117,4.1
01119,16.0
01121,5.8
01123,4.2
01125,4.4
01127,3.6
01129,4.7
01131,11.3
01133,4.45
05001,5.05
05003,0.5
05005,0.9
05007,8.65
05009,11.4
05011,0.1
05013,0.1
05015,9.6
05017,0.8
05019,0.2
05021,7.9
05023,1.0
05025,0.1
05027,0.1
05029,4.0
05031,7.65
05033,6.4
05035,7.550000000000001
05037,5.050000000000001
05039,0.0
05041,0.7
05043,0.5
05045,4.25
05047,14.5
05049,2.4
05051,1.6
05053,0.9
05055,9.75
05057,20.1
05059,3.3
05061,12.9
05063,54.65
05065,1.65
05067,5.1
05069,2.0
05071,7.0
05073,9.3
05075,19.75
05077,5.4
05079,1.0
05081,13.7
05083,12.3
05085,6.2
05087,8.35
05089,2.0
05091,11.4
05093,2.15
05095,6.4
05097,7.5
05099,0.2
05101,3.4499999999999997
05103,0.1
05105,1.45
05107,8.95
05109,7.4
05111,4.2
05113,11.7
05115,9.2
05117,2.2
05119,0.9
05121,40.75
05123,2.5999999999999996
05125,1.7
05127,7.4
05129,1.9
05131,8.8
05133,14.0
05135,1.3
05137,1.1
05139,0.1
05141,1.0
05143,9.85
05145,47.400000000000006
05147,4.35
05149,13.8
08001,219.3
08003,1.35
08005,45.9
08007,0.5
08009,140.14999999999998
08011,26.15
08013,1.25
08014,1.7
08015,0.3
08017,191.6
08019,0.0
08021,23.25
08023,24.25
08025,22.55
08027,0.8
08029,1.05
08031,30.5
08033,5.8
08035,2.7
08037,1.0
08039,31.9
08041,31.4
08043,0.7
08045,12.55
08047,0.0
08049,0.2
08051,0.0
08053,0.0
08055,0.15000000000000002
08057,0.0
08059,24.9
08061,200.5
08063,115.5
08065,0.0
08067,1.45
08069,2.75
08071,9.0
08073,152.2
08075,37.5
08077,1.95
08079,0.0
08081,10.8
08083,6.6
08085,11.75
08087,30.8
08089,4.05
08091,0.0
08093,0.0
08095,100.8
08097,0.0
08099,131.85000000000002
08101,23.75
08103,22.6
08105,2.0
08107,1.8
08109,24.549999999999997
08113,0.7
08115,48.8
08117,0.0
08119,0.0
08121,110.4
08123,82.69999999999999
08125,120.7
10003,0.8500000000000001
12003,0.5
12023,3.0
12029,1.2
12031,0.7
12047,1.5
12067,2.5
12079,3.4
12089,0.7
12121,3.2
12123,1.2
13001,0.5
13003,0.5
13005,0.6
13007,0.9
13009,1.9
13011,11.5
13013,0.7
13015,1.6
13017,0.3
13019,0.9
13021,1.1
13023,1.2
13025,0.3
13027,1.0
13029,0.1
13031,5.25
13033,14.45
13035,3.1
13037,0.9
13039,0.1
13043,2.6500000000000004
13045,11.8
13047,0.8
13049,0.2
13051,0.1
13053,0.0
13055,1.2
13057,0.6
13059,0.2
13061,1.2
13063,0.4
13065,0.1
13067,0.1
13069,1.0
13071,0.9
13073,2.7
13075,0.6
13077,5.6
13079,1.8
13081,0.8
13083,0.4
13085,0.4
13087,2.9
13089,0.1
13091,3.7
13093,0.9
13095,1.7
13097,0.5
13099,3.2
13101,0.2
13103,1.8
13105,13.1
13107,7.1
13109,0.2
13111,0.3
13113,1.2
13115,1.6
13117,0.6
13119,18.5
13121,0.2
13123,0.7
13125,1.6
13127,0.0
13129,2.0
13131,2.4
13133,4.8
13135,0.4
13137,4.9
13139,1.2
13141,2.2
13143,3.0
13145,3.0
13147,12.7
13149,4.6
13151,1.4
13153,1.2
13155,0.8
13157,2.5
13159,4.6
13161,0.9
13163,6.55
13165,2.9
13167,3.0
13169,2.0
13171,2.5
13173,0.1
13175,4.4
13177,2.2
13179,0.1
13181,2.6
13183,0.1
13185,0.3
13187,0.5
13189,7.3
13191,0.1
13193,4.0
13195,13.6
13197,6.2
13199,5.8
13201,2.3
13205,3.0
13207,2.9
13209,1.3
13211,8.9
13213,1.1
13215,0.8
13217,3.9
13219,0.8
13221,10.5
13223,0.4
13225,1.0
13227,0.5
13229,0.2
13231,4.7
13233,1.1
13235,0.7
13237,3.6
13239,0.6
13241,1.1
13243,2.7
13245,0.6
13247,0.4
13249,1.1
13251,4.35
13253,1.5
13255,2.2
13257,4.9
13259,0.8
13261,3.3
13263,1.3
13265,1.3
13267,0.8
13269,3.2
13271,0.3
13273,1.1
13275,2.6
13277,0.6
13279,0.7
13281,0.1
13283,0.9
13285,3.3
13287,0.7
13289,0.8
13291,0.4
13293,3.0
13295,2.2
13297,1.2
13299,0.3
13301,5.55
13303,2.7
13305,0.5
13307,0.6
13309,0.6
13311,0.5
13313,1.2
13315,0.4
13317,8.5
13319,1.3
13321,0.7
16001,2.4
16003,1.6
16005,5.35
16007,2.9000000000000004
16009,11.3
16011,16.7
16013,1.7
16015,0.2
16017,0.5
16019,14.2
16021,5.949999999999999
16023,2.6500000000000004
16025,2.4
16027,6.3
16029,14.3
16031,14.6
16033,1.5
16035,3.05
16037,1.25
16039,4.1
16041,3.7
16043,10.65
16045,1.9
16047,0.8
16049,29.4
16051,8.85
16053,2.3
16055,4.25
16057,38.05
16059,0.3
16061,23.450000000000003
16063,1.3
16065,9.05
16067,7.9
16069,41.900000000000006
16071,6.75
16073,2.9
16075,1.6
16077,18.75
16079,0.15000000000000002
16081,4.65
16083,5.2
16085,0.1
16087,3.2
17001,4.7
17003,0.45
17005,1.6
17007,0.4
17009,1.6
17011,0.6
17013,1.5
17015,1.0
17017,0.9
17019,0.1
17021,0.6
17023,0.55
17025,1.55
17027,3.05
17029,0.35
17031,0.1
17033,0.55
17035,0.2
17037,0.2
17039,0.4
17041,0.1
17043,0.0
