fips,mass
04001,0.1
04003,1.4
04015,0.3
04025,0.1
06009,32.0
06019,13457.3
06025,1799.6
06029,2916.8
06031,51097.1
06053,5093.2
06059,4.8
06069,512.2
06077,391.8
06079,2228.6
06083,5658.7
06085,169.5
06087,137.3
06099,14.9
06107,212.9
06111,4539.9
12001,90.0
12007,90.45
12009,31.6
12011,0.5
12015,189.7
12017,90.45
12019,0.1
12021,195.0
12023,0.6
12027,2190.3
12029,2.5
12031,2.5
12035,5.5
12041,3.2
12043,182.2
12049,1748.3
12051,3067.2
12053,16.35
12055,1917.0
12057,606.9
12061,1136.8
12067,0.4
12069,170.0
12071,204.7
12075,5.5
12081,186.2
12083,33.75
12085,658.2
12086,176.8
12089,0.2
12093,187.5
12095,75.75
12097,110.05
12099,182.2
12101,54.4
12103,178.0
12105,1550.6
12107,3.8
12109,3.7
12111,947.4
12115,184.5
12117,16.0
12119,85.39999999999999
12121,0.2
12125,3.0
12127,19.85
16001,280.0
16003,115.7
16005,840.9
16007,1297.3
16009,9.2
16011,2341.6
16013,788.9
16015,105.5
16017,36.4
16019,835.9
16021,145.3
16023,1389.8
16025,2069.0
16027,533.5
16029,749.3
16031,2284.9
16033,684.2
16035,12.7
16037,941.4
16039,429.9
16041,1364.4
16043,660.9
16045,101.2
16047,1319.8
16049,189.1
16051,2326.9
16053,1113.6
16055,77.7
16057,55.8
16059,304.0
16061,69.9
16063,1130.6
16065,528.1
16067,1402.7
16069,106.1
16071,836.1
16073,708.3
16075,203.8
16077,331.7
16079,111.8
16081,766.4
16083,2464.4
16085,14.2
16087,357.3
30001,1630.7
30003,1616.8
30009,1428.9
30031,1435.8
30043,502.6
30057,1839.7
30067,1428.9
30093,25.9
30095,1928.2
30097,908.7
30103,390.0
30111,1413.4
32001,318.2
32003,64.0
32005,131.1
32007,697.3
32009,393.4
32011,1143.0
32013,977.2
32015,929.3
32017,426.8
32019,355.6
32021,61.2
32023,270.6
32027,187.4
32029,1.1
32031,144.1
32033,673.8
32510,12.0
41001,280.7
41013,224.7
41017,97.3
41021,94.9
41023,64.6
41025,744.5
41027,11.6
41031,98.7
41035,603.8
41037,764.5
41045,809.8
41049,737.7
41055,11.8
41059,277.9
41061,305.9
41063,207.9
41065,126.2
41069,45.4
49003,2931.2
49005,3404.3
49007,413.6
49009,216.5
49011,130.7
49013,2177.8
49015,948.3
49019,458.8
49023,920.4
49027,3648.2
49029,512.7
49033,775.2
49035,115.6
49037,268.2
49039,2098.4
49041,1471.2
49043,571.7
49045,638.9
49047,1905.8
49049,1561.1
49051,320.4
49057,632.8
56001,430.0
56003,917.1
56007,272.6
56013,2236.2
56017,343.2
56023,1937.3
56025,691.5
56029,1127.8
56035,517.1
56037,462.2
56039,102.6
56041,506.1
56043,343.2
