fips,mass
06019,0.3
06029,4.8
16001,0.0
16003,0.1
16005,0.1
16011,0.1
16013,0.1
16015,0.1
16019,0.0
16023,0.0
16025,0.0
16027,0.1
16031,0.0
16037,0.0
16039,0.0
16041,0.1
16043,0.1
16045,0.0
16047,0.1
16051,0.0
16053,0.1
16059,0.1
16065,0.0
16067,0.0
16071,0.1
16073,0.1
16075,0.1
16077,0.0
16081,0.1
16083,0.0
16087,0.1
41001,0.0
41003,0.1
41005,0.1
41007,0.0
41009,0.0
41011,0.0
41015,0.0
41019,0.1
41021,0.0
41027,0.6
41029,0.1
41033,0.0
41039,0.2
41041,0.0
41043,0.1
41047,0.2
41049,0.0
41051,0.0
41053,0.1
41055,0.0
41057,0.0
41059,1.2
41061,0.0
41063,0.0
41065,0.0
41067,0.3
41071,0.1
53001,4.7
53003,0.0
53005,5.5
53007,4.6
53009,0.0
53011,0.0
53013,0.0
53015,0.0
53017,9.7
53019,0.0
53021,14.3
53023,0.0
53025,64.7
53027,0.0
53029,0.0
53031,0.0
53033,0.1
53035,0.0
53037,0.3
53039,0.3
53041,0.0
53043,0.0
53045,0.0
53047,8.5
53049,0.0
53051,0.0
53053,0.1
53055,0.0
53057,0.1
53059,0.0
53061,0.0
53063,0.2
53065,0.0
53067,0.0
53069,0.0
53071,11.0
53073,0.0
53075,0.0
53077,34.8
