fips,mass
04001,0.9
04003,258.8
04005,0.6
04007,0.5
04009,28.5
04013,1.5
04015,0.3
04017,0.3
04019,0.5
04021,52.7
04023,0.9
04025,1.0
06011,129.8
06015,252.7
06019,426.4
06025,1118.6
06029,806.2
06039,87.1
06047,334.7
06053,369.2
06065,175.1
06077,149.0
06079,793.4
06083,1995.9
06085,0.3
06087,110.5
06095,938.7
06099,50.3
06107,300.7
06111,252.2
06113,995.2
08025,0.5
08043,0.2
08055,0.5
08071,0.5
08089,1.3
08101,8.5
08109,0.5
13003,16.6
13017,7.2
13019,55.0
13027,40.4
13031,7.0
13065,7.0
13069,65.1
13071,25.0
13075,18.6
13091,6.85
13101,7.0
13103,2.8
13107,4.5
13123,0.0
13129,0.8
13131,6.85
13155,10.8
13161,7.0
13173,25.3
13185,7.0
13205,14.95
13251,7.0
13275,6.85
13277,13.4
13283,6.85
13321,14.6
17047,2.4
17191,8.4
17193,10.9
18005,0.5
18019,1.3
18021,0.5
18027,1.2
18029,0.1
18041,0.2
18047,0.1
18053,0.9
18057,0.6
18059,0.6
18061,0.2
18065,0.2
18071,0.6
18075,0.8
18077,1.4
18079,0.2
18083,1.7
18107,1.1
18115,0.4
18117,0.2
18119,0.2
18135,1.0
18137,0.4
18139,0.9
18143,0.1
18147,3.3
18155,2.3
18175,0.2
18177,1.6
21001,8.4
21003,24.0
21005,3.8
21007,2.7
21009,38.1
21011,1.6
21015,0.6
21017,9.3
21021,2.4
21023,6.4
21025,0.9
21027,24.5
21029,0.2
21031,0.7
21033,20.4
21035,87.9
21037,0.5
21039,5.3
21041,0.2
21043,0.5
21045,4.7
21047,225.6
21049,9.7
21051,5.2
21053,0.3
21057,0.3
21059,112.6
21061,0.6
21063,0.1
21065,0.0
21067,5.5
21069,8.1
21073,4.2
21077,3.7
21079,12.9
21081,5.6
21083,67.5
21085,3.2
21087,29.8
21089,0.6
21091,5.9
21093,2.9
21097,19.5
21099,12.6
21101,9.5
21103,9.8
21105,4.4
21107,5.6
21109,0.3
21111,0.6
21113,2.6
21115,0.0
21117,1.3
21123,5.9
21125,1.2
21127,0.1
21135,3.0
21137,3.4
21141,56.3
21143,6.7
21145,3.4
21149,16.8
21151,3.2
21153,0.6
21155,7.7
21157,1.2
21161,11.1
21163,3.5
21165,0.6
21167,3.6
21169,26.1
21171,17.4
21173,3.8
21175,0.7
21177,34.2
21179,7.1
21181,16.2
21183,7.1
21185,0.2
21187,12.9
21189,1.1
21191,4.3
21195,0.0
21197,0.1
21199,1.6
21201,0.2
21203,0.1
21205,0.1
21207,0.7
21209,7.4
21211,11.9
21213,23.3
21215,6.2
21217,6.0
21219,89.7
21221,58.1
21223,4.4
21225,0.1
21227,3.2
21229,2.2
21231,0.5
21233,7.9
21237,0.6
21239,8.9
24003,0.1
24009,0.3
24015,2.0
24017,0.3
24035,0.5
24037,8.45
26005,16.1
26009,1.4
26011,12.7
26015,0.4
26017,12.6
26019,16.0
26021,43.5
26023,12.7
26025,1.2
26027,16.2
26029,2.0
26035,0.2
26037,0.5
26045,12.7
26047,2.9
26049,2.0
26051,1.4
26055,16.4
26057,1.4
26059,0.4
26063,0.1
26065,1.2
26067,0.5
26073,41.7
26075,14.1
26077,16.0
26079,0.5
26081,16.2
26085,4.0
26087,13.5
26089,2.4
26091,270.7
26093,9.4
26099,102.7
26101,16.0
26105,31.8
26107,1.8
26111,3.9
26113,16.4
26115,863.0
26117,16.1
26121,11.9
26123,141.5
26125,0.9
26127,141.5
26133,10.9
26139,17.0
26145,12.7
26147,2.8
26149,12.8
26151,1.8
26155,12.8
26157,4.1
26159,0.9
26161,10.3
26163,13.1
26165,5.6
29023,2.0
29031,0.7
29089,0.7
29141,0.1
32003,0.0
35001,1.8
35003,0.5
35005,112.3
35009,16.7
35011,0.0
35013,2199.4
35015,415.4
35017,101.3
35019,16.7
35023,101.1
35025,415.4
35027,1.0
35029,623.7
35031,58.9
35035,2.1
35039,10.1
35041,2.3
35043,2.6
35045,5.0
35047,0.2
35049,2.6
35051,129.2
35053,32.9
35055,0.3
35061,4.3
37001,106.8
37003,81.8
37005,8.2
37009,0.5
37011,6.9
37013,205.7
37015,743.1
37017,24.4
37019,24.4
37021,0.5
37027,0.1
37033,161.3
37037,91.8
37041,34.6
37043,0.5
37045,24.4
37047,270.6
37049,324.6
37051,282.4
37057,37.0
37059,25.3
37061,340.8
37063,16.9
37065,973.5
37067,35.0
37069,237.5
37073,30.2
37075,0.0
37077,242.9
37079,691.3
37081,165.8
37083,647.0
37085,1173.4
37087,5.2
37091,558.5
37093,26.1
37095,68.1
37097,25.0
37099,0.0
37101,1603.3
37103,135.1
37105,400.0
37107,850.9
37115,2.1
37117,829.0
37121,1.4
37123,24.4
37125,270.8
37127,1788.1
37131,34.6
37133,134.6
37135,77.1
37137,24.4
37141,24.4
37145,356.7
37147,1029.7
37151,99.1
37153,25.0
37155,332.7
37157,367.1
37161,0.1
37163,1389.4
37169,110.7
37171,117.2
37179,5.6
37181,171.3
37183,659.5
37185,98.1
37187,57.6
37189,1.1
37191,1188.9
37193,6.9
37195,1568.6
37197,113.3
37199,3.6
39001,10.7
39003,0.1
39015,5.8
39025,0.2
39039,16.1
39051,16.1
39053,0.6
39057,0.3
39063,16.3
39069,16.1
39071,4.5
39079,0.0
39087,0.0
39095,9.2
39111,0.0
39113,0.2
39131,0.2
39137,16.1
39141,0.2
39145,0.1
39161,0.4
39171,13.7
39173,16.1
40139,0.0
45023,0.3
45025,5.2
45027,11.899999999999999
45031,13.3
45033,8.9
45041,15.5
45043,26.2
45051,267.1
45063,13.0
45067,21.1
45069,13.2
45075,35.3
45085,13.0
45089,23.7
47003,1.7
47009,0.3
47011,0.3
47015,0.7
47019,0.3
47021,33.2
47025,2.9
47027,51.4
47029,0.4
47035,0.3
47041,0.9
47043,14.9
47049,0.1
47055,1.2
47057,0.9
47059,1.1
47063,0.3
47067,0.1
47073,2.8
47079,52.6
47081,0.4
47083,0.4
47087,0.6
47089,0.3
47091,0.2
47093,0.2
47099,0.4
47103,0.7
47105,0.3
47107,1.2
47111,232.7
47117,0.6
47119,0.7
47123,5.3
47125,64.5
47127,0.7
47129,0.3
47133,0.3
47137,1.0
47141,0.5
47143,0.2
47145,0.3
47147,128.4
47149,0.7
47155,0.1
47159,54.5
47161,9.9
47163,0.3
47165,50.6
47169,5.3
47173,0.3
47177,1.0
47179,6.7
47183,19.5
47185,0.9
47187,0.7
47189,0.7
48003,0.8
48043,1.5
48109,3.8
48165,154.2
48179,0.2
48219,0.2
48229,421.5
48303,0.5
48329,0.5
48371,1.5
48381,0.2
48437,0.1
48501,0.8
51007,3.7
51011,2.2
51025,39.4
51031,0.3
51037,5.2
51049,0.3
51053,27.5
51059,0.7
51067,9.7
51077,0.2
51081,16.0
51083,17.2
51089,1.9
51105,0.5
51111,24.9
51117,102.7
51121,0.2
51135,0.3
51139,0.6
51141,1.7
51143,48.8
51147,0.3
51149,3.5
51167,0.1
51169,0.1
51173,0.2
51183,7.8
51191,0.4
51197,0.1
54011,0.05
54035,0.25
54053,0.75
54063,0.1
54079,0.15000000000000002
54107,0.2
