fips,mass
01001,2.4
01003,69.3
01005,4.2
01007,3.2
01009,0.1
01011,4.0
01013,30.6
01015,0.1
01017,0.5
01019,1.6
01021,2.0
01023,6.3
01025,2.2
01027,2.1
01029,0.2
01031,8.9
01033,13.0
01035,15.2
01037,0.1
01039,10.2
01041,5.3
01043,1.8
01045,7.8
01047,39.3
01049,4.6
01051,7.0
01053,26.7
01055,0.4
01057,2.8
01059,0.9
01061,14.7
01063,0.4
01065,1.7
01067,17.2
01069,6.3
01071,6.7
01073,0.4
01075,2.5
01077,11.7
01079,16.7
01081,0.7
01083,23.7
01085,6.1
01087,2.1
01089,18.0
01091,5.1
01093,1.5
01095,1.4
01097,7.6
01099,13.5
01101,3.3
01103,2.9
01105,18.8
01107,10.6
01109,8.1
01111,4.2
01113,7.2
01115,0.0
01117,4.6
01119,3.3
01121,10.9
01123,1.7
01125,4.9
01127,1.7
01129,8.5
01131,7.9
01133,0.1
05001,50.6
05003,20.6
05005,0.0
05007,1.6
05009,0.2
05011,0.2
05013,0.2
05015,0.2
05017,27.5
05019,0.6
05021,36.9
05023,0.5
05025,0.2
05027,0.4
05029,3.6
05031,45.8
05033,0.6
05035,13.7
05037,15.2
05039,0.1
05041,32.8
05043,11.2
05045,1.8
05047,0.2
05049,0.2
05053,0.0
05055,33.8
05059,0.0
05063,6.7
05065,0.2
05067,15.0
05069,47.9
05071,0.6
05073,4.7
05075,9.5
05077,33.8
05079,23.0
05081,3.7
05083,0.2
05085,37.0
05087,0.3
05091,4.1
05093,24.1
05095,28.9
05099,0.7
05103,0.2
05105,0.5
05107,37.9
05111,25.3
05115,0.5
05117,16.7
05119,4.5
05121,6.0
05123,17.3
05131,0.2
05139,0.2
05143,0.4
05145,6.5
05147,19.0
05149,0.8
06021,7.4
06029,61.4
06031,4.6
06037,0.2
06047,45.4
06067,2.9
06077,15.6
06095,0.5
06099,11.3
06101,2.2
06107,45.7
06113,2.1
08001,12.2
08005,0.1
08009,15.1
08011,4.5
08013,1.0
08014,0.1
08017,19.0
08025,0.9
08027,0.2
08035,0.0
08039,2.0
08041,0.1
08043,0.5
08055,1.1
08059,0.1
08061,7.2
08063,58.9
08069,4.3
08071,3.0
08073,9.0
08075,27.4
08087,22.2
08089,4.0
08095,33.3
08099,10.2
08101,2.9
08115,15.9
08121,34.4
08123,45.2
08125,63.4
10001,144.4
10003,60.6
10005,287.8
12003,2.1
12005,0.0
12013,1.4
12023,11.6
12029,4.5
12031,2.8
12033,1.4
12039,1.9
12045,0.0
12047,5.8
12059,3.7
12063,13.3
12065,4.7
12067,9.7
12073,7.0
12077,0.9
12079,13.3
12089,2.8
12091,1.1
12113,3.0
12121,12.6
12123,4.7
12129,0.0
12131,1.4
12133,2.6
13001,2.1
13003,9.9
13005,2.2
13007,21.5
13009,2.3
13011,1.2
13013,0.0
13015,0.8
13017,6.0
13019,10.5
13021,1.3
13023,7.7
13025,1.0
13027,17.8
13029,0.5
13031,14.0
13033,53.7
13035,3.5
13037,31.1
13039,0.3
13043,1.3
13045,1.0
13047,0.2
13049,0.9
13051,0.5
13055,0.6
13057,0.4
13059,0.5
13061,5.4
13063,0.7
13065,2.0
13069,13.2
13071,15.0
13073,1.8
13075,7.3
13077,2.8
13079,2.3
13081,5.7
13083,0.0
13085,1.3
13087,38.6
13091,7.6
13093,8.3
13095,3.0
13097,0.1
13099,20.4
13101,0.9
13103,2.1
13105,0.5
13107,6.3
13109,0.8
13111,1.6
13113,0.4
13115,1.8
13117,0.5
13119,1.2
13121,0.0
13123,0.8
13125,1.1
13127,0.2
13129,2.4
13131,30.5
13133,5.6
13135,0.5
13137,2.9
13139,6.5
13141,2.1
13143,5.7
13145,0.2
13147,1.2
13149,2.0
13151,0.0
13153,4.8
13155,16.8
13157,0.1
13159,5.2
13161,8.0
13163,34.9
13165,5.2
13167,11.9
13169,2.5
13171,1.6
13173,4.7
13175,9.8
13177,18.7
13179,0.4
13183,0.6
13185,4.4
13187,1.8
13189,3.7
13191,0.5
13193,33.7
13195,0.5
13197,2.7
13199,0.4
13201,21.8
13205,25.4
13207,2.8
13209,2.1
13211,9.9
13213,0.8
13217,4.4
13219,1.1
13221,1.2
13223,0.0
13225,2.1
13227,0.0
13229,0.7
13231,0.7
13233,0.6
13235,2.3
13237,7.1
13241,0.3
13243,30.9
13245,0.7
13247,0.4
13249,0.6
13251,28.7
13253,39.2
13257,0.4
13259,0.7
13261,28.4
13263,1.6
13265,1.3
13267,3.0
13269,1.3
13271,2.8
13273,41.8
13275,12.7
13277,7.8
13279,2.5
13281,0.5
13283,2.7
13285,0.0
13287,8.9
13289,2.4
13291,1.1
13293,1.6
13295,0.3
13297,0.4
13299,1.3
13301,2.7
13303,11.8
13305,2.0
13307,7.5
13309,1.5
13311,0.8
13313,0.3
13315,5.8
13317,0.9
13319,1.7
13321,20.3
17001,12.6
17003,4.4
17005,18.1
17007,3.45
17009,2.4
17011,20.2
17013,7.3
17015,11.5
17017,28.95
17019,11.4
17021,64.15
17023,15.15
17025,11.3
17027,78.5
17029,15.600000000000001
17031,0.75
17033,27.3
17035,9.350000000000001
17037,16.05
17039,26.5
17041,18.35
17043,0.2
17045,22.95
17047,43.6
17049,16.7
17051,18.75
17053,5.2
17055,39.1
17057,10.7
17059,74.8
17061,40.15
17063,6.65
17065,62.6
17067,13.1
17069,1.5
17071,6.9
17073,19.0
17075,13.0
17077,27.0
17079,28.5
17081,47.1
17083,25.3
17085,8.9
17087,4.3
17089,5.8
17091,6.8
17093,4.4
17095,13.3
17097,0.75
17099,23.05
17101,15.0
17103,22.9
17105,11.4
17107,54.75
17109,9.9
17111,8.05
17113,88.1
17115,40.1
17117,56.2
17119,41.95
17121,10.9
17123,31.15
17125,40.75
17127,22.7
17129,21.4
17131,10.4
17133,43.6
17135,62.95
17137,44.2
17139,16.7
17141,23.0
17143,33.400000000000006
17145,34.8
17147,5.0
17149,54.25
17151,5.0
17153,16.3
17155,2.7
17157,54.6
17159,20.9
17161,5.8
17163,79.8
17165,44.3
17167,86.3
17169,4.9
17171,20.45
17173,23.6
17175,27.700000000000003
17177,13.3
17179,44.099999999999994
17181,14.9
17183,8.5
17185,48.6
17187,11.5
17189,104.5
17191,120.7
17193,93.2
17195,24.7
17197,5.5
17199,15.2
17201,6.8
17203,38.75
18001,24.6
18003,29.2
18005,93.0
18007,15.3
18009,11.7
18011,152.9
18013,1.7999999999999998
18015,6.55
18017,5.449999999999999
18019,34.8
18021,53.1
18023,182.9
18025,4.2
18027,156.0
18029,7.6
18031,126.8
18033,14.45
18035,20.7
18037,98.3
18039,4.8500000000000005
18041,10.95
18043,8.7
18045,39.2
18047,55.0
18049,6.15
18051,157.3
18053,100.0
18055,87.2
18057,85.3
18059,117.8
18061,55.8
18063,106.9
18065,21.2
18067,98.5
18069,22.1
18071,116.55
18073,17.1
18075,24.200000000000003
18077,26.7
18079,47.8
18081,91.3
18083,221.3
18085,6.25
18087,19.7
18089,6.3
18091,15.1
18093,39.8
18095,141.3
18097,9.2
18099,4.9
18101,23.4
18103,3.8
18105,9.85
18107,50.35
18109,71.1
18111,10.1
18113,25.1
18115,3.5
18117,58.6
18119,10.4
18121,26.85
18123,19.1
18125,34.8
18127,6.3
18129,137.0
18131,12.3
18133,26.15
18135,34.25
18137,68.5
18139,150.1
18141,4.0
18143,27.9
18145,159.5
18147,88.7
18149,7.0
18151,14.8
18153,102.8
18155,11.2
18157,40.5
18159,122.8
18161,11.100000000000001
18163,46.0
18165,20.8
18167,19.65
18169,4.7
18171,34.9
18173,63.0
18175,92.55000000000001
18177,18.55
18179,30.15
18181,17.7
18183,21.4
19001,29.9
19003,19.6
19005,7.9
19007,4.6
19009,47.9
19011,8.05
19013,14.2
19015,20.5
19017,13.0
19019,17.9
19021,35.7
19023,8.65
19025,73.1
19027,74.5
19029,33.1
19031,7.0
19033,8.05
19035,30.2
19037,14.4
19039,4.5
19041,30.75
19043,15.2
19045,8.65
19047,88.0
19049,17.0
19051,1.4
19053,7.05
19055,20.9
19057,2.75
19059,18.05
19061,15.0
19063,22.65
19065,15.9
19067,7.2
19069,9.6
19071,34.8
19073,68.8
19075,39.4
19077,47.7
19079,21.5
19081,9.55
19083,24.75
19085,72.8
19087,3.75
19089,12.9
19091,5.6
19093,53.2
19095,5.6
19097,5.0
19099,19.6
19101,2.9499999999999997
19103,5.3
19105,7.0
19107,4.55
19109,15.15
19111,2.9
19113,6.949999999999999
19115,6.4
19117,5.05
19119,37.4
19121,13.1
19123,5.05
19125,15.100000000000001
19127,18.0
19129,26.9
19131,7.6499999999999995
19133,63.4
19135,6.3999999999999995
19137,28.9
19139,4.45
19141,31.0
19143,49.0
19145,37.5
19147,38.1
19149,47.5
19151,33.95
19153,10.55
19155,73.2
19157,17.1
19159,9.4
19161,71.7
19163,4.8999999999999995
19165,71.6
19167,55.1
19169,19.9
19171,21.2
19173,24.9
19175,25.6
19177,1.9000000000000001
19179,2.5
19181,13.200000000000001
19183,4.7
19185,11.700000000000001
19187,25.75
19189,6.05
19191,16.1
19193,80.1
19195,5.6
19197,8.9
20001,33.1
20003,18.3
20005,18.8
20007,3.6
20009,10.2
20011,22.7
20013,32.0
20015,74.1
20017,3.1
20019,6.3
20021,68.9
20023,17.0
20025,1.0
20027,6.8
20029,4.6
20031,9.4
20033,1.2
20035,55.3
20037,60.2
20039,20.0
20041,8.7
20043,19.1
20045,11.1
20047,16.5
20049,10.7
20051,3.2
20053,2.9
20055,38.8
20057,14.2
20059,12.6
20061,3.9
20063,27.1
20065,13.7
20067,23.5
20069,24.9
20071,15.8
20073,21.1
20075,5.8
20077,1.3
20079,21.3
20081,29.8
20083,6.0
20085,11.6
20087,11.1
20089,7.6
20091,3.4
20093,14.9
20095,3.4
20097,9.0
20099,60.5
20101,5.7
20103,6.8
20105,2.7
20107,5.4
20109,24.1
20111,11.4
20113,16.0
20115,18.5
20117,36.4
20119,20.9
20121,10.3
20123,4.5
20125,55.4
20127,6.2
20129,9.2
20131,31.9
20133,44.6
20135,4.9
20137,31.1
20139,13.7
20141,3.6
20143,2.9
20145,14.9
20147,9.8
20149,12.1
20151,14.5
20153,24.0
20155,15.0
20157,11.5
20159,13.8
20161,4.9
20163,2.4
20165,4.8
20167,2.2
20169,2.5
20171,23.1
20173,15.1
20175,19.2
20177,9.5
20179,42.7
20181,38.5
20183,9.5
20185,19.9
20187,23.7
20189,35.9
20191,18.4
20193,62.9
20195,5.1
20197,6.5
20199,19.0
20201,12.0
20203,21.8
20205,53.4
20207,29.4
20209,0.9
21001,5.0
21003,2.5
21005,0.7
21007,3.45
21009,13.2
21011,2.3
21013,0.0
21015,6.65
21017,6.2
21019,0.1
21021,2.8
21023,1.85
21025,0.0
21027,12.4
21029,1.6
21031,10.7
21033,11.05
21035,4.35
21037,0.75
21039,4.1
21041,0.75
21043,0.1
21045,4.2
21047,33.4
21049,5.4
21051,0.2
21053,0.5
21055,8.0
21057,1.2
21059,28.8
21061,2.8
21063,0.1
21065,0.5
21067,2.6
21069,6.1
21071,0.1
21073,1.0
21075,6.9
21077,2.0
21079,2.4
21081,1.25
21083,9.3
21085,7.3
21087,6.1
21089,0.3
21091,1.95
21093,13.7
21097,5.5
21099,2.3
21101,23.9
21103,8.3
21105,6.2
21107,10.65
21109,0.0
21111,0.3
21113,1.1
21115,0.1
21117,0.4
21121,0.3
21123,10.0
21125,0.5
21127,0.0
21129,0.1
21133,0.0
21135,2.5
21137,11.1
21139,1.3
21141,23.700000000000003
21143,0.4
21145,1.75
21147,0.1
21149,15.15
21151,2.7
21153,0.0
21155,7.6
21157,1.0
21161,8.8
21163,9.3
21165,0.2
21167,5.7
21169,2.6
21171,4.3
21173,2.4
21175,0.3
21177,6.25
21179,12.8
21181,2.0
21183,9.75
21185,3.8499999999999996
21187,2.0
21189,0.1
21191,0.55
21193,0.1
21195,0.1
21197,0.9
21199,6.7
21201,0.1
21203,0.6
21205,0.2
21207,2.6
21209,5.2
21211,23.0
21213,12.6
21215,4.9
21217,6.9
21219,17.549999999999997
21221,3.55
21223,4.35
21225,31.8
21227,19.2
21229,4.6
21231,2.9
21233,17.049999999999997
21235,0.3
21237,0.0
21239,2.7
22003,0.0
22009,15.9
22011,0.0
22013,0.2
22019,0.0
22021,0.3
22025,23.8
22027,0.3
22029,16.1
22033,0.3
