fips,mass
05001,172.6
05003,5.0
05017,51.9
05019,1.0
05021,85.6
05029,2.9
05031,61.5
05035,61.9
05037,135.9
05041,41.7
05043,9.1
05045,2.0
05055,96.6
05063,8.8
05067,96.1
05069,128.0
05075,104.5
05077,17.4
05079,37.3
05085,180.0
05093,67.3
05095,72.9
05105,2.3
05107,27.9
05111,103.3
05117,127.7
05119,6.0
05121,32.9
05123,69.5
05145,14.1
05147,105.1
06011,39.0
06113,1.7
22001,87.2
22003,18.3
22009,21.2
22011,1.9
22019,13.0
22021,0.9
22023,6.2
22025,1.7
22029,12.3
22035,4.5
22039,47.6
22041,3.2
22045,2.4
22053,68.3
22055,5.0
22061,0.0
22065,4.3
22067,40.1
22069,0.6
22073,1.8
22077,0.6
22079,11.4
22083,9.2
22091,0.1
22097,23.2
22099,3.0
22103,0.1
22105,0.5
22107,2.7
22113,58.7
22123,1.0
28011,49.3
28027,10.9
28033,1.7
28051,0.3
28053,8.9
28055,0.6
28083,4.8
28093,0.1
28107,8.6
28119,17.1
28133,32.9
28135,10.9
28137,1.4
28143,46.1
28151,24.5
28163,3.2
29017,0.4
29023,104.8
29031,1.0
29069,31.0
29133,0.8
29143,22.9
29155,71.9
29181,6.1
29201,8.6
29207,72.5
47045,0.4
47069,0.45
47097,0.3
