fips,mass
01001,313.45000000000005
01003,11081.7
01005,2362.55
01007,230.9
01009,696.0
01011,225.7
01013,548.4
01015,511.0
01017,55.900000000000006
01019,1268.6499999999999
01021,97.2
01023,328.65
01025,335.95
01027,66.2
01029,78.3
01031,5070.65
01033,5788.65
01035,5051.15
01037,1.7
01039,4398.200000000001
01041,317.75
01043,1887.6
01045,5350.450000000001
01047,955.9499999999999
01049,2048.65
01051,407.95
01053,10635.5
01055,505.4
01057,357.75
01059,711.9
01061,9513.15
01063,59.5
01065,54.1
01067,8085.7
01069,9972.3
01071,2919.65
01073,35.0
01075,103.0
01077,5449.7
01079,9625.5
01081,62.45
01083,12041.35
01085,241.85000000000002
01087,398.29999999999995
01089,8383.8
01091,192.89999999999998
01093,746.3
01095,1253.7
01097,4809.4
01099,8301.3
01101,215.5
01103,1474.6999999999998
01105,546.6999999999999
01107,325.55
01109,1749.3
01111,66.25
01113,1907.25
01115,16.9
01117,212.1
01119,127.85000000000001
01121,382.40000000000003
01123,69.65
01125,209.54999999999998
01127,79.7
01129,2320.8
01131,356.5
01133,40.75
04001,178.85
04003,1982.3
04005,18.15
04007,115.15
04009,3310.75
04011,140.25
04012,6379.35
04013,11735.55
04015,1603.6999999999998
04017,160.05
04019,1909.75
04021,16146.85
04023,183.7
04025,97.2
04027,3846.1
05001,15041.8
05003,5541.7
05007,167.6
05017,14554.9
05019,129.2
05021,10482.05
05029,836.7
05031,9892.7
05033,610.35
05035,10871.650000000001
05037,11464.5
05041,15130.75
05043,3594.1
05045,454.05
05047,118.8
05049,32.8
05053,9.1
05055,10581.9
05057,16.6
05059,29.2
05063,1018.9
05065,2.3
05067,10596.75
05069,9651.300000000001
05071,92.05
05073,1299.3
05075,11171.5
05077,6832.849999999999
05079,7780.9
05081,763.0
05083,242.1
05085,12331.15
05087,24.4
05091,1290.5
05093,12059.599999999999
05095,7233.4
05105,201.5
05107,11051.550000000001
05111,12395.75
05115,425.70000000000005
05117,9577.0
05119,1049.55
05121,3552.7
05123,8632.9
05125,9.5
05131,91.0
05133,24.4
05143,24.4
05145,1613.5
05147,9405.5
05149,168.3
06001,242.2
06005,584.8
06007,9587.5
06009,4.4
06011,16082.2
06013,877.5
06017,211.6
06019,156156.0
06021,19955.0
06025,151153.7
06027,469.8
06029,127750.0
06031,87342.8
06033,594.7
06035,141.2
06037,298.9
06039,59151.5
06041,0.0
06045,516.1
06047,58531.9
06049,1123.2
06051,1283.8
06053,6844.7
06055,2633.7
06057,66.9
06059,67.4
06061,1936.5
06065,18297.8
06067,6415.9
06069,302.2
06071,1067.6
06073,473.8
06077,37838.3
06079,7800.6
06083,5641.6
06085,395.8
06087,7.2
06089,465.0
06093,1555.6
06095,14792.5
06097,2760.5
06099,50023.0
06101,11858.8
06103,6729.3
06107,79361.5
06111,4364.1
06113,13601.5
06115,3879.9
08001,2016.5
08003,567.95
08005,138.25
08007,57.55
08009,1852.9
08011,3103.9
08013,122.85
08014,113.9
08015,175.35
08017,789.45
08019,1.0
08021,1435.1499999999999
08023,477.5
08025,553.85
08027,1217.8
08029,896.8000000000001
08031,818.2
08033,612.3000000000001
08035,1047.5
08037,96.1
08039,1339.2
08041,660.2
08043,633.15
08045,734.6999999999999
08047,43.4
08049,71.5
08051,63.45
08053,5.4
08055,1007.35
08057,71.7
08059,83.8
08061,1160.5
08063,2260.85
08067,408.5
08069,348.25
08071,3573.6
08073,879.95
08075,2880.35
08077,743.0
08079,45.1
08081,427.9
08083,1168.35
08085,884.9
08087,1664.4
08089,4667.9
08091,22.95
08093,49.8
08095,1729.1000000000001
08097,25.05
08099,9227.0
08101,1506.15
08103,199.5
08105,859.0500000000001
08107,347.45
08109,1283.95
08113,129.9
08115,2443.05
08117,3.8
08119,29.950000000000003
08121,1414.75
08123,3686.1000000000004
08125,3696.8
09001,70.9
09003,632.95
09005,975.65
09007,67.25
