fips,mass
01001,3.9
01003,476.0
01005,33.7
01011,2.1
01013,25.2
01017,1.0
01021,0.6
01025,2.6
01031,94.3
01035,11.4
01039,64.1
01041,5.1
01045,119.9
01047,23.7
01051,2.1
01053,196.5
01057,6.3
01059,7.6
01061,187.7
01067,154.6
01069,242.8
01079,47.6
01081,1.0
01085,7.3
01087,7.4
01091,2.1
01097,97.0
01099,111.1
01103,0.4
01105,3.7
01107,1.0
01109,25.3
01113,35.8
01119,2.1
01123,1.0
01129,72.5
01131,1.2
04001,325.6
04003,96.45
04005,0.4
04007,324.6
04009,16.6
04011,247.89999999999998
04012,15.5
04013,346.2
04015,0.3
04017,1.4
04019,6.05
04021,372.5
04023,0.45
04025,0.2
04027,260.3
05001,9.4
05003,2.3
05017,8.3
05021,5.2
05029,0.9
05031,5.1
05035,10.0
05037,6.9
05041,9.1
05043,1.8
05045,0.5
05053,0.0
05055,3.6
05059,0.0
05063,1.1
05067,5.4
05069,5.6
05075,3.1
05077,6.9
05079,3.8
05085,5.4
05093,12.3
05095,5.0
05105,0.1
05107,12.0
05111,7.0
05117,4.9
05119,1.0
05121,1.4
05123,6.6
05125,0.0
05145,1.5
05147,6.0
06007,526.2
06011,276.9
06013,17.0
06019,8837.0
06021,392.0
06025,1134.6
06029,5217.4
06031,1917.2
06033,20.3
06037,107.6
06039,3229.5
06045,8.5
06047,1209.0
06049,9.4
06053,3283.4
06059,11.3
06061,0.9
06065,616.9
06067,66.7
06069,237.0
06071,2.3
06073,70.2
06077,744.7
06079,797.0
06081,2.8
06083,1878.8
06085,69.5
06087,592.8
06093,46.2
06095,53.7
06097,0.4
06099,1048.4
06101,94.6
06103,129.4
06107,1940.8
06111,709.2
06113,274.4
06115,98.2
08003,7.7
08007,0.0
08015,3.6
08021,7.7
08023,7.7
08029,0.0
08033,0.0
08037,0.0
08043,0.0
08045,3.6
08047,3.6
08051,0.05
08055,0.0
08057,3.6
08067,0.0
08077,0.0
08081,0.0
08083,0.0
08085,0.0
08091,0.0
08097,0.0
08101,0.0
08103,0.0
08105,7.7
08107,3.6500000000000004
08109,53.3
08113,3.6
08119,0.15000000000000002
09001,0.6
09003,1.6
09005,0.5
09007,0.4
09009,1.4
09011,0.3
09013,0.2
09015,0.7
12001,129.6
12003,3.3
12005,32.15
12007,0.5
12009,24.7
12011,0.0
12013,139.5
12015,75.0
12017,23.2
12019,23.3
12021,83.1
12023,58.5
12027,97.1
12029,14.9
12031,5.8
12033,169.45
12035,14.1
12039,65.05
12041,298.3
12043,20.9
12045,51.95
12047,139.5
12049,96.5
12051,124.7
12053,0.3
12055,16.2
12057,203.2
12059,111.1
12061,38.8
12063,1099.65
12065,38.849999999999994
12067,137.8
12069,16.2
12071,24.7
12073,20.65
12075,395.4
12077,12.7
12079,105.5
12081,328.6
12083,241.4
12085,16.3
12086,44.3
12089,1.9
12091,40.3
12093,2.3
12095,0.1
12097,16.6
12099,21.6
12101,49.8
12103,23.7
12105,45.1
12107,0.6
12109,49.8
12111,43.5
12113,351.85
12115,8.5
12117,0.3
12119,49.8
12121,182.0
12123,101.7
12125,16.5
12127,17.3
12129,0.75
12131,48.65
12133,51.3
13001,382.0
13003,41.8
13005,108.55
13007,99.7
13011,2.5
13013,0.1
13017,364.7
13019,60.0
13021,3.4
13023,45.2
13025,3.0
13027,157.1
13029,6.65
13031,1702.0
13033,1403.3
13037,115.1
13039,4.45
13043,82.5
13045,0.7
13049,0.2
13051,0.3
13057,0.5
13059,2.2
13061,36.7
13063,2.1
13065,5.2
13067,1.4
13069,417.0
13071,349.3
13075,46.0
13077,3.2
13079,3.75
13081,37.9
13087,229.5
13089,0.0
13091,40.9
13093,409.6
13095,19.4
13097,2.1
13099,141.2
13101,65.7
13103,350.1
13105,2.2
13107,367.0
13109,54.45
13111,0.1
13113,2.1
13117,2.6
13119,1.6
13121,0.6
13123,0.5
13125,14.7
13127,0.1
13131,74.4
13133,2.1
13135,0.0
13137,2.5
13139,0.9
13141,2.9
13143,2.1
13145,3.1
13147,0.9
13149,0.1
13151,0.7
13153,5.4
13155,58.7
13157,8.1
13159,0.2
