fips,mass
01001,1.1
01003,8.5
01005,1.5
01007,0.75
01009,3.5
01011,1.8
01013,3.7
01015,1.75
01017,1.85
01019,2.8000000000000003
01021,4.0
01023,0.8
01025,0.3
01027,0.7000000000000001
01029,1.15
01031,3.1
01033,12.8
01035,1.9
01037,0.3
01039,3.6
01041,1.9
01043,3.4499999999999997
01045,2.7
01047,17.5
01049,8.25
01051,3.1
01053,3.3
01055,3.55
01057,0.75
01059,0.7
01061,5.2
01063,0.2
01065,0.8
01067,6.0
01069,2.2
01071,13.7
01073,2.05
01075,0.95
01077,9.1
01079,13.2
01081,0.4
01083,9.7
01085,2.7
01087,0.9
01089,14.7
01091,2.2
01093,0.7
01095,3.0
01097,0.9
01099,1.6
01101,1.5
01103,1.2
01105,8.3
01107,1.95
01109,2.8
01111,0.8500000000000001
01113,2.5
01115,0.8
01117,1.35
01119,1.5
01121,2.3
01123,1.0
01125,1.9000000000000001
01127,0.85
01129,1.0
01131,1.0
01133,0.1
04001,376.04999999999995
04003,0.2
04005,0.15000000000000002
04007,376.25
04009,0.0
04011,392.2
04012,5.6
04013,660.5
04015,125.1
04017,1.85
04019,0.7
04021,598.95
04023,0.8500000000000001
04025,0.4
04027,731.4
05001,2063.1
05003,339.5
05017,453.0
05021,92.1
05031,114.4
05035,1503.7
05037,1133.4
05041,543.0
05043,180.0
05055,84.4
05063,16.9
05067,37.6
05069,791.4
05075,23.7
05077,1455.7
05079,375.6
05085,1321.1
05093,60.1
05095,1136.9
05107,2177.3
05111,63.1
05117,912.2
05121,14.9
05123,1137.0
05145,16.2
05147,1088.9
06001,27.4
06007,942.2
06009,5.0
06011,149.9
06015,50.8
06019,4722.1
06021,904.2
06025,7620.3
06029,2329.3
06031,1900.5
06037,9.6
06039,2621.7
06047,813.0
06053,13196.4
06059,22.9
06065,92.7
06067,36.8
06069,1035.8
06071,1.7
06073,128.1
06077,1043.2
06079,456.9
06083,2963.6
06085,518.6
06087,465.7
06093,3.8
06095,68.4
06097,7.9
06099,1019.9
06101,374.3
06103,715.4
06107,2086.5
06111,867.5
06113,142.0
