fips,mass
06001,33353.9
06005,2087.5
06007,11.6
06009,228.2
06011,785.1
06013,795.1
06017,3506.9
06019,3583.9
06029,128.4
06031,160.0
06033,19101.8
06037,858.3
06039,127.7
06041,6.4
06045,22216.9
06047,2035.1
06053,335825.9
06055,10462.1
06057,1386.2
06059,11.2
06061,17.6
06065,1173.1
06067,14906.1
06069,17969.7
06073,55.8
06077,17725.0
06079,42723.6
06081,221.9
06083,33146.4
06085,6111.2
06087,2490.2
06089,31.9
06093,39.6
06095,8086.4
06097,78950.0
06099,2320.2
06103,87.6
06107,600.8
06109,63.2
06111,1767.2
06113,88890.6
