fips,mass
01001,6.6
01003,5.1
01005,7.7
01007,10.0
01009,28.299999999999997
01013,2.5
01015,9.75
01019,10.3
01021,1007.6
01023,5.6
01025,0.4
01027,11.8
01029,2.8499999999999996
01031,3.8
01033,11.8
01035,0.9
01037,3.8
01039,5.6
01041,5.6
01043,19.1
01045,5.6
01047,0.6
01049,13.0
01051,2.5
01053,12.3
01055,10.3
01057,6.75
01059,1.0
01061,19.3
01063,1.3
01065,5.6
01067,16.5
01069,0.6
01071,11.8
01073,10.3
01075,10.3
01077,6.5
01079,7.3
01081,3.7
01083,26.7
01087,2.5
01089,6.5
01091,1.5
01093,7.3
01095,3.9
01097,5.6
01099,8.1
01101,2.5
01103,12.5
01105,0.6
01107,10.3
01109,5.6
01111,2.95
01113,5.6
01115,5.6
01117,3.0
01119,1.7
01121,10.3
01123,9.45
01125,10.5
01127,10.3
01129,2.1
01131,5.6
01133,1.7
04001,2.6
04003,2.7
04005,2.6
04007,2.4
04009,2.6
04011,2.4
04013,0.3
04015,2.6
04017,0.2
04019,0.1
04021,2.6
04023,2.6
04025,1.1
04027,2.6
06007,89.4
06013,18.3
06019,474.1
06029,445.2
06031,514.3
06047,270.2
06053,1.7
06061,6.4
06065,1.0
06067,407.2
06069,189.8
06071,20.0
06073,5.7
06077,3760.6
06085,155.2
06089,4.8
06093,288.8
06097,43.0
06099,61.2
06101,25.4
06105,1.6
06107,682.5
08007,1.5
08015,0.0
08029,161.1
08033,1.5
08045,4.1
08067,4.5
08077,14.7
08083,20.9
08085,11.2
08107,1.5
08113,1.5
09001,338.6
09003,883.7
09005,300.2
09007,223.5
09009,806.0
09011,153.0
09013,155.5
09015,381.1
10003,0.5
12001,9.7
12003,3.0
12007,9.5
12009,37.4
12011,0.2
12015,221.5
12017,9.5
12019,0.0
12021,221.5
12023,10.5
12027,2613.7
12029,2.4
12031,12.9
12035,0.3
12041,0.0
12043,217.6
12047,1.8
12049,2085.7
12051,3664.3
12053,1.5
12055,2274.4
12057,11.0
12061,1357.2
12067,15.7
12069,18.2
12071,241.6
12075,0.3
12079,10.7
12081,219.4
12083,3.4
12085,775.5
12086,210.9
12089,8.5
12093,224.0
12095,7.9
12097,11.7
12099,217.6
12101,5.6
12103,9.7
12105,168.7
12107,0.4
12109,0.1
12111,1128.8
12115,217.4
12117,1.5
12119,9.2
12121,10.7
12123,0.4
12127,2.2
13001,142.2
13003,119.4
13005,18.7
13009,16.0
13011,0.2
