fips,mass
01001,239.9
01003,729.0
01005,397.8
01007,46.7
01009,25.1
01011,309.7
01013,443.7
01015,11.3
01017,130.4
01019,8.7
01021,72.4
01023,348.6
01025,369.1
01027,113.2
01029,7.7
01031,452.6
01033,98.4
01035,506.2
01037,56.1
01039,399.4
01041,326.9
01043,32.9
01045,197.8
01047,579.6
01049,38.0
01051,214.8
01053,402.2
01055,13.6
01057,46.1
01059,165.1
01061,368.4
01063,365.5
01065,678.5
01067,290.7
01069,290.8
01071,24.6
01073,27.4
01075,40.6
01077,179.0
01079,198.6
01081,66.1
01083,123.4
01085,963.1
01087,203.4
01089,83.4
01091,486.3
01093,100.2
01095,22.4
01097,508.5
01099,586.5
01101,1009.1
01103,169.1
01105,355.6
01107,78.7
01109,405.9
01111,152.0
01113,146.1
01115,9.2
01117,67.6
01119,539.9
01121,95.0
01123,68.5
01125,71.5
01127,58.5
01129,480.7
01131,1159.2
01133,74.8
04001,493.6
04005,618.3
04007,34.5
04015,34.5
04017,364.3
04025,80.9
05001,9.9
05003,209.1
05005,68.0
05007,179.3
05009,268.0
05011,78.4
05013,66.4
05015,217.2
05017,180.2
05019,245.8
05021,393.1
05023,79.8
05025,78.1
05027,150.1
05029,118.6
05031,366.3
05033,611.6
05035,1.5
05037,8.9
05039,57.0
05041,35.6
05043,503.0
05045,154.9
05047,1422.7
05049,193.5
05051,29.6
05053,33.7
05055,502.3
05057,831.8
05059,62.1
05061,540.7
05063,2914.0
05065,126.8
05067,219.3
05069,186.9
05071,617.9
05073,343.0
05075,1050.3
05077,5.1
05079,398.5
05081,516.0
05083,1253.3
05085,32.5
05087,181.1
05089,158.4
05091,354.3
05093,24.4
05095,0.8
05097,315.4
05099,276.7
05101,69.8
05103,69.3
05105,50.3
05107,2.9
05109,307.5
05111,180.6
05113,998.3
05115,895.2
05117,11.7
05119,25.3
05121,2173.2
05123,7.2
05125,31.6
05127,658.4
05129,152.4
05131,709.1
05133,587.3
05135,103.3
05137,87.1
05139,77.8
05141,75.6
05143,206.1
05145,2521.5
05147,2.9
05149,1262.0
08001,931.2
08003,124.0
08005,250.3
08007,78.5
08009,2120.15
08011,132.8
08013,0.3
08014,15.85
08015,33.9
08017,659.1
08019,3.2
08021,122.1
08023,192.6
08025,13.600000000000001
08027,25.15
08029,64.7
08031,5.85
08033,33.6
08035,21.5
08037,69.2
08039,179.15
08041,15.5
08043,9.600000000000001
08045,163.0
08047,1.7
08049,99.2
08051,94.2
08053,1.8
08055,3.55
08057,103.4
08059,0.05
08061,789.0
08063,1002.75
08065,5.3
08067,166.2
08069,1.2000000000000002
08071,171.65
08073,691.1
08075,16.3
08077,108.0
08079,3.2
08081,620.9
08083,279.7
08085,113.5
08087,8.35
08089,108.15
08091,29.2
08093,87.0
08095,369.5
08097,11.5
08099,2104.75
08101,54.95
08103,187.9
08105,130.5
08107,208.1
08109,231.8
08113,55.9
08115,6.45
08117,7.7
08119,27.0
08121,988.4
08123,19.95
08125,559.75
10005,13.0
12001,260.3
12003,94.3
12005,38.5
12007,80.7
12009,192.7
12011,7.2
12013,86.3
12015,46.4
12017,93.2
12019,41.5
12021,100.7
12023,509.2
12027,762.2
12029,199.8
12031,122.3
12033,60.7
12035,46.4
12037,122.5
12039,104.2
12041,81.1
12043,465.1
12045,122.5
12047,256.3
12049,823.3
12051,561.9
12053,105.7
12055,701.6
12057,261.3
12059,232.5
12061,316.8
12063,458.1
12065,212.3
12067,426.2
12069,318.0
12071,148.2
12073,107.2
12075,159.6
12077,35.4
12079,586.9
12081,305.6
12083,511.3
12085,221.8
12086,35.8
12087,0.5
12089,122.4
12091,69.6
12093,705.5
12095,210.0
12097,1268.9
12099,42.0
12101,425.1
12103,46.4
12105,829.3
12107,106.6
12109,24.6
12111,423.4
12113,101.2
12115,178.2
12117,82.3
12119,269.2
12121,553.0
12123,207.8
12125,97.0
12127,162.3
12129,32.8
12131,206.2
12133,76.8
13001,159.2
13003,156.4
13005,166.1
13007,10.2
13009,228.0
13011,376.7
13013,80.7
13015,20.3
13017,96.9
13019,244.0
13021,111.94999999999999
13023,135.25
13025,76.0
13027,240.1
13029,38.2
13031,69.25
13033,145.64999999999998
13035,374.1
13037,10.0
13039,23.6
13043,28.75
13045,85.8
13047,10.0
13049,66.8
13051,36.7
13053,0.1
13055,15.2
13057,66.1
13059,27.3
13061,13.8
13063,3.1
13065,37.6
13067,8.3
13069,302.2
13071,202.9
