fips,mass
01005,0.4
01007,1.3
01009,1.8
01015,2.0
01017,0.1
01019,6.4
01021,0.7
01027,0.1
01029,0.1
01031,0.9
01039,1.0
01041,0.5
01043,7.1
01045,0.8
01049,12.2
01055,1.9
01057,0.7
01061,1.5
01067,1.8
01069,0.6
01071,20.8
01073,0.2
01075,1.1
01081,0.1
01095,4.6
01107,2.1
01109,0.8
01111,0.1
01113,0.7
01115,0.1
01117,1.5
01121,3.1
01123,0.1
01125,2.2
01127,0.8
05001,1065.3
05003,38.0
05007,11.5
05009,2.7
05015,0.1
05017,79.25
05019,13.5
05021,214.7
05023,0.5
05025,0.1
05027,1.1
05029,49.5
05031,213.45
05033,42.15
05035,1136.6
05037,781.1
05041,90.6
05043,23.15
05045,18.2
05047,6.45
05049,1.6
05053,0.8
05055,151.60000000000002
05057,5.0
05059,0.7
05063,44.25
05065,1.45
05067,213.8
05069,89.65
05071,7.300000000000001
05073,97.8
05075,123.25
05077,782.2
05079,48.699999999999996
05081,79.9
05083,9.05
05085,611.9
05087,1.1
05091,155.9
05093,481.25
05095,571.4
05099,0.1
05105,5.9
05107,1364.8
05111,279.45
05113,0.1
05115,21.7
05117,559.8
05119,37.8
05121,54.65
05123,751.4
05125,0.2
05131,5.1
05133,2.0
05143,3.7
05145,61.349999999999994
05147,682.0
05149,10.85
08001,247.1
08005,38.0
08009,178.1
08011,51.2
08013,3.4
08014,1.1
08017,247.5
08025,43.1
08031,42.9
08035,1.7
08037,0.8
08039,30.4
08041,43.1
08043,0.8
08055,0.2
08057,0.4
08059,0.2
08061,205.1
08063,233.5
08069,14.4
08071,7.4
08073,165.5
08075,92.1
08081,4.3999999999999995
08087,74.7
08089,8.2
08095,210.9
08099,154.5
08101,46.4
08103,31.5
08107,0.4
08115,53.3
08121,154.2
08123,152.0
08125,313.1
12005,0.0
12013,0.2
12033,0.2
12039,0.2
12045,0.0
12059,0.5
12063,1.7
12065,0.6
12073,0.9
12077,0.1
12091,0.1
12113,0.4
12129,0.0
12131,0.2
12133,0.3
13003,1.1
13007,3.3
13017,0.7
13019,1.1
13027,2.1
13037,4.8
13045,0.1
13061,0.8
13063,0.1
13065,0.2
13069,1.3
13071,1.8
13075,0.7
13077,0.3
13081,0.4
13087,5.9
13093,1.1
13095,0.5
13097,0.0
13099,3.1
13101,0.0
13113,0.0
13131,4.7
13143,0.6
13145,0.0
13149,0.2
13151,0.0
13155,2.0
13161,1.0
13171,0.2
13173,0.6
13177,2.9
13185,0.4
13193,3.7
13197,0.3
13199,0.0
13201,3.3
13205,3.9
13231,0.1
13243,4.7
13249,0.1
13253,6.0
13259,0.1
13261,4.4
13263,0.2
13269,0.1
13271,0.2
13273,6.4
13275,2.0
13277,0.9
13285,0.0
13287,1.0
13293,0.2
13307,1.2
13315,0.6
13321,2.5
16001,13.2
16003,7.5
16005,23.6
16007,9.1
16009,28.4
16011,164.8
