fips,mass
04001,0.05
04003,0.25
04005,0.0
04007,0.0
04009,0.1
04011,0.0
04012,0.0
04013,0.6
04015,0.05
04017,0.0
04019,0.05
04021,0.0
04023,0.05
04025,0.05
04027,0.6
06001,2.4
06007,355.1
06009,0.1
06011,285.4
06019,382.1
06021,419.5
06025,5.8
06029,1543.5
06031,24.7
06033,2.9
06037,0.0
06039,133.1
06041,0.0
06045,24.2
06047,56.5
06053,59.1
06055,49.5
06059,0.5
06061,0.1
06067,40.4
06069,1.0
06071,0.7
06073,1.8
06077,15.1
06079,110.8
06083,129.5
06087,6.9
06093,0.1
06095,8.1
06097,118.5
06099,17.6
06101,15.9
06103,115.3
06107,410.4
06111,207.1
06113,72.9
06115,3.6
09001,0.0
09003,0.5
09005,0.2
09007,0.0
09009,0.1
09011,0.1
09013,0.0
09015,0.0
12001,0.3
12007,0.9
12009,0.1
12011,0.1
12015,1.3
12017,0.9
12021,3.0
12023,0.2
12027,0.8
12029,0.8
12031,0.8
12041,1.0
12049,0.8
12053,0.9
12055,4.1
12057,157.0
12061,0.2
12067,0.1
12069,0.9
12071,0.8
12081,0.8
12083,0.9
12085,2.8
12086,0.1
12089,0.0
12095,1.0
12097,0.9
12101,0.9
12105,0.9
12107,0.0
12109,0.9
12111,0.8
12115,0.8
12117,0.9
12119,0.2
12121,0.0
12125,0.9
12127,0.0
25001,0.1
25003,0.1
25005,0.1
25007,0.1
25009,0.1
25011,12.4
25013,0.2
25015,25.3
25017,0.2
25019,0.0
25021,0.2
25023,0.1
25027,0.4
32003,0.0
32017,0.0
32019,0.0
32023,0.0
34003,1.0
34013,1.0
34019,0.3
34027,0.2
34031,0.0
34035,0.0
34037,0.1
34041,0.2
36001,0.2
36007,0.1
36011,0.6
36015,0.1
36017,1.0
36021,0.8
36023,0.1
36025,0.5
36027,0.2
36035,0.0
36039,2.5
36043,0.2
36053,0.5
36057,0.0
36059,2.5
36065,1.0
36067,0.2
36071,1.6
36075,2.5
36077,0.1
36079,0.0
36083,0.0
36087,0.0
36091,0.1
36093,2.5
36095,1.1
36097,0.0
36103,18.8
36105,0.2
36107,0.3
36109,0.2
36111,0.1
36115,0.3
36119,0.1
41001,0.0
41021,0.0
41027,0.8
41049,0.0
41055,0.0
41059,0.2
41061,0.0
41063,0.0
41065,4.0
42025,0.0
42069,0.2
42077,3.4
42079,1.6
42089,0.1
42095,1.0
42103,0.9
42107,7.2
42115,0.1
42127,0.2
42131,0.9
53001,0.4
53003,0.0
53005,3.3
53007,4.1
53009,0.0
53011,0.0
53013,0.2
53015,0.0
53017,0.4
53019,0.0
53021,1.0
53023,0.0
53025,1.5
53027,0.0
53029,0.0
53031,0.0
53033,0.0
53035,0.0
53037,0.0
53039,0.8
53041,0.0
53043,0.7
53045,0.0
53047,2.4
53051,0.2
53053,0.0
53055,0.0
53057,0.0
53061,0.0
53063,0.0
53065,0.0
53067,0.0
53069,0.0
53071,0.2
53073,0.0
53075,0.0
53077,8.7
