fips,mass
06013,537.5
06019,3160.8
06029,4408.7
06039,1.7
06045,1.3
06047,74.6
06053,1588.6
06055,165.3
06069,6.2
06073,0.1
06079,448.1
06083,27.0
06087,460.3
06097,20.1
06101,2.6
06107,3935.3
06111,108.9
41001,0.0
41021,0.0
41027,1.6
41049,0.0
41055,0.0
41059,0.3
41061,0.1
41063,0.0
41065,7.8
53001,0.3
53003,0.0
53005,6.3
53007,8.0
53009,0.0
53011,0.0
53013,0.0
53015,0.0
53017,2.3
53019,0.0
53021,2.9
53023,0.0
53025,6.4
53027,0.0
53029,0.0
53031,0.0
53033,0.0
53035,0.0
53037,0.0
53039,1.4
53041,0.0
53043,0.0
53045,0.0
53047,4.6
53051,0.0
53053,0.0
53055,0.0
53057,0.0
53061,0.0
53063,0.1
53065,0.0
53067,0.0
53069,0.0
53071,0.6
53073,0.0
53075,0.0
53077,17.0
