fips,mass
01001,2.8
01003,22.3
01005,3.9
01007,2.4
01009,1.1
01011,4.7
01013,9.9
01015,1.1
01017,0.4
01019,11.8
01021,1.6
01023,2.0
01025,0.7
01027,1.6
01029,1.6
01031,8.2
01033,73.3
01035,4.9
01037,0.1
01039,9.4
01041,4.9
01043,13.9
01045,7.2
01047,46.1
01049,35.0
01051,8.2
01053,8.6
01055,3.1
01057,2.2
01059,4.0
01061,13.6
01063,0.5
01065,2.0
01067,15.9
01069,5.8
01071,50.4
01073,0.3
01075,1.9
01077,52.3
01079,75.4
01081,0.5
01083,55.6
01085,7.1
01087,2.5
01089,83.9
01091,5.9
01093,3.9
01095,10.3
01097,2.5
01099,4.3
01101,3.9
01103,6.7
01105,22.0
01107,8.2
01109,7.5
01111,3.2
01113,6.6
01115,0.1
01117,3.6
01119,3.9
01121,8.4
01123,1.3
01125,3.8
01127,1.3
01129,2.7
01131,2.5
01133,0.6
10001,186.5
10003,68.0
10005,371.8
13003,10.1
13007,21.2
13009,0.7
13011,1.5
13013,0.0
13015,0.2
13017,6.1
13019,9.5
13021,0.7
13023,8.7
13027,18.9
13031,15.5
13033,61.7
13035,0.7
13037,30.7
13043,0.3
13045,0.9
13047,0.0
13055,0.1
13057,0.0
13059,0.0
13061,5.3
13063,0.7
13065,2.0
13069,11.9
13071,15.9
13073,0.9
13075,6.5
13077,2.8
13079,0.7
13081,3.9
13083,0.0
13085,0.1
13087,38.1
13091,5.2
13093,9.8
13095,2.9
13097,0.1
13099,20.2
13101,0.2
13103,1.7
13105,0.7
13107,4.4
13111,0.1
13113,0.4
13115,0.4
13117,0.0
13119,1.6
13121,0.0
13123,0.1
13125,0.6
13129,0.5
13131,30.1
13133,1.2
13135,0.0
13137,3.8
13139,0.4
13143,5.6
13145,0.2
13147,1.6
13149,2.0
13151,0.0
13153,4.8
13155,18.3
13157,0.0
13159,1.1
13161,8.9
13163,41.7
13165,5.2
13167,11.7
13169,0.7
13171,1.6
13173,5.5
13175,7.4
13177,18.5
13185,3.9
13187,0.1
13189,0.9
13193,33.3
13195,0.7
13197,2.6
13199,0.4
13201,21.5
13205,25.1
13207,0.3
13209,1.0
13211,1.9
13213,0.2
13217,0.8
13219,0.1
13221,1.6
13223,0.0
13225,1.4
13227,0.0
13231,0.7
13233,0.1
13235,2.2
13237,4.7
13241,0.4
13243,30.5
13245,0.7
13247,0.0
13249,0.6
13251,34.9
13253,38.7
13257,0.5
13259,0.7
13261,28.0
13263,1.6
13269,1.3
13271,2.1
13273,41.2
13275,12.6
13277,7.7
13281,0.0
13283,2.3
13285,0.0
13287,9.4
13289,2.0
13291,0.1
13293,1.6
13295,0.1
13297,0.0
13301,0.7
13303,11.9
13307,7.4
13309,1.2
13311,0.1
13313,0.1
13315,5.2
13317,1.2
13319,0.5
13321,22.5
17001,5.9
17003,0.4
17005,2.2
17007,1.9
17009,1.1
17011,6.8
17013,0.9
17015,3.8
17017,3.5
17019,11.3
17021,7.7
17023,3.9
17025,2.9
17027,7.5
17029,4.0
17031,0.1
17033,3.6
17035,2.4
17037,6.9
17039,3.7
17041,4.8
17043,0.1
17045,5.9
17047,3.6
17049,4.3
17051,4.9
17053,5.2
17055,3.2
17057,4.9
17059,6.1
17061,4.8
17063,3.7
17065,5.1
17067,6.0
17069,0.1
17071,3.1
17073,6.5
17075,13.0
17077,2.6
17079,3.7
17081,3.8
17083,3.1
17085,2.9
17087,0.4
17089,2.7
17091,6.3
17093,2.3
17095,6.1
17097,0.3
17099,9.4
17101,3.9
17103,6.6
17105,11.4
17107,7.6
17109,4.7
17111,3.2
17113,12.4
17115,5.6
17117,6.8
17119,5.0
17121,2.8
17123,4.2
17125,5.6
17127,1.9
17129,3.0
17131,3.5
17133,4.2
17135,7.6
17137,5.4
17139,4.3
17141,5.8
17143,4.6
17145,3.3
17147,5.0
17149,6.6
17151,0.4
17153,1.6
17155,0.6
17157,5.2
17159,2.7
17161,1.9
17163,7.6
17165,3.6
17167,10.5
17169,2.3
17171,2.5
17173,6.1
17175,3.9
17177,4.5
17179,6.1
17181,1.4
17183,8.5
17185,4.0
17187,5.4
17189,10.0
17191,9.8
17193,7.6
17195,6.1
17197,3.0
17199,1.5
17201,2.3
17203,5.4
18001,11.6
18003,13.7
18005,4.6
18007,10.2
18009,5.5
18011,7.6
18013,0.1
18015,9.2
18017,7.4
18019,1.7
18021,4.9
18023,9.1
18025,0.2
18027,7.4
18029,0.3
18031,6.3
18033,6.8
18035,9.7
18037,4.7
18039,5.5
18041,5.2
18043,0.4
18045,7.3
18047,2.8
18049,8.6
18051,7.4
18053,5.0
18055,4.1
18057,4.2
18059,5.9
18061,2.2
18063,5.3
18065,10.0
18067,4.9
18069,10.4
18071,4.7
18073,11.4
18075,11.3
18077,1.2
18079,2.2
18081,4.5
18083,10.5
18085,8.6
18087,9.2
18089,4.0
18091,9.8
18093,1.6
18095,7.0
18097,0.5
18099,6.8
18101,1.1
18103,5.3
18105,0.4
18107,9.4
18109,3.5
18111,6.7
18113,11.8
18115,0.2
18117,2.4
18119,1.9
18121,5.0
18123,0.8
18125,1.6
18127,4.2
18129,6.5
18131,8.2
18133,4.9
18135,16.1
18137,3.2
18139,7.5
18141,5.5
18143,1.4
18145,7.9
18147,4.2
18149,4.7
18151,6.9
18153,4.9
18155,0.5
18157,7.5
18159,6.1
18161,5.2
18163,2.2
18165,3.9
18167,3.7
18169,6.6
18171,6.5
18173,3.0
18175,3.7
18177,8.7
18179,14.2
18181,11.6
18183,10.0
19001,7.9
19003,5.2
19005,5.3
19007,1.8
19009,9.3
19011,5.0
19013,9.6
19015,15.7
19017,8.8
19019,12.1
19021,15.7
19023,18.1
19025,14.2
19027,14.5
19029,8.8
19031,4.4
19033,16.9
19035,13.3
19037,9.6
19039,1.8
19041,13.5
19043,10.3
19045,5.5
19047,17.1
19049,13.3
19051,1.0
19053,2.8
19055,14.1
19057,1.8
19059,7.9
19061,10.2
19063,10.0
19065,10.8
19067,15.0
19069,20.0
19071,9.2
19073,13.4
19075,15.3
19077,9.3
19079,16.8
19081,20.0
19083,18.8
19085,14.2
19087,2.5
19089,8.7
19091,11.7
19093,10.4
19095,3.5
19097,3.1
19099,15.3
19101,1.9
19103,3.2
19105,4.5
19107,3.0
19109,31.6
19111,1.9
19113,4.0
19115,2.2
19117,2.0
19119,16.4
19121,5.3
19123,3.4
19125,6.0
19127,14.0
19129,7.1
19131,15.8
19133,12.3
19135,2.5
19137,7.6
19139,2.4
19141,13.6
19143,10.7
19145,9.9
19147,16.7
19149,20.9
19151,14.9
19153,8.2
19155,19.4
19157,13.3
19159,3.8
19161,14.0
19163,3.0
19165,13.9
19167,24.2
19169,15.5
19171,16.5
19173,6.6
19175,5.1
19177,1.2
19179,1.6
19181,5.2
19183,3.2
19185,4.6
19187,20.1
19189,12.7
19191,10.9
19193,15.6
19195,11.7
19197,18.6
21001,23.0
21003,12.6
21005,1.7
21007,1.9
21009,71.2
21011,5.1
21013,0.0
21015,11.0
21017,12.7
21019,0.0
21021,7.3
21023,3.2
21025,0.0
21027,47.3
21029,5.7
21031,49.6
21033,2.3
21035,2.4
21037,1.2
21039,2.3
21041,0.9
21043,0.0
21045,22.7
21047,7.0
21049,12.1
21051,0.1
21053,2.5
21055,1.7
21057,5.7
21059,5.7
21061,7.4
21063,0.0
21065,0.1
21067,5.0
21069,8.7
21071,0.0
21073,2.5
21075,1.9
21077,3.0
21079,6.1
21081,2.0
21083,5.2
21085,29.5
21087,26.1
21089,0.1
21091,0.4
21093,61.3
21097,13.5
21099,7.9
21101,4.7
21103,13.0
21105,3.5
21107,2.0
21109,0.0
21111,1.1
21113,2.0
21115,0.1
21117,0.8
21121,0.1
21123,44.5
21125,0.2
21127,0.0
21129,0.0
21133,0.0
21135,0.3
21137,26.6
21139,0.7
21141,4.8
21143,0.2
21145,0.9
21147,0.1
21149,3.0
21151,7.1
21153,0.0
21155,31.7
21157,0.6
21161,20.3
21163,41.3
21165,0.0
21167,13.5
21169,14.1
21171,25.7
21173,6.2
21175,0.1
21177,1.1
21179,60.1
21181,5.0
21183,1.9
21185,6.0
21187,3.3
21189,0.0
21191,0.8
21193,0.1
21195,0.0
21197,0.2
21199,2.0
21201,0.4
21203,0.2
21205,0.1
21207,8.1
21209,13.0
21211,50.5
21213,2.6
21215,9.7
21217,34.2
21219,3.6
21221,1.9
21223,6.2
21225,7.0
21227,95.9
21229,11.1
21231,0.8
21233,3.5
21235,0.2
21237,0.0
21239,5.4
24001,2.2
24003,11.4
24005,48.7
24009,10.2
24011,121.4
24013,94.4
24015,57.2
24017,16.3
24019,78.0
24021,100.5
24023,25.6
24025,46.2
24027,12.5
24029,151.1
24031,31.4
24033,11.7
24035,196.4
24037,33.2
24039,42.9
24041,98.2
24043,65.4
24045,81.8
24047,98.3
26001,0.2
26003,0.0
26005,5.6
26007,0.5
26009,0.2
26011,1.2
26013,0.0
26015,3.0
26017,4.0
26019,0.1
26021,3.0
26023,6.4
26025,4.9
26027,5.1
26029,0.2
26031,0.0
26033,0.0
26035,0.3
26037,4.8
26039,0.0
26041,0.1
26043,0.0
26045,3.6
26047,0.1
26049,2.0
26051,0.4
26053,0.0
26055,0.3
26057,7.1
26059,4.9
26061,0.0
26063,7.9
26065,3.6
26067,5.4
26069,0.4
26071,0.0
26073,2.9
26075,3.2
26077,3.6
26079,0.0
26081,3.1
26085,0.1
26087,2.6
26089,0.2
26091,8.2
26093,1.2
26095,0.0
26097,0.1
26099,1.0
26101,0.3
26103,0.0
26105,1.1
26107,1.5
26109,0.8
26111,1.2
26113,2.1
26115,4.0
26117,4.8
26119,0.1
26121,0.8
26123,2.2
26125,0.2
26127,1.5
26129,0.9
26131,0.0
26133,0.9
26135,0.1
26137,0.1
26139,3.7
26141,0.5
26143,0.0
26145,6.8
26147,1.8
26149,6.9
26151,6.8
26153,0.0
26155,3.2
26157,5.7
26159,2.8
26161,3.1
26163,0.1
26165,0.4
27001,0.0
27003,0.2
27007,0.2
27009,3.1
27011,7.9
27013,13.8
27015,12.7
27017,0.0
27019,3.3
27021,0.4
27023,12.0
27025,0.5
27033,14.0
27035,0.1
27037,1.9
27039,2.2
27041,5.5
27043,16.2
27045,2.6
27047,15.6
27049,2.9
