fips,mass
06013,3.6
06019,21.9
06029,10.5
06031,19.3
06043,0.4
06047,49.5
06067,15.6
06077,274.8
06085,1.8
06087,18.0
06099,143.1
06107,2.9
09001,3.0
09003,7.6
09005,2.5
09007,1.9
09009,6.9
09011,1.3
09013,1.1
09015,3.3
16001,0.2
16027,0.2
16039,0.1
16045,0.3
16073,0.0
16075,0.2
16087,0.2
18015,0.7
18017,0.7
18039,3.2
18049,0.7
18073,1.8
18085,0.7
18089,0.7
18091,0.7
18099,0.7
18103,0.7
18127,0.8
18141,0.5
18149,0.7
18169,0.7
18181,0.0
21001,0.2
21003,0.1
21005,0.1
21009,0.1
21011,0.2
21013,0.2
21015,0.2
21017,0.2
21019,0.2
21021,0.2
21023,0.2
21027,0.2
21029,0.2
21031,0.2
21037,0.2
21041,0.0
21043,0.0
21045,0.2
21049,0.1
21051,0.2
21053,0.2
21057,0.2
21061,0.2
21063,0.2
21065,0.1
21067,0.2
21069,0.2
21071,0.0
21073,0.1
21077,0.0
21079,0.2
21081,0.3
21085,0.2
21087,0.1
21089,0.2
21093,0.1
21095,1.5
21097,0.8
21099,0.5
21103,0.2
21109,0.2
21111,0.1
21113,0.2
21115,0.1
21117,0.2
21119,0.2
21121,0.2
21123,0.2
21125,0.2
21127,0.2
21129,0.2
21133,0.2
21135,0.1
21137,0.1
21147,0.2
21151,0.2
21153,0.2
21155,0.2
21161,0.2
21163,0.1
21167,0.2
21169,0.2
21171,0.2
21173,0.2
21175,0.2
21179,0.1
21181,0.2
21185,0.2
21187,0.2
21189,0.2
21191,0.2
21193,0.2
21195,0.0
21197,0.2
21199,0.2
21201,0.2
21203,0.2
21205,2.4
21207,0.2
21209,0.2
21211,0.7
21215,0.2
21217,0.2
21223,0.2
21227,0.2
21229,0.2
21231,0.1
21235,0.2
21237,0.2
21239,0.2
24001,0.6
24005,0.6
24011,3.8
24013,2.3
24015,3.8
24021,3.4
24023,0.9
24025,3.7
24027,2.3
24029,3.8
24031,3.6
24035,0.1
24041,6.6
24043,46.4
25001,0.5
25003,0.5
25005,1.5
25007,0.5
25009,2.7
25011,6.6
25013,3.2
25015,3.4
25017,4.8
25019,0.5
25021,0.5
25023,2.0
25027,25.3
26001,0.2
26005,29.4
26007,0.1
26009,5.4
26011,1.1
26015,0.3
26017,1.1
26019,4.8
26021,108.6
26023,1.1
26025,0.7
26027,18.9
26029,2.0
26031,0.1
26035,0.7
26037,0.8
26045,1.7
26047,0.2
26049,4.5
26051,0.9
26055,8.2
26057,1.1
26059,1.1
26063,1.1
26065,1.2
26067,4.1
26069,0.2
