fips,mass
04001,2385.8
04003,1.2
04005,0.7
04007,2385.5
04009,0.1
04011,2385.4
04013,1195.3
04015,0.5
04017,3.4
04019,1.1
04021,1193.0
04023,0.5
04025,2.3
04027,2385.4
06007,19.0
06011,385.1
06019,3790.0
06021,110.6
06025,144.7
06029,82.3
06031,1.4
06053,15155.6
06065,31.7
06069,1615.6
06073,289.7
06079,1376.3
06083,3810.1
06085,840.8
06087,734.6
06095,0.2
06111,419.7
06113,116.3
09001,5.6
09003,63.9
09005,10.399999999999999
09007,6.699999999999999
09009,3.1
09011,5.25
09013,15.799999999999999
09015,3.5999999999999996
10003,17.8
12001,58.650000000000006
12003,1003.3
12005,99.8
12007,330.45000000000005
12009,871.1
12011,133.5
12013,441.1
12015,906.3
12017,412.35
12019,137.20000000000002
12021,2128.15
12023,2.9000000000000004
12027,711.9
12029,1006.4
12031,2.45
12033,7.8
12035,243.75
12039,73.2
12041,321.5
12043,109.7
12045,1072.6
12047,1072.65
12049,1378.9
12051,775.3
12053,236.15
12055,793.5
12057,1000.45
12059,5.4
12061,862.3
12063,2958.4
12065,1002.8
12067,1586.3000000000002
12069,133.0
12071,1274.1
12073,3.4
12075,471.15
12077,1072.6
12079,1006.4
12081,12023.849999999999
12083,152.55
12085,1156.9
12086,2701.1499999999996
12089,9.0
12091,1004.3
12093,570.1
12095,334.7
12097,290.8
12099,8320.6
12101,405.90000000000003
12103,249.5
12105,261.75
12107,239.4
12109,2951.15
12111,323.15
12113,1004.3
12115,603.3
12117,324.35
12119,133.45
12121,77.55
12123,72.05000000000001
12125,303.3
12127,11.0
12129,8.8
12131,9.2
12133,73.2
13001,2.4
13003,283.2
13005,0.95
13017,13.6
13019,283.2
13021,11.1
13023,87.7
13025,1.4
13027,6750.9
13029,98.8
13035,0.1
13037,1.0
13039,98.8
13045,5.9
13049,93.1
13051,1.7000000000000002
13061,11.4
13063,11.4
13065,283.2
13069,267.5
13071,1761.7
13075,1388.2
13077,11.7
13079,3.4
13081,283.2
13087,104.5
13091,104.5
13093,280.4
13095,104.5
13097,104.5
13099,11.4
13101,586.7
13109,11.4
13113,104.5
13127,0.3
13131,94.8
13133,104.5
13141,1.7
13143,104.5
13145,2.7
13149,93.6
13151,5.9
13153,98.1
13155,283.2
13159,94.1
13161,283.2
13167,14.3
13169,12.8
13171,104.5
13173,21.2
13175,128.9
13177,104.5
13179,98.8
13183,98.8
13185,2440.0
13191,11.4
13193,104.5
13197,11.4
13199,93.6
13205,133.9
13207,1.7
13209,54.5
13211,12.8
13215,104.5
13217,5.4
13225,12.8
13229,141.85
13231,96.1
13235,104.5
13239,1.9
13247,4.3
13249,11.4
13255,2.4
13259,102.1
13261,104.5
13263,1.0
13265,104.5
13267,234.35000000000002
13269,24.5
13271,283.2
13273,11.4
13275,18.6
13277,335.8
13279,98.8
13283,104.5
13285,12.8
13287,283.2
13289,104.5
13293,95.1
13299,98.8
13303,97.1
13305,1.9
13309,43.8
13315,21.2
13319,12.8
13321,958.3
16001,102.9
16003,0.3
16005,1897.0
16007,537.1
16011,44396.0
16013,1897.0
16015,14.9
16019,11022.3
16023,704.6
16025,1897.0
16027,4833.0
16029,1897.0
16031,1897.0
16033,128.6
16037,1092.9
16039,8621.7
16041,1897.0
16043,14115.7
16045,1897.0
16047,2510.2
16051,20425.1
16053,5614.7
16059,0.7
16063,1897.0
16065,21784.0
16067,19039.7
16071,6311.4
16073,735.6
16075,2387.5
16077,28926.6
16081,2838.0
16083,6280.4
16085,1897.0
18001,4.9
18003,3.7
18033,7.4
18069,7.4
18087,4.8
18113,1.4
18151,7.4
18179,0.3
18183,0.1
23001,35.0
23003,366.0
23005,6.2
23007,1.8
23009,0.1
23011,6.9
23013,2.9
23015,1.5
23017,308.2
23019,17.7
23021,0.5
