fips,mass
08001,5.7
08003,0.0
08005,0.4
08009,17.6
08011,0.7
08017,25.6
08025,0.4
08039,3.3
08041,0.3
08049,0.0
08055,0.0
08061,30.5
08063,20.5
08071,0.2
08073,8.4
08089,1.4
08095,0.7
08099,7.6
08101,0.1
08109,0.1
08121,11.0
08125,4.8
13013,0.0
13015,0.1
13047,0.0
13055,0.0
13057,0.0
13059,0.0
13083,0.0
13085,0.0
13111,0.0
13115,0.1
13117,0.0
13121,0.0
13123,0.0
13129,0.2
13135,0.0
13139,0.1
13157,0.0
13187,0.0
13213,0.1
13219,0.0
13223,0.0
13227,0.0
13233,0.0
13281,0.0
13291,0.0
13295,0.0
13297,0.0
13311,0.0
13313,0.0
16001,13.5
16003,10.0
16005,19.2
16007,10.0
16009,27.3
16011,156.5
16017,0.6
16019,71.8
16021,12.3
16023,19.7
16027,25.2
16029,78.3
16033,17.2
16035,11.1
16037,8.0
16039,14.8
16041,15.3
16043,65.9
16045,10.0
16049,48.1
16051,71.9
16055,13.5
16057,125.9
16059,1.9
16061,51.5
16065,86.4
16069,115.7
16071,28.1
16073,8.4
16075,5.3
16077,135.9
16081,7.5
16085,0.4
16087,13.2
17001,5.0
17003,0.4
17005,4.3
17007,1.6
17009,1.0
17011,7.3
17013,1.7
17015,4.1
17017,6.9
17019,22.3
17021,15.3
17023,7.7
17025,5.8
17027,7.4
17029,8.0
17031,0.1
17033,7.0
17035,4.8
17037,6.0
17039,2.5
17041,9.4
17043,0.0
17045,11.8
17047,3.5
17049,8.5
17051,9.6
17053,10.2
17055,3.1
17057,4.2
17059,6.0
17061,9.6
17063,3.2
17065,5.0
17067,5.1
17069,0.1
17071,2.6
17073,6.9
17075,25.7
17077,2.5
17079,7.3
17081,3.8
17083,6.1
17085,3.1
17087,0.4
17089,2.3
17091,12.4
17093,2.0
17095,5.3
17097,0.3
17099,8.0
17101,7.7
17103,7.0
17105,22.5
17107,5.1
17109,4.0
17111,2.8
17113,8.3
17115,3.8
17117,13.5
17119,9.9
17121,5.5
17123,2.8
17125,3.7
17127,1.8
17129,2.0
17131,3.7
17133,4.1
17135,15.1
17137,10.6
17139,8.5
17141,6.2
17143,3.1
17145,3.3
17147,9.8
17149,13.0
17151,0.4
17153,1.5
17155,0.7
17157,5.1
17159,5.4
17161,2.0
17163,7.5
17165,3.5
17167,20.7
17169,2.0
17171,4.9
17173,12.1
17175,2.6
17177,4.8
17179,4.1
17181,1.4
17183,16.8
17185,3.9
17187,4.6
17189,9.8
17191,9.7
17193,7.5
17195,6.6
17197,2.6
17199,1.4
17201,2.5
17203,3.6
18001,5.7
18003,6.7
18005,4.5
18007,10.0
18009,2.7
18011,7.5
18013,0.1
18015,9.0
18017,7.2
18019,1.6
18021,4.9
18023,8.9
18025,0.2
18027,7.3
18029,0.3
18031,6.2
18033,3.3
18035,4.8
18037,4.6
18039,5.5
18041,2.5
18043,0.3
18045,7.2
18047,2.7
18049,8.5
18051,7.3
18053,4.9
18055,4.1
18057,4.2
18059,5.8
18061,2.2
18063,5.2
18065,4.9
18067,4.8
18069,5.1
18071,4.6
18073,11.2
18075,5.5
18077,1.2
18079,2.2
18081,4.5
18083,10.3
18085,8.5
18087,4.5
18089,4.0
18091,9.6
18093,1.6
18095,6.9
18097,0.5
18099,6.7
18101,1.1
18103,5.2
18105,0.4
18107,9.2
18109,3.5
18111,6.6
18113,5.8
18115,0.2
18117,2.4
18119,1.9
18121,4.9
18123,0.7
18125,1.6
18127,4.1
18129,6.4
18131,8.1
18133,4.8
18135,7.9
18137,3.2
18139,7.3
18141,5.4
18143,1.4
18145,7.8
18147,4.1
18149,4.6
18151,3.4
18153,4.8
18155,0.5
18157,7.4
18159,6.0
18161,2.5
18163,2.1
18165,3.8
18167,3.6
18169,6.5
18171,6.4
18173,2.9
18175,3.7
18177,4.3
18179,7.0
18181,11.4
18183,4.9
19001,7.8
19003,5.1
19005,5.4
19007,1.8
19009,9.2
19011,5.4
19013,9.7
19015,15.7
19017,8.9
19019,12.3
19021,17.0
19023,18.1
19025,14.0
19027,14.2
19029,8.6
19031,4.7
19033,16.9
19035,14.4
19037,9.8
19039,1.8
19041,14.7
19043,10.4
19045,5.9
19047,16.8
19049,13.3
19051,1.0
19053,2.8
19055,14.3
19057,1.9
19059,8.6
19061,10.4
19063,10.8
19065,10.9
19067,15.0
19069,20.0
19071,9.0
19073,13.2
19075,15.3
19077,9.1
19079,16.8
19081,20.0
19083,18.8
19085,14.0
19087,2.7
19089,8.9
19091,11.7
19093,10.2
19095,3.7
19097,3.3
19099,15.3
19101,2.1
19103,3.5
19105,4.8
19107,3.3
19109,31.6
19111,2.1
19113,4.2
19115,2.3
19117,1.9
19119,17.8
19121,5.2
19123,3.6
19125,5.9
19127,14.0
19129,7.0
19131,15.8
19133,12.1
19135,2.5
19137,7.5
19139,2.6
19141,14.8
19143,11.7
19145,9.7
19147,18.2
19149,22.7
19151,16.2
19153,8.2
19155,19.0
19157,13.3
19159,3.7
19161,13.7
19163,3.3
19165,13.7
19167,26.3
19169,15.5
19171,16.5
19173,6.5
19175,5.0
19177,1.3
19179,1.7
19181,5.2
19183,3.4
19185,4.6
19187,20.1
19189,12.7
19191,11.1
19193,15.3
19195,11.7
19197,18.6
20001,0.0
20003,0.0
20005,0.2
20007,0.4
20009,0.6
20011,0.0
20013,0.0
20015,0.1
20017,0.0
20019,0.0
20021,0.1
20023,20.9
20025,1.3
20027,5.1
20029,6.1
20031,0.0
20033,1.2
20035,0.1
20037,0.0
20039,7.1
20041,0.3
20045,0.0
20047,1.1
20049,0.0
20051,0.7
20053,0.3
20055,6.9
20057,6.5
20059,0.0
20061,0.0
20063,11.9
20065,24.8
20067,1.9
20069,5.2
20071,26.2
20073,0.0
20075,3.5
20077,0.5
20079,0.4
20081,3.4
20083,2.8
20085,0.2
20087,0.5
20089,11.3
20091,0.0
20093,3.6
20095,0.5
20097,1.1
20099,0.0
20101,21.5
20103,0.1
20105,0.3
20107,0.0
20109,13.1
20111,0.0
20113,0.2
20115,0.1
20117,1.8
20119,2.0
20121,0.0
20123,17.9
20125,0.0
20127,0.1
20129,2.8
20131,0.5
20133,0.0
20135,27.6
20137,8.9
20139,0.0
20141,13.4
20143,7.4
20145,2.3
20147,9.2
20149,0.6
20151,1.2
20153,22.8
20155,1.4
20157,2.9
20159,0.5
20161,2.1
20163,24.1
20165,0.7
20167,0.5
20169,0.3
20171,25.8
20173,0.9
20175,1.2
20177,0.0
20179,11.5
20181,19.7
20183,14.7
20185,1.1
20187,2.5
20189,1.5
20191,1.1
20193,25.0
20195,21.9
20197,0.0
20199,11.3
20201,6.8
20203,14.3
20205,0.0
20207,0.0
21007,1.9
21013,0.0
21019,0.0
21025,0.0
21033,2.3
21035,2.4
21039,2.2
21043,0.0
21047,6.9
21051,0.0
21055,1.7
21059,5.6
21063,0.0
21065,0.0
21071,0.0
21075,1.9
21083,5.1
21089,0.0
21091,0.4
21101,4.7
21105,3.4
21107,2.0
21109,0.0
21115,0.0
21121,0.0
21125,0.1
21127,0.0
21129,0.0
21133,0.0
21135,0.1
21139,0.7
21141,4.7
21143,0.2
21145,0.9
21147,0.0
21149,2.9
21153,0.0
21157,0.6
21165,0.0
21175,0.0
21177,1.1
21183,1.9
21189,0.0
21193,0.0
21195,0.0
21197,0.1
21199,0.7
21203,0.1
21205,0.0
21213,2.6
21219,3.6
21221,1.9
21225,6.9
21231,0.3
21233,3.4
21235,0.1
21237,0.0
22001,1.4
22011,0.2
22019,0.5
22053,1.5
27011,7.8
27013,16.5
27015,15.2
27023,11.8
27033,13.7
27037,10.3
27039,12.1
27041,5.4
27043,19.4
27045,14.2
27047,18.6
27049,15.9
27051,9.9
27055,4.8
27063,12.9
27073,13.2
27079,9.4
27081,9.4
27083,14.5
27091,23.6
27099,20.8
27101,13.9
27103,12.4
27105,15.7
27109,11.2
27111,14.6
27117,8.1
27121,9.6
27127,19.0
27131,8.7
27133,10.9
27147,11.8
27149,11.0
27151,12.4
27155,11.5
27157,7.7
27161,11.3
27165,12.1
27167,9.3
27169,8.5
27173,12.9
29001,1.5
29003,4.6
29005,9.7
29007,9.0
29013,5.7
29015,0.8
29019,2.2
29021,4.2
