fips,mass
01001,5.2
01003,317.1
01005,7.0
01007,3.25
01009,3.95
01011,3.1
01013,16.0
01015,5.7
01017,2.1
01019,22.3
01021,3.0
01023,0.3
01025,1.6
01027,0.55
01029,1.1
01031,8.7
01033,225.25
01035,7.4
01037,0.0
01039,8.8
01041,2.1
01043,16.3
01045,10.0
01047,38.7
01049,21.25
01051,4.9
01053,127.7
01055,7.3999999999999995
01057,3.55
01059,12.3
01061,15.5
01063,0.5
01065,0.9
01067,12.649999999999999
01069,16.25
01071,63.7
01073,1.65
01075,2.95
01077,101.4
01079,200.25
01081,2.1500000000000004
01083,297.4
01085,8.3
01087,6.2
01089,231.25
01091,5.2
01093,5.6
01095,7.300000000000001
01097,64.9
01099,70.4
01101,4.7
01103,16.3
01105,26.2
01107,5.8
01109,9.65
01111,3.0999999999999996
01113,3.3000000000000003
01115,3.7
01117,7.75
01119,5.3
01121,6.3
01123,2.35
01125,4.7
01127,1.9
01129,45.6
01131,1.0
01133,1.15
05001,210.75
05003,97.9
05005,0.0
05007,8.95
05009,3.9000000000000004
05015,4.7
05017,325.5
05019,7.1
05021,111.6
05023,1.7
05025,0.1
05027,0.7
05029,164.5
05031,127.4
05033,188.6
05035,245.29999999999998
05037,161.45
05041,355.95
05043,74.45
05045,73.85
05047,34.8
05049,3.8499999999999996
05053,1.75
05055,79.95
05057,1.9
05059,3.0
05063,26.0
05065,4.300000000000001
05067,149.25
05069,248.45
05071,50.3
05073,105.7
05075,49.7
05077,173.5
05079,158.9
05081,70.8
05083,41.8
05085,131.15
05087,1.55
05091,130.1
05093,291.35
05095,155.9
05099,0.0
05105,18.5
05107,298.25
05111,156.95
05113,0.4
05115,102.4
05117,96.9
05119,152.7
05121,24.0
05123,133.25
05125,1.0
05131,24.9
05133,2.7
05143,5.7
05145,37.8
05147,147.15
05149,72.6
08001,1129.25
08003,0.1
08005,196.5
08009,1106.1
08011,297.4
08013,46.8
08014,3.95
08017,1005.4499999999999
08021,124.80000000000001
08023,124.80000000000001
08025,155.8
08031,222.8
08035,8.45
08037,2.7
08039,127.85
08041,222.95
08043,5.2
08055,2.8
08059,72.35
08061,959.4
08063,357.45000000000005
08069,102.1
08071,28.5
08073,727.8
08075,453.65
08081,29.4
08087,176.1
08089,127.1
08095,639.15
08099,866.7
08101,214.3
08103,110.2
08105,1.05
08107,2.7
08109,124.80000000000001
08115,163.45
08121,306.15
08123,1120.0500000000002
08125,802.05
10001,259.7
10003,84.2
10005,356.5
12001,49.2
12005,0.0
12013,31.35
12023,387.0
12029,93.7
12031,34.9
12033,38.95
12035,70.5
12039,2.5999999999999996
12041,701.3
12045,4.45
12047,731.2
12057,1.9
12059,30.3
12063,186.1
12065,11.75
12067,924.0
12073,8.05
12075,1258.8
12077,0.5
12079,702.9
12083,500.3
12091,10.100000000000001
12101,70.5
12103,4.2
12107,0.2
12109,70.5
