fips,mass
06007,2.8
06019,222.6
06021,20.6
06023,0.9
06025,9.7
06029,1.6
06031,3.9
06037,0.4
06049,2.3
06053,678.0
06059,0.9
06061,0.0
06065,3.3
06067,1.2
06069,31.9
06073,46.3
06077,131.2
06079,47.6
06081,6.1
06083,63.3
06085,17.6
06087,8.9
06095,4.1
06097,0.2
06099,20.9
06101,0.3
06103,7.8
06107,4.1
06111,125.1
08003,123.6
08007,0.0
08015,57.8
08021,123.6
08023,123.6
08029,0.2
08033,0.0
08037,0.0
08043,0.0
08045,57.8
08047,57.8
08051,0.0
08055,0.0
08057,57.8
08067,0.1
08077,0.5
08081,0.1
08083,0.2
08085,0.2
08091,0.0
08097,0.0
08101,0.1
08103,0.1
08105,123.6
08107,57.8
08109,859.4
08113,57.8
08119,0.2
12001,32.05
12003,0.2
12005,0.2
12007,22.05
12009,42.4
12011,0.8
12013,7.7
12015,42.8
12017,23.25
12019,2.7
12021,42.8
12023,2.1
12027,0.5
12029,0.4
12031,1.5
12033,2.8
12035,43.5
12039,9.5
12041,45.9
12045,9.5
12047,0.9
12049,85.4
12051,4.0
12053,21.35
12055,35.0
12057,104.30000000000001
12059,2.7
12061,0.5
12063,35.1
12065,1.2
12067,11.8
12069,4.6
12071,42.8
12073,8.4
12075,71.14999999999999
12077,8.2
12079,12.9
12081,45.349999999999994
12083,42.75
12085,43.95
12086,52.05
12089,13.1
12091,1.4
12093,42.4
12095,23.85
12097,27.3
12099,42.8
12101,27.4
12105,6.35
12107,22.05
12109,248.0
12113,1.7
12117,23.9
12119,4.3
12121,79.5
12123,2.0
12125,25.65
12127,4.3
12129,0.7
12131,1.6
12133,0.1
13001,1.8
13003,1.6
13005,4.6
13017,1.6
13019,17.35
13025,1.8
13027,7.1499999999999995
13029,1.8
13039,2.5
13049,0.3
13051,1.4
13065,1.8
13069,1.6
13071,19.450000000000003
13075,35.25
13081,63.5
13093,1.1
13101,1.8
13109,1.8
13127,0.0
13155,1.6
13161,2.5
13173,1.8
13179,1.8
13183,1.9
13185,1.8
13229,2.5
13267,32.1
13271,1.6
13277,85.75
13279,2.5
13287,21.700000000000003
13299,2.2
13305,0.7
13315,36.45
13321,55.25
16001,2.3
16003,0.0
16005,1.3
16007,0.4
16009,38.4
16011,29.7
16013,1.3
16015,0.3
16017,0.1
16019,7.4
16021,38.4
16023,0.5
16025,1.3
16027,108.6
16029,1.3
16031,1.3
16033,0.1
16035,38.4
16037,0.7
16039,193.7
16041,1.3
16043,9.4
16045,42.6
16047,1.7
16049,0.0
16051,13.7
16053,3.8
16055,38.4
16057,0.0
16059,0.0
16063,1.3
16065,14.6
16067,12.7
16069,38.4
16071,4.2
16073,16.5
16075,53.6
16077,19.3
16081,1.9
16083,4.2
16085,42.6
18001,0.5
18003,0.4
18015,0.0
18017,0.2
18033,0.7
18039,0.4
18049,0.1
18069,0.7
18073,0.3
18085,0.0
18087,0.5
18089,0.1
18091,0.3
18099,0.3
18103,0.3
18111,0.3
18113,0.1
18127,0.0
18131,0.3
18141,0.3
18149,0.3
18151,0.7
18169,0.0
18179,0.0
18181,0.3
18183,0.0
26005,1.3
26015,0.2
26021,0.7
26023,0.2
26025,0.5
26027,0.7
26035,0.0
26037,0.4
26045,0.2
26049,2.0
26051,0.1
26057,0.0
26059,0.8
26065,0.2
26067,0.4
26073,0.2
26075,0.4
26077,0.1
26081,0.5
26085,0.0
26087,0.8
26091,1.6
26093,0.3
26099,2.1
26105,0.0
26107,0.2
26111,0.1
26115,3.7
26117,0.2
26121,0.1
26123,0.7
26125,1.6
26127,2.1
26133,0.0
26139,1.1
26147,2.5
26149,0.1
26155,0.1
26159,0.2
26161,1.4
26163,0.8
30001,0.5
30005,2.5
30007,28.5
30009,0.5
30013,0.2
30015,0.1
30027,2.0
30029,3.2
30031,44.5
30035,0.4
30041,2.5
30043,0.5
30045,1.1
30047,51.7
30049,1.5
30051,1.0
30053,3.2
30057,2.5
30059,1.5
30063,0.0
30065,1.5
30067,0.5
30071,3.2
30073,2.5
30081,0.3
30089,0.0
30099,2.5
30101,2.5
30107,0.6
30111,0.0
32001,0.0
32007,0.55
32017,5.6
32019,0.1
32031,0.1
32033,11.7
35001,0.2
35003,10.7
35005,10.7
35006,0.1
35009,10.7
35011,10.7
35013,851.0
35015,145.0
35017,0.4
35019,0.7
35023,1.6
35025,10.7
35027,10.7
35029,10.7
35031,0.0
35033,0.05
35035,37.7
35037,10.7
35039,0.2
35041,22.049999999999997
35043,0.0
35045,16.7
35047,0.15000000000000002
35049,0.1
35051,10.7
35053,0.2
35055,0.1
35057,17.4
35059,16.7
35061,0.1
36003,0.3
36007,0.2
36009,0.3
36011,0.3
36013,0.1
36015,0.1
36017,0.1
36023,0.1
36029,0.8
36037,0.7
36043,0.2
36051,0.0
36053,0.4
36055,2.2
36063,1.3
36065,0.7
36067,1.2
36069,0.8
36073,0.4
36075,0.4
36077,0.1
36097,0.3
36099,0.1
36101,0.2
36107,0.3
36109,0.2
36117,0.2
36121,0.2
36123,0.2
39003,1.4
39005,0.4
39007,0.1
39021,0.3
39023,0.4
39029,0.2
39033,0.3
39035,0.1
39037,0.0
39039,0.8
39043,0.4
39051,1.8
39055,0.4
39063,2.4
39065,0.0
39069,0.3
39077,0.0
39085,0.1
39091,0.3
39093,0.9
39095,4.2
39099,1.2
39103,0.5
39107,0.3
39109,0.2
39123,0.2
39133,0.6
39137,1.4
39139,0.5
39143,2.3
39147,0.1
39149,0.3
39151,1.1
39153,0.0
39155,0.1
39161,1.1
39169,0.9
39171,0.2
39173,1.4
39175,0.3
41001,123.5
41003,0.4
41005,1.5
41007,2.0
41009,0.0
41011,2.0
41013,2.5
41015,2.0
41017,0.8
41019,0.2
41023,2.5
41025,0.0
41027,0.1
41029,0.3
41031,19.1
41033,2.0
41035,285.1
41037,0.0
41039,0.3
41041,2.0
41043,0.3
41045,62.4
41047,0.3
41049,477.9
41051,2.0
41053,0.1
41057,0.1
41059,424.6
41061,13.3
41063,2.0
41065,0.1
41067,0.4
41071,0.2
48003,0.9
48017,35.0
48043,3.8
48103,14.5
48107,49.0
48109,14.5
48115,14.5
48135,1.8
48141,14.5
48165,15.6
48173,25.2
48219,0.8
48227,0.8
48229,14.5
48243,14.5
48279,14.5
48303,14.5
48305,66.9
48317,35.5
48329,0.6
48371,14.5
48377,14.5
48389,14.5
48445,14.5
48475,0.4
48495,0.1
48501,14.5
49003,0.0
49005,0.0
49007,0.0
49011,0.0
49013,0.0
49015,0.0
49019,0.0
49027,0.0
49029,0.0
49033,0.0
49035,0.0
49037,0.3
49039,0.75
49041,0.75
49043,0.3
49045,0.0
49047,0.0
49049,0.25
49051,0.3
49057,0.0
53001,532.6
53005,703.8
53007,0.0
53009,0.2
53011,0.2
53013,6.4
53015,7.7
53017,0.0
53019,37.4
53021,733.2
53025,1150.6
53027,0.1
53029,0.1
53031,0.0
53033,0.4
53035,0.2
53037,6.4
53039,0.1
53041,0.0
53043,9.4
53045,0.0
53047,0.1
53049,0.1
53051,0.2
53053,0.1
53055,0.1
53057,199.2
53059,7.7
53061,19.7
53063,37.4
53065,37.4
53067,0.3
53069,0.0
53071,171.1
53073,32.9
53075,0.0
53077,17.2
56007,0.0
56029,0.0
