fips,mass
01001,0.3
01003,0.5
01005,0.2
01013,0.0
01017,0.0
01021,0.0
01023,0.0
01025,0.0
01031,0.4
01033,0.2
01035,0.5
01039,0.4
01041,0.0
01045,0.3
01047,0.5
01051,0.5
01053,0.8
01057,0.2
01059,0.1
01061,0.7
01065,0.0
01067,0.6
01069,0.5
01075,0.0
01077,0.6
01079,0.6
01081,0.0
01083,0.9
01085,0.1
01087,0.4
01089,1.0
01091,0.1
01093,0.0
01097,0.3
01099,0.7
01101,0.2
01103,0.1
01105,0.1
01107,0.1
01109,0.1
01111,0.0
01113,0.1
01117,0.1
01119,0.0
01121,0.2
01123,0.0
01125,0.0
01127,0.0
01129,0.2
01131,0.0
04001,0.3
04003,2.7
04005,0.0
04007,0.1
04009,0.7999999999999999
04011,0.0
04012,4.8
04013,7.6
04015,3.2
04017,0.0
04019,1.2
04021,14.0
04023,1.2
04025,2.1
04027,62.0
05003,0.7
05017,0.8
05019,0.0
05041,0.6
05043,0.3
05069,0.2
05079,0.7
06005,0.4
06007,1.2
06009,0.1
06011,4.6
06013,0.0
06017,0.0
06019,206.8
06021,0.7
06025,1.6
06029,124.7
06031,208.2
06033,0.8
06039,34.3
06041,0.0
06045,0.4
06047,85.0
06053,9.5
06055,0.4
06061,0.3
06065,2.7
06067,9.3
06069,0.5
06077,17.0
06079,7.8
06083,3.8
06085,0.1
06095,4.4
06097,2.1
06099,14.6
06101,1.2
06103,0.8
06107,81.8
06111,0.2
06113,9.0
06115,1.4
08001,5.7
08005,1.5
08009,1.95
08011,0.2
08013,0.1
08014,0.1
08015,0.0
08017,4.1
08019,0.0
08025,0.0
08027,0.0
08031,0.0
08035,0.1
08037,0.0
08039,1.1
08041,0.1
08043,0.0
08047,0.0
08049,0.0
08051,0.0
08055,0.0
08057,0.0
08059,0.0
08061,4.8
08063,6.8
08069,0.3
08071,0.3
08073,4.3
08075,3.7
08081,0.4
08087,1.9
08089,0.1
08093,0.0
08095,2.6
08097,0.0
08099,1.85
08101,0.05
08103,0.0
08107,0.1
08115,1.6
08119,0.0
08121,6.5
08123,4.5
08125,4.1
12013,0.3
12023,0.0
12033,0.4
12039,0.0
12047,0.0
12059,0.1
12063,1.3
12065,0.1
12067,0.1
12079,0.0
12091,0.1
12113,0.6
12121,0.1
12131,0.1
12133,0.1
13001,2.2
13003,0.4
13005,0.9
13007,0.4
13013,0.0
13017,0.2
13019,0.6
13023,0.1
13025,0.0
13027,1.1
13029,0.0
13031,6.6
13033,3.7
13037,0.6
13043,1.0
13049,0.0
13061,0.2
13065,0.0
13069,1.2
13071,1.4
13075,0.6
13079,0.0
13081,1.0
13087,1.4
13091,0.3
13093,2.0
13095,0.1
13099,0.9
13101,0.0
13103,1.0
13105,0.0
13107,2.1
13109,0.3
13113,0.0
13125,0.1
13131,0.7
13153,0.1
13155,0.9
13161,0.5
13163,1.4
13165,1.5
13167,0.1
13171,0.0
13173,0.3
13175,0.3
13177,0.5
13183,0.0
13185,0.1
13189,0.0
13193,0.4
13195,0.0
13197,0.0
13201,0.6
13205,1.2
13209,0.2
13211,0.1
13217,0.0
13219,0.0
13225,0.0
13229,1.1
13235,0.2
13237,0.0
13239,0.0
13243,0.4
13249,0.0
13251,3.3
13253,0.7
13259,0.0
13261,0.8
13267,0.5
13269,0.0
13271,0.2
13273,0.9
13275,1.2
13277,0.9
13279,0.5
13283,0.1
13287,0.7
13289,0.2
13297,0.0
13299,0.4
13301,0.2
13303,0.1
13305,0.3
13307,0.3
13309,0.1
13315,0.7
13317,0.0
13319,0.0
13321,1.6
16001,0.0
16003,0.0
16009,0.0
16015,0.0
16017,0.0
16021,0.0
16027,0.0
16035,0.0
16039,0.0
16045,0.0
16049,0.0
16055,0.0
16057,0.0
16061,0.0
16069,0.0
16073,0.0
16075,0.0
16079,0.0
16087,0.0
17003,0.4
17005,0.9
17011,1.2
17013,0.3
17015,0.4
17017,0.8
17019,3.2
17021,2.1
17023,1.4
17025,1.9
17027,1.1
17029,1.3
17033,1.1
17035,0.8
17039,1.0
17041,1.3
17045,1.7
17047,0.5
