fips,mass
04001,43.7
04003,3.1
04005,0.1
04007,43.3
04009,0.6
04011,89.1
04013,105.75
04015,7.5
04017,0.1
04019,0.6
04021,105.4
04023,0.5
04025,0.6
04027,141.0
06001,0.0
06005,0.8
06007,2.2
06009,0.0
06011,1.0
06013,3.1
06017,0.1
06019,285.8
06021,0.0
06023,0.0
06025,327.3
06029,316.6
06031,120.9
06033,7.5
06037,2.2
06039,20.9
06041,0.1
06045,26.2
06047,36.2
06053,591.2
06055,12.9
06057,0.0
06059,0.7
06061,1.6
06065,183.4
06067,0.0
06069,87.5
06071,5.0
06073,60.4
06077,8.6
06079,79.9
06081,0.0
06083,317.8
06085,4.0
06087,79.4
06093,5.9
06095,0.4
06097,2.3
06099,13.2
06101,5.3
06103,0.1
06107,387.4
06111,398.3
06113,21.5
06115,0.0
16009,0.0
16017,0.0
16021,0.0
16049,0.0
16055,0.0
16057,0.0
16061,0.0
16069,0.3
17001,0.0
17003,0.0
17005,0.0
17009,0.0
17013,0.0
17017,0.0
17021,0.0
17023,0.0
17025,0.0
17027,0.0
17029,0.0
17033,0.0
17035,0.0
17039,0.0
17041,0.0
17045,0.0
17049,0.0
17051,0.0
17057,0.0
17061,0.0
17067,0.0
17071,0.0
17077,0.0
17079,0.0
17083,0.0
17087,0.0
17095,0.0
17101,0.0
17107,0.0
17109,0.0
17113,0.0
17115,0.0
17117,0.0
17119,0.0
17121,0.0
17123,0.0
17125,0.0
17129,0.0
17133,0.0
17135,0.0
17137,0.0
17139,0.0
17143,0.0
17145,0.0
17149,0.0
17153,0.0
17157,0.0
17159,0.0
17163,0.0
17167,0.0
17169,0.0
17171,0.0
17173,0.0
17175,0.0
17179,0.0
17181,0.0
17187,0.0
17189,0.0
17199,0.0
17203,0.0
29007,0.0
29045,0.0
29055,0.0
29071,0.0
29073,0.0
29099,0.0
29103,0.0
29111,0.0
29113,0.0
29127,0.0
29137,0.0
29139,0.0
29157,0.0
29163,0.0
29173,0.0
29183,0.0
29186,0.0
29187,0.0
29189,0.0
29199,0.0
29205,0.0
29219,0.0
29221,0.0
32003,0.4
32007,3.1
32009,1.7
32011,5.0
32015,4.1
32017,1.9
32021,0.3
32023,1.3
32033,3.0
35003,0.0
35017,0.0
35051,0.0
35053,0.0
41001,0.0
41003,0.1
41005,0.0
41007,0.0
41009,0.0
41011,0.0
41013,0.0
41015,0.0
41017,0.0
41019,0.0
41021,0.0
41023,0.0
41025,0.0
41027,2.9
41029,0.0
41031,0.0
41033,0.0
41035,0.0
41037,0.0
41039,0.0
41041,0.0
41043,0.0
41045,0.0
41047,0.2
41049,0.0
41051,0.0
41053,0.0
41055,0.0
41057,0.0
41059,1.4
41061,0.3
41063,0.1
41065,14.1
41067,0.0
41071,0.0
48013,0.3
48047,0.0
48061,10.8
48127,0.1
48131,0.0
48163,3.3
48215,15.5
48249,6.0
48283,0.1
48297,1.4
48311,0.4
48323,0.0
48427,2.4
48479,0.0
48489,7.6
48505,0.0
48507,1.9
49001,3.9
49003,7.9
49005,9.2
49007,1.1
49009,0.6
49011,0.4
49013,5.9
49015,2.6
49017,1.7
49019,1.2
49021,7.9
49023,2.7
49025,0.4
49027,10.7
49029,1.4
49031,0.9
49033,2.1
49035,0.3
49037,0.7
49039,6.2
49041,4.3
49043,1.5
49045,1.7
49047,5.1
49049,4.6
49051,0.9
49053,0.8
49055,1.5
49057,1.7
53001,8.4
53003,0.1
53005,21.950000000000003
53007,23.25
53009,0.0
53011,0.0
53013,0.1
53015,0.0
53017,21.15
53019,0.0
53021,30.1
53023,0.0
53025,122.25
53027,0.0
53029,0.0
53031,0.0
53033,0.0
53035,0.0
53037,0.6
53039,2.9
53041,0.0
53043,0.05
53045,0.0
53047,24.849999999999998
53049,0.0
53051,0.0
53053,0.0
53055,0.0
53057,0.0
53059,0.0
53061,0.0
53063,0.7
53065,0.2
53067,0.0
53069,0.0
53071,17.4
53073,0.0
53075,0.1
53077,98.0
