fips,mass
01001,1.9
01003,185.0
01005,20.9
01007,22.8
01009,32.7
01011,1.0
01013,9.8
01015,36.4
01017,3.7
01019,122.7
01021,13.4
01025,1.0
01027,2.7
01029,3.9
01031,54.5
01033,235.70000000000002
01035,4.4
01039,37.7
01041,2.95
01043,137.2
01045,68.65
01047,11.2
01049,243.0
01051,1.0
01053,76.4
01055,36.0
01057,18.7
01059,15.649999999999999
01061,108.05
01067,88.05000000000001
01069,139.35
01071,407.1
01073,3.8
01075,19.1
01077,210.04999999999998
01079,300.8
01081,3.7
01083,453.4
01085,3.4
01087,3.5
01089,327.95
01091,1.0
01093,27.650000000000002
01095,88.9
01097,37.7
01099,43.2
01103,54.05
01105,1.7
01107,38.7
01109,17.4
01111,2.7
01113,20.15
01115,1.2
01117,27.4
01119,1.0
01121,54.5
01123,3.7
01125,39.2
01127,14.8
01129,28.2
01131,0.5
01133,1.75
05001,2387.9
05003,214.8
05005,0.0
05007,23.25
05009,0.6
05015,0.9
05017,668.5
05019,165.5
05021,1089.85
05023,0.9
05025,1.0
05027,7.9
05029,167.7
05031,1088.2
05033,130.4
05035,2571.2
05037,1753.6
05041,726.3
05043,152.8
05045,82.9
05047,21.0
05049,7.65
05053,1.3
05055,758.5
05057,3.6
05059,3.4
05063,224.60000000000002
05065,0.65
05067,1105.5
05069,454.85
05071,19.2
05073,197.4
05075,631.3
05077,1800.3
05079,325.20000000000005
05081,131.5
05083,26.7
05085,1384.1
05087,3.4
05091,245.6
05093,2514.5
05095,1315.9
05099,0.0
05105,18.2
05107,3097.35
05111,1439.6
05115,59.8
05117,1243.5
05119,171.6
05121,278.35
05123,1687.4499999999998
05125,1.1
05131,10.0
05133,5.3
05143,3.75
05145,314.55
05147,1536.85
05149,34.1
08001,127.0
08005,4.7
08009,77.5
08011,36.1
08013,10.6
08014,1.3
08017,128.45
08025,0.75
08031,21.8
08035,4.3
08039,25.9
08041,0.7
08043,0.6
08055,0.6
08059,1.5
08061,155.5
08063,422.09999999999997
08069,23.45
08071,0.6
08073,114.5
08075,147.20000000000002
08087,118.5
08089,15.850000000000001
08095,180.4
08099,53.25
08101,11.3
08115,88.35
08121,201.1
08123,239.95
08125,369.59999999999997
10001,191.9
10003,13.3
10005,253.1
12013,51.4
12033,68.3
12039,2.7
12045,8.0
12059,44.5
12063,315.5
12065,15.7
12073,8.0
12091,16.1
12113,142.6
12131,19.4
12133,15.6
13003,134.6
13007,198.7
13009,0.4
13011,9.6
13013,0.0
13015,24.2
13017,65.7
13019,225.6
13021,5.6
13023,67.9
13027,177.8
13035,5.6
13037,229.75
13045,5.8
13047,0.4
13055,28.3
13057,0.2
13059,5.35
13061,68.1
13063,0.4
13065,4.6
13069,278.2
13071,322.5
13075,126.0
13077,7.0
13079,5.6
13081,135.6
13083,0.1
13085,5.550000000000001
13087,448.8
13091,42.4
13093,225.0
13095,34.400000000000006
13097,6.3
13099,274.35
13101,27.8
13105,64.2
13111,2.3499999999999996
13113,0.3
13115,45.4
13117,0.3
13119,17.9
13121,0.0
13123,3.75
13129,81.8
13131,141.2
13133,0.8
13135,5.35
13137,2.4
13139,14.2
13143,3.6
13145,5.9
13147,72.0
13149,10.6
13151,5.2
13153,21.8
13155,226.7
13157,4.1
13159,0.7
13161,150.8
13167,53.8
13169,0.4
13171,6.3
13173,63.7
13175,66.5
13177,178.89999999999998
13185,58.8
13187,1.0
13193,119.6
13195,45.1
13197,37.7
13199,6.1
13201,207.9
13205,368.65
13207,0.2
13209,25.7
13211,25.5
13213,28.9
13217,7.7
13219,0.39999999999999997
13221,16.4
13223,0.0
13225,30.1
13227,0.0
13231,5.6
13233,14.6
13235,15.5
13237,8.2
13239,2.7
13243,182.65
13247,0.0
13249,16.5
13253,226.14999999999998
13255,10.6
13259,12.2
13261,216.75
13263,1.0
13269,70.8
13271,24.7
13273,218.05
13275,173.8
13277,192.4
13281,5.35
13283,19.5
13285,5.2
13287,137.4
13289,6.5
13291,5.5
13293,6.2
13295,57.2
13297,5.199999999999999
13303,49.8
13307,115.75
13309,7.7
13311,5.4
13313,5.7
13315,121.8
13319,5.5
13321,403.0
16001,3.0
16003,1.6
16005,7.5
16007,1.6
16009,11.4
16011,40.3
16017,0.2
16019,9.8
16021,3.0
16023,1.6
16027,13.1
16029,10.5
16033,1.6
16035,2.9
16039,8.5
16041,6.8
16043,1.6
16045,1.6
16049,25.1
16051,1.6
16055,4.8
16057,35.0
16061,24.4
16065,1.6
16069,44.7
16071,7.8
16073,3.6
16075,3.0
16077,33.7
16081,1.0
16085,0.3
16087,2.7
17001,3662.3
17003,210.8
17005,154.5
17007,391.75
17009,757.8499999999999
17011,391.85
17013,55.4
17015,136.35
17017,150.8
17019,1970.0
17021,388.2
17023,1733.0500000000002
17025,2350.8500000000004
17027,673.25
17029,1628.4
17031,47.45
17033,1401.3000000000002
17035,1058.6
17037,1289.4499999999998
17039,892.1500000000001
17041,1678.1
17043,4.3
17045,2197.3
17047,131.85
17049,1930.75
17051,2331.8
17053,905.7
17055,207.65
17057,3091.55
17059,225.2
17061,241.3
17063,1010.0
17065,220.4
17067,3844.7
17069,11.55
17071,1410.85
17073,467.6
17075,2180.25
17077,742.55
17079,1619.9
17081,298.25
17083,140.1
17085,138.8
17087,146.95
17089,621.95
17091,936.5999999999999
17093,520.4000000000001
17095,3450.7
17097,71.15
17099,2257.05
17101,1499.45
17103,344.79999999999995
17105,2028.65
17107,1539.1999999999998
17109,2843.35
17111,634.7
17113,3032.05
17115,1348.5
17117,334.3
17119,284.9
17121,1543.6
17123,785.2
17125,1079.9
17127,127.9
17129,614.8
17131,260.6
17133,529.45
17135,387.6
17137,252.4
17139,1259.1999999999998
17141,264.6
17143,946.45
17145,611.05
17147,897.5
17149,293.1
17151,22.05
17153,365.1
17155,49.15
17157,748.8
17159,1186.6
17161,128.75
17163,767.85
17165,163.14999999999998
17167,485.2
17169,1537.4
17171,125.6
17173,2287.3500000000004
17175,753.1
17177,222.05
17179,1229.0
17181,361.3
17183,1556.7
17185,147.5
17187,3050.8
17189,1129.25
17191,417.25
17193,357.2
17195,266.75
17197,937.5999999999999
17199,222.0
17201,156.05
17203,1211.0
18001,224.4
18003,290.4
18005,39.3
18007,507.15
18009,236.0
18011,64.45
18013,5.300000000000001
18015,312.70000000000005
18017,262.79999999999995
18019,129.6
18021,567.4
18023,74.3
18025,15.5
18027,463.15
18029,36.9
18031,51.800000000000004
18033,154.1
18035,445.6
18037,318.5
18039,164.0
18041,164.55
18043,22.45
18045,709.6500000000001
18047,146.8
18049,269.0
18051,583.1
18053,48.3
18055,279.05
18057,35.2
18059,48.55
18061,169.3
18063,42.65
18065,389.4
18067,41.35
18069,218.3
18071,313.45
18073,425.79999999999995
18075,497.4
18077,128.9
18079,191.9
18081,36.2
18083,796.15
18085,320.95
18087,116.3
18089,218.1
18091,403.7
18093,139.39999999999998
18095,58.849999999999994
18097,4.05
18099,242.54999999999998
18101,85.85
18103,282.8
18105,21.7
18107,1081.2
18109,30.450000000000003
18111,317.25
18113,189.4
18115,13.8
18117,122.8
18119,240.0
18121,534.6
18123,71.44999999999999
18125,192.0
18127,237.75
18129,485.0
