fips,mass
05001,18473.6
05003,59.1
05017,619.0
05019,33.7
05021,8222.1
05029,242.2
05031,5910.8
05033,35.7
05035,6622.2
05037,14548.5
05041,497.7
05043,109.1
05045,162.4
05047,45.0
05055,9279.6
05063,843.0
05067,9235.1
05069,1527.8
05071,9.9
05073,536.4
05075,10041.0
05077,1867.6
05079,445.8
05081,54.6
05085,19271.9
05091,56.2
05093,6465.8
05095,7802.4
05105,189.2
05107,2988.8
05111,9931.2
05115,298.9
05117,13673.0
05119,498.3
05121,3159.4
05123,7438.2
05145,1351.7
05147,11251.2
05149,25.7
06111,0.3
08001,1913.3
08003,1.4
08005,514.9
08009,807.7
08011,45.5
08014,32.9
08017,1421.4
08025,6.45
08027,14.9
08031,0.9
08035,44.6
08039,380.2
08041,22.0
08043,5.6
08049,0.0
08055,1.0
08061,1711.9
08063,2159.6
08071,52.15
08073,1439.5
08089,46.949999999999996
08095,748.1
08099,698.75
08101,15.15
08109,1.9
08121,2095.5
08125,1159.3
20001,0.6
20003,6.5
20005,1.4
20007,168.1
20009,132.1
20011,4.5
20013,0.2
20015,7.6
20017,1.2
20019,0.7
20021,5.6
20023,1037.7
20025,72.2
20027,33.1
20029,39.6
20031,1.9
20033,292.7
20035,13.0
20037,2.8
20039,719.8
20041,66.5
20045,0.8
20047,472.6
20049,1.1
20051,151.7
20053,58.8
20055,378.9
20057,363.6
20059,5.1
20061,3.3
20063,98.0
20065,628.0
20067,114.7
20069,282.9
20071,207.6
20073,3.2
20075,208.9
20077,140.0
20079,37.2
20081,182.9
20083,164.2
20085,1.1
20087,3.4
20089,72.9
20091,0.7
20093,207.7
20095,152.7
20097,481.4
20099,2.1
20101,164.2
20103,0.6
20105,70.5
20107,1.3
20109,110.6
20111,2.5
20113,50.6
20115,20.6
20117,11.8
20119,115.8
20121,1.4
20123,115.5
20125,2.5
20127,13.5
20129,158.8
20131,3.5
20133,0.7
20135,210.5
20137,426.1
20139,4.9
20141,86.4
20143,47.6
20145,966.6
20147,59.2
20149,4.1
20151,275.3
20153,1082.1
20155,220.3
20157,18.4
20159,103.4
20161,13.7
20163,155.6
20165,141.1
20167,108.6
20169,62.0
20171,192.0
20173,97.5
20175,69.3
20177,1.2
20179,698.9
20181,1279.2
20183,94.7
20185,534.5
20187,151.6
20189,92.1
20191,168.6
20193,1089.7
20195,163.7
20197,2.1
20199,93.5
20201,43.6
20203,123.5
20205,1.1
20207,3.3
22001,1166.6
22003,245.2
22009,315.3
22011,24.8
22015,49.4
22017,49.4
22019,173.7
22021,28.2
22023,82.4
22025,25.2
22029,182.7
22035,264.1
22039,708.7
22041,188.7
22045,34.0
22053,914.7
22055,69.4
22061,1.1
22065,251.8
22067,2359.1
22069,8.6
22073,53.2
22077,8.8
22079,168.9
22083,539.7
22091,1.7
22097,344.6
22099,41.5
22103,0.8
22105,6.8
22107,157.0
22113,785.4
22123,59.7
28011,2840.7
28027,626.9
28033,179.2
28051,45.7
28053,779.0
28055,48.7
28081,16.6
28083,418.4
28093,12.9
28107,915.4
28119,987.9
28133,2899.1
28135,631.3
28137,154.3
28143,2660.2
28151,2152.9
28163,277.9
29017,19.7
29023,4598.9
29031,43.0
29069,1360.1
29133,33.3
29143,1004.5
29155,3154.7
29181,340.2
29201,379.5
29207,3183.4
31001,0.7
31019,1.4
31029,199.6
31035,2.8
