fips,mass
04001,5.7
04003,30.299999999999997
04005,0.7
04007,0.7
04009,4.35
04011,8.05
04012,0.8
04013,42.9
04015,2.9
04017,3.7
04019,3.45
04021,26.1
04023,2.8
04025,3.4
04027,21.2
06001,231.2
06005,33.0
06007,1.7
06009,4.0
06011,4.7
06013,34.2
06017,49.0
06019,3333.5
06021,0.1
06023,0.3
06025,100.4
06029,2020.8
06031,155.9
06033,260.3
06037,1.1
06039,1328.3
06041,2.2
06045,183.8
06047,200.0
06053,2577.0
06055,958.5
06057,15.2
06059,6.0
06061,2.0
06065,181.3
06067,312.2
06069,201.6
06073,1.7
06077,1019.3
06079,1550.5
06081,1.3
06083,1328.8
06085,207.4
06087,122.8
06093,39.0
06095,72.5
06097,1594.1
06099,115.3
06101,7.5
06103,0.2
06107,1127.3
06109,1.8
06111,766.9
06113,223.0
09001,1.2
09003,29.6
09005,4.3
09007,1.8
09009,5.6
09011,1.9
09013,5.9
09015,0.8
10003,3.9
13011,0.8
13013,0.1
13057,0.3
13059,0.6
13067,0.1
13089,0.0
13105,0.6
13111,0.1
13117,0.8
13119,0.2
13121,0.3
13123,0.1
13135,0.0
13137,0.8
13139,0.6
13147,0.6
13157,1.6
13181,0.8
13187,0.0
13195,0.2
13219,0.1
13221,0.1
13227,0.1
13241,0.6
13281,0.0
13291,0.6
13297,0.1
13311,0.2
13317,0.6
16001,1.3
16009,0.0
16017,0.8
16021,0.2
16027,1.3
16039,0.7
16045,1.6
16049,0.7
16055,0.4
16057,0.4
16061,0.6
16069,9.7
16073,0.0
16075,1.3
16087,1.3
17001,0.2
17003,0.3
17005,1.55
17007,0.4
17009,1.5
17011,1.55
17013,1.55
17015,1.55
17017,1.55
17019,1.55
17021,0.2
17023,1.55
17025,1.55
17029,1.55
17031,0.6
17033,0.9
17035,1.55
17037,1.0
17039,1.0
17041,0.1
17043,0.1
17045,1.55
17051,0.55
17055,0.1
17057,1.5
17063,0.6
17071,1.5
17073,1.75
17075,0.0
17077,0.1
17081,1.35
17083,0.0
17085,1.55
17087,0.1
17089,2.0
17091,1.65
17093,0.7
17095,1.5
17097,0.6
17099,1.7
17101,1.55
17103,0.1
17105,1.55
17107,1.5
17109,0.1
17111,1.7
17113,0.3
17115,1.5
17117,0.25
17119,1.95
17121,1.55
17123,0.9
17125,58.4
17127,1.55
17129,1.5
17131,1.55
17133,0.4
17135,1.55
17137,0.1
17139,10.600000000000001
17141,0.2
17143,17.4
17145,1.5
17147,1.25
17149,1.55
17151,0.0
17155,1.55
17157,0.1
17159,1.55
17161,0.6
17163,1.2
17167,1.55
17169,1.5
17171,1.55
17173,0.15000000000000002
17175,10.8
17177,0.1
17179,50.9
17181,0.2
17183,1.55
17185,1.55
17189,1.5
17191,1.55
17193,1.55
17195,1.55
17197,1.3
17199,0.3
17201,0.45
17203,7.7
18001,0.6
18003,0.4
18005,6.2
18007,0.1
18009,0.4
18011,0.2
18013,1.2
18015,0.2
18017,2.1
18019,1.2
18021,1.2
18023,0.0
18025,1.2
18027,0.7
18029,0.1
18031,1.2
18033,0.8
18035,1.2
18037,0.1
18039,6.4
18041,1.2
18043,1.2
18045,1.2
18047,0.7
18049,0.5
18051,1.2
18053,1.2
18055,0.0
18057,1.2
18059,0.3
18061,0.1
18063,0.5
18065,0.6
18067,1.2
18069,0.8
18071,1.2
18073,1.55
18075,1.0
18077,1.2
18079,1.2
18081,1.2
18083,1.2
18085,0.1
18087,0.5
18089,0.8500000000000001
18091,1.35
18093,0.2
18095,0.8
18097,1.2
18099,3.0
18101,0.2
18103,2.5
18105,1.2
18107,1.2
18109,0.2
18111,2.5
18113,0.2
18115,0.0
18117,1.2
18119,1.2
18121,1.3
18127,0.15
18129,1.2
18131,1.25
18133,1.2
18135,1.2
18137,1.2
18139,1.1
18141,2.8
18145,1.2
18147,1.1
18149,1.35
18151,0.8
18153,1.2
18155,0.1
18157,1.2
18159,1.2
18161,1.2
18163,0.3
18167,1.2
18169,0.2
18171,1.2
18173,0.1
18175,1.2
18177,1.2
18179,0.0
18181,1.35
18183,0.0
19005,0.1
19013,0.1
19017,0.1
19019,0.3
19037,1.0
19043,0.1
19051,0.3
19055,0.1
19057,0.0
19061,0.1
19065,0.1
19087,0.1
19089,0.5
19101,0.1
19107,0.1
19111,0.1
19115,0.1
19123,0.1
19177,0.1
19179,0.1
19183,0.1
19191,0.2
21001,0.1
21003,0.2
21007,0.1
21009,0.1
21013,0.1
21019,0.0
21025,0.1
21027,0.4
21029,0.2
21031,0.1
21033,0.1
21035,0.1
21043,0.1
21045,0.2
21047,1.55
21051,0.1
21055,0.1
21059,0.5
21063,0.0
21065,0.0
21083,0.1
21085,0.2
21087,0.1
21089,0.1
21091,0.1
21093,0.4
21099,0.6
21101,0.1
21105,0.1
21107,0.1
21109,0.1
21111,0.2
21115,0.1
21121,0.0
21123,0.9
21125,0.1
21127,0.0
21129,0.0
21133,0.1
21135,0.0
21139,0.1
21141,0.1
21143,0.1
21145,0.3
21147,0.0
21149,0.1
21153,0.0
21155,0.1
21157,0.25
21163,0.6
21165,0.1
21169,0.6
21171,0.1
21175,0.3
21177,0.1
21179,0.1
21183,0.0
