fips,mass
06015,148.2
06037,0.1
06053,24002.9
06059,3.9
06065,3.7
06073,83.6
06081,3211.1
06083,0.5
06087,2402.6
06111,0.2
16001,4.9
16003,0.0
16005,20.5
16007,5.8
16009,20.5
16011,479.1
16013,210.8
16015,0.7
16017,0.0
16019,118.9
16021,20.5
16023,7.6
16025,210.8
16027,229.6
16029,20.5
16031,210.8
16033,1.4
16035,20.5
16037,11.8
16039,409.5
16041,20.5
16043,152.3
16045,90.1
16047,279.0
16049,0.0
16051,220.4
16053,624.0
16055,20.5
16057,0.0
16059,0.0
16063,210.8
16065,235.1
16067,2115.9
16069,20.5
16071,68.1
16073,34.9
16075,113.4
16077,312.2
16081,30.6
16083,698.0
16085,90.1
23003,542.0
23009,0.1
23019,26.2
23021,0.7
23025,0.1
23027,0.1
23029,0.2
27005,346.3
27007,0.1
27009,808.8
27019,0.3
27021,143.2
27023,143.2
27027,1582.3
27029,346.3
27041,0.8
27051,2.2
27057,143.2
27061,143.2
27067,143.2
27069,1248.4
27071,143.2
27073,0.3
27077,143.2
27085,2.5
27087,346.3
27089,199.3
27093,0.6
27097,456.1
27107,346.3
27111,143.2
27113,0.7
27119,3048.6
27121,353.6
27125,675.2
27129,390.3
27135,4.0
27139,143.2
27141,2636.7
27143,219.0
27145,143.2
27149,0.3
27151,0.6
27153,369.3
27155,143.2
27159,143.2
27167,143.2
27171,3.6
27173,143.2
30001,0.5
30007,44.7
30013,0.3
30027,3.1
30029,0.5
30031,44.8
30043,0.5
30045,1.8
30047,8.6
30049,2.4
30053,0.5
30057,2.5
30059,2.4
30063,0.0
30065,2.4
30081,0.0
30089,0.0
30107,0.9
32001,0.0
32007,2.2
32019,0.1
32031,0.1
32033,43.4
38003,326.6
38017,0.6
38019,1.1
38035,3098.6
38039,0.8
38063,326.6
38067,326.6
38071,183.8
38095,326.6
38097,403.7
38099,7338.3
41001,52.9
41003,0.3
41005,1.1
41007,1.5
41009,0.0
41011,1.15
41013,2.1
41015,1.15
41017,0.7
41019,0.15000000000000002
41023,2.1
41025,0.0
41027,0.1
41029,0.15000000000000002
41031,16.2
41033,1.15
41035,242.5
41037,0.0
41039,0.2
41041,1.5
41043,0.2
41045,53.1
41047,0.2
41049,512.7
41051,1.5
41053,0.1
41057,0.0
41059,181.9
41061,5.7
41063,0.8
41065,0.1
41067,0.3
41071,0.2
49003,0.2
49005,1.5
49011,0.5
49029,0.0
49033,0.0
49035,0.4
49045,1.5
49057,0.5
53001,331.1
53005,526.0
53007,0.0
53009,0.2
53011,0.2
53013,4.8
53015,8.4
53017,0.0
53019,4.8
53021,455.8
53025,715.2
53027,0.1
53029,0.1
53031,0.0
53033,0.4
53035,0.2
53037,4.8
53039,0.1
53041,0.0
53043,5.8
53045,0.0
53047,0.1
53049,0.1
53051,0.0
53053,0.1
53055,0.1
53057,217.0
53059,8.4
53061,21.5
53063,4.8
53065,4.8
53067,0.3
53069,0.0
53071,127.9
53073,35.8
53075,0.0
53077,12.8
55001,2072.1
55003,0.2
55009,1.1
55011,1.9
55015,105.3
55019,0.9
55021,3.2
55023,0.7
55025,6.4
55027,105.3
55029,1.8
55033,105.3
55035,2.1
55037,105.3
55039,1.9
55041,89.1
55043,1.2
55045,1.6
55047,105.3
55049,105.3
55053,0.5
55055,105.3
55057,105.3
55061,0.2
55063,1.1
55065,0.9
55067,1883.9
55069,0.1
55071,105.3
55073,246.2
55075,105.3
55077,105.3
55081,0.4
55083,105.3
55085,105.3
55087,0.2
55091,0.7
55093,0.2
55097,4901.8
55099,0.2
55103,1.2
55105,1.6
55109,0.2
55111,0.2
55115,105.3
55117,1.2
55119,0.5
55121,0.2
55123,3.2
55125,105.3
55135,1.1
55137,1278.1
55139,0.2
55141,0.1
